	Bishop	Red_Knolls	Clear_Lake	Willow_Pond	Gandy	Keg_Springs	Tooele_Army	Leland_Harris	Copilot	Mills_Valley	Lower_Rocky	Rosebud_Top_P	Jail_Pond	Mona	Cluster	Big_Springs
Bishop		0.0291304	0.0638486	0.0679874	0.0428772	0.0490875	0.106793	0.0730234	0.0847003	0.103694	0.0746455	0.0942046	0.116835	0.0722175	0.0958428	0.12147
Red_Knolls			0.0683716	0.0716104	0.0502819	0.0550092	0.113033	0.0792716	0.088559	0.106307	0.080915	0.0985042	0.123519	0.078296	0.0987325	0.128917
Clear_Lake				0.0202688	0.07916	0.0911008	0.102518	0.11104	0.034365	0.0432318	0.110845	0.0378438	0.108973	0.0648745	0.0383614	0.116407
Willow_Pond					0.0836554	0.0958227	0.104703	0.114686	0.0363756	0.0443272	0.115121	0.0402014	0.112009	0.065813	0.0410639	0.118743
Gandy						0.0351269	0.122304	0.0872222	0.10232	0.122039	0.0896038	0.111772	0.134505	0.0857246	0.113909	0.140097
Keg_Springs							0.142468	0.101167	0.122828	0.15947	0.106717	0.136276	0.162964	0.112148	0.135499	0.161335
Tooele_Army								0.1564	0.131478	0.158502	0.161768	0.142907	0.0284669	0.0284342	0.140529	0.0304676
Leland_Harris									0.135634	0.175567	0.0295479	0.155008	0.181653	0.116852	0.152529	0.177832
Copilot										0.0315242	0.141466	0.0200465	0.142242	0.0746051	0.0219195	0.149176
Mills_Valley											0.186671	0.0340706	0.177473	0.110106	0.0357064	0.180501
Lower_Rocky												0.162027	0.187026	0.124051	0.159054	0.186986
Rosebud_Top_P													0.15489	0.0776791	0.0221505	0.162017
Jail_Pond														0.0213783	0.154554	0.0233067
Mona															0.0797222	0.0251601
Cluster																0.15889
