# Phi_st Means
	Bishop	Red_Knolls	Clear_Lake	Willow_Pond	Gandy	Keg_Springs	Tooele_Army	Leland_Harris	Copilot	Mills_Valley	Lower_Rocky	Rosebud_Top_P	Jail_Pond	Mona	Cluster	Big_Springs
Bishop		0.0182328	0.0711624	0.0771753	0.0422107	0.0441112	0.124523	0.0866008	0.0999923	0.121872	0.0886038	0.111591	0.141156	0.0800354	0.114964	0.148059
Red_Knolls			0.0778856	0.0828172	0.054952	0.054669	0.132949	0.0963314	0.106041	0.125962	0.0984473	0.117741	0.150245	0.0892206	0.119458	0.157617
Clear_Lake				0.00185986	0.0932644	0.104738	0.117976	0.133336	0.0284856	0.0352939	0.133536	0.03424	0.130262	0.0687989	0.0361959	0.140971
Willow_Pond					0.100111	0.111684	0.121807	0.138325	0.0318196	0.0372284	0.139739	0.0381005	0.135236	0.0704349	0.0406627	0.145218
Gandy						0.0186975	0.146478	0.107394	0.12476	0.148622	0.110572	0.135546	0.164995	0.100074	0.139012	0.172685
Keg_Springs							0.16	0.126415	0.149915	0.179087	0.13456	0.164949	0.201499	0.131143	0.166906	0.201783
Tooele_Army								0.189764	0.155228	0.177314	0.196993	0.168686	0.009803	0.00881107	0.168278	0.0154536
Leland_Harris									0.164592	0.214365	0.0184862	0.185838	0.219786	0.13662	0.183781	0.214892
Copilot										0.0125931	0.172577	0.000919935	0.17144	0.0801732	0.00563215	0.180677
Mills_Valley											0.230766	0.0168091	0.216646	0.125489	0.0221532	0.223096
Lower_Rocky												0.195382	0.227174	0.146744	0.192678	0.227152
Rosebud_Top_P													0.186627	0.0827024	0.00560217	0.19575
Jail_Pond														0.00221619	0.187242	0.0075712
Mona															0.087515	0.0108044
Cluster																0.193396

# Fst' Means
	Bishop	Red_Knolls	Clear_Lake	Willow_Pond	Gandy	Keg_Springs	Tooele_Army	Leland_Harris	Copilot	Mills_Valley	Lower_Rocky	Rosebud_Top_P	Jail_Pond	Mona	Cluster	Big_Springs
Bishop		0.00641391	0.0409886	0.0464027	0.0181515	0.0221918	0.084877	0.0511493	0.0613468	0.0790266	0.0520772	0.0707825	0.0931388	0.0419589	0.0726136	0.0988504
Red_Knolls			0.0435887	0.047484	0.0236323	0.0255377	0.089464	0.0553719	0.0635734	0.0791818	0.0564199	0.0732201	0.0990193	0.0455727	0.0734925	0.10491
Clear_Lake				0.000697483	0.055895	0.0682161	0.0806246	0.0910139	0.00952509	0.0143639	0.0910157	0.0118586	0.0856656	0.0356679	0.0124206	0.0944969
Willow_Pond					0.0615771	0.0759154	0.0848937	0.0959056	0.0114727	0.016306	0.0962183	0.0144149	0.0905006	0.036988	0.0155792	0.0981445
Gandy						0.010412	0.100539	0.0655847	0.0796848	0.0983842	0.0673405	0.0890701	0.11183	0.0540411	0.0915253	0.118446
Keg_Springs							0.119526	0.0746591	0.0987498	0.12805	0.0783558	0.110793	0.138778	0.0709755	0.112242	0.139144
Tooele_Army								0.13823	0.110315	0.133899	0.142336	0.121352	0.00138242	0.00122575	0.119725	0.00340759
Leland_Harris									0.118335	0.15694	0.009774	0.137997	0.164527	0.0885792	0.135618	0.160823
Copilot										0.00469309	0.12477	6.88988e-05	0.122246	0.0459148	0.00176513	0.130937
Mills_Valley											0.166886	0.00645047	0.156313	0.068868	0.00904312	0.163476
Lower_Rocky												0.145485	0.16972	0.0943845	0.142611	0.170172
Rosebud_Top_P													0.135724	0.0479555	0.00213487	0.144646
Jail_Pond														0.000461559	0.135649	0.00367409
Mona															0.0503197	0.00389687
Cluster																0.140978

# Dxy Means
	Bishop	Red_Knolls	Clear_Lake	Willow_Pond	Gandy	Keg_Springs	Tooele_Army	Leland_Harris	Copilot	Mills_Valley	Lower_Rocky	Rosebud_Top_P	Jail_Pond	Mona	Cluster	Big_Springs
Bishop		0.00032842	0.00031101	0.000321109	0.000326194	0.000317391	0.000349754	0.000324051	0.000310043	0.000337219	0.000323064	0.000306273	0.000339695	0.000232673	0.000319363	0.000352682
Red_Knolls			0.000313557	0.000320598	0.000329716	0.000319969	0.000354171	0.000330866	0.000313479	0.000339293	0.000329618	0.000310492	0.000347048	0.000240411	0.000320065	0.000358573
Clear_Lake				0.000308921	0.000329986	0.000328458	0.000332778	0.000339312	0.000264811	0.000269221	0.000338703	0.000250684	0.000321248	0.000212094	0.000266582	0.000338945
Willow_Pond					0.000340691	0.000342387	0.000342601	0.000349931	0.000275858	0.000279461	0.000348713	0.000261185	0.000329326	0.000214444	0.000278439	0.000346692
Gandy						0.000348969	0.000374082	0.00034952	0.000339317	0.000366955	0.000349678	0.000333385	0.000366536	0.000254167	0.000348467	0.000381318
Keg_Springs							0.000381278	0.000349691	0.000350689	0.000387552	0.000349223	0.000345327	0.000384184	0.000264764	0.000359028	0.00039436
Tooele_Army								0.000401134	0.000358553	0.000386395	0.000400929	0.000353345	0.000304139	0.000214155	0.000367093	0.000320654
Leland_Harris									0.000366277	0.000413291	0.000319711	0.000368493	0.000403783	0.0002744	0.0003777	0.000411953
Copilot										0.000298486	0.000375296	0.000287745	0.000355359	0.00020735	0.000300562	0.000372913
Mills_Valley											0.000428107	0.000292209	0.000400816	0.000258593	0.000304301	0.000415464
Lower_Rocky												0.000376439	0.000408697	0.000281087	0.000385232	0.0004205
Rosebud_Top_P													0.000355978	0.00019557	0.000290114	0.000373365
Jail_Pond														0.000220988	0.000366638	0.000333452
Mona															0.000205146	0.000225808
Cluster																0.000385556
