	Mona	Big_Springs	Bishop	Clear_Lake	Cluster	Copilot	Gandy	Jail_Pond	Keg_Springs	Leland_Harris	Lower_Rocky	Mills_Valley	Red_Knolls	Rosebud_Top_P	Tooele_Army	Willow_Pond
Mona		0.0351154	0.102907	0.093793	0.131013	0.122631	0.116417	0.0296312	0.156411	0.176644	0.185308	0.186341	0.117316	0.135558	0.0354414	0.0977863
Big_Springs			0.122606	0.118229	0.159499	0.150592	0.140594	0.0233733	0.161893	0.178576	0.188355	0.181499	0.138937	0.162479	0.0304596	0.126482
Bishop				0.0644668	0.0945368	0.0834859	0.0443169	0.11655	0.0511943	0.0736433	0.0754867	0.103218	0.0326532	0.0917602	0.108486	0.0707369
Clear_Lake					0.0388176	0.0349425	0.0801694	0.110912	0.0922756	0.112867	0.112921	0.0437723	0.074951	0.0381446	0.103918	0.0217142
Cluster						0.0220354	0.114067	0.155434	0.135595	0.153096	0.159821	0.0357416	0.110426	0.0221953	0.141205	0.0436487
Copilot							0.102092	0.143852	0.122181	0.136395	0.142712	0.0317671	0.0971031	0.0202495	0.132952	0.039189
Gandy								0.135298	0.0350534	0.0875748	0.0901806	0.122215	0.0533137	0.111734	0.122794	0.088298
Jail_Pond									0.163792	0.182919	0.189102	0.178869	0.135025	0.155623	0.0285974	0.119415
Keg_Springs										0.101339	0.107268	0.15936	0.0599006	0.135957	0.143033	0.101463
Leland_Harris											0.0296068	0.175986	0.0871437	0.155009	0.157496	0.122035
Lower_Rocky												0.18771	0.0887984	0.162599	0.163388	0.123088
Mills_Valley													0.120057	0.0340638	0.159509	0.0483182
Red_Knolls														0.109471	0.122342	0.082704
Rosebud_Top_P															0.143295	0.042721
Tooele_Army																0.111888
