# Phi_st Means
	Mona	Big_Springs	Bishop	Clear_Lake	Cluster	Copilot	Gandy	Jail_Pond	Keg_Springs	Leland_Harris	Lower_Rocky	Mills_Valley	Red_Knolls	Rosebud_Top_P	Tooele_Army	Willow_Pond
Mona		0.00969269	0.115828	0.100934	0.156807	0.142877	0.141376	-0.00816658	0.161413	0.228507	0.242855	0.200826	0.127824	0.158737	-0.0146706	0.101544
Big_Springs			0.149785	0.143547	0.194141	0.182459	0.173421	0.00767505	0.202651	0.215724	0.228759	0.224438	0.170469	0.196377	0.0154119	0.154911
Bishop				0.0717923	0.113098	0.0977493	0.0443361	0.140903	0.0466665	0.0877699	0.0897824	0.120565	0.0203404	0.108017	0.126309	0.0791774
Clear_Lake					0.0369733	0.0290278	0.0948327	0.133083	0.106736	0.135803	0.136393	0.0363464	0.084793	0.0347767	0.11999	0.00238691
Cluster						0.00540999	0.139255	0.188497	0.16708	0.184444	0.193515	0.0222101	0.133652	0.00567927	0.169053	0.0434029
Copilot							0.124508	0.173658	0.148507	0.165589	0.173994	0.0122438	0.115794	0.000829518	0.156532	0.0342144
Gandy								0.166239	0.0185656	0.10791	0.111352	0.148883	0.0569212	0.135525	0.147111	0.10546
Jail_Pond									0.202835	0.221364	0.229771	0.218779	0.164468	0.187739	0.0100516	0.144367
Keg_Springs										0.126675	0.135381	0.178916	0.0556364	0.164447	0.160818	0.115653
Leland_Harris											0.0185983	0.214897	0.106373	0.185814	0.191024	0.147442
Lower_Rocky												0.232039	0.108503	0.196023	0.19901	0.149496
Mills_Valley													0.138109	0.0167932	0.1786	0.040272
Red_Knolls														0.130649	0.140672	0.0939444
Rosebud_Top_P															0.169157	0.0404378
Tooele_Army																0.128456

# Fst' Means
	Mona	Big_Springs	Bishop	Clear_Lake	Cluster	Copilot	Gandy	Jail_Pond	Keg_Springs	Leland_Harris	Lower_Rocky	Mills_Valley	Red_Knolls	Rosebud_Top_P	Tooele_Army	Willow_Pond
Mona		0.00119773	0.0762348	0.0708816	0.109627	0.0996695	0.0937878	-0.00547138	0.122383	0.157229	0.164996	0.144054	0.0893837	0.111203	-0.00335876	0.075291
Big_Springs			0.0993432	0.0962972	0.141572	0.132222	0.118901	0.00373001	0.139621	0.161563	0.171577	0.164436	0.114924	0.145052	0.00342141	0.105456
Bishop				0.0407485	0.0700507	0.0584901	0.0185419	0.0917214	0.022875	0.0498822	0.050986	0.0762294	0.00727656	0.0669544	0.0850763	0.0471897
Clear_Lake					0.0127674	0.00978871	0.0568396	0.0875516	0.0692748	0.0929222	0.0932284	0.0146358	0.0498867	0.0120222	0.0820483	0.000696664
Cluster						0.00170038	0.0916094	0.136559	0.11227	0.136179	0.14342	0.00903046	0.0850065	0.00215788	0.120486	0.0165175
Copilot							0.0791343	0.123664	0.0975529	0.118749	0.125819	0.00455889	0.0710528	7.82384e-05	0.111666	0.0124414
Gandy								0.112573	0.0103918	0.065969	0.0680068	0.0984783	0.0258189	0.088932	0.101083	0.0652446
Jail_Pond									0.139535	0.165872	0.171901	0.157694	0.109575	0.136459	0.00141967	0.0969277
Keg_Springs										0.0748296	0.078896	0.127899	0.0282435	0.110366	0.120079	0.0798012
Leland_Harris											0.00980073	0.157312	0.0616212	0.137952	0.13946	0.102274
Lower_Rocky												0.168056	0.0622339	0.146071	0.144167	0.103049
Mills_Valley													0.0906288	0.00644762	0.13495	0.0176001
Red_Knolls														0.0833093	0.0984256	0.0578555
Rosebud_Top_P															0.1218	0.0150898
Tooele_Army																0.0911306

# Dxy Means
	Mona	Big_Springs	Bishop	Clear_Lake	Cluster	Copilot	Gandy	Jail_Pond	Keg_Springs	Leland_Harris	Lower_Rocky	Mills_Valley	Red_Knolls	Rosebud_Top_P	Tooele_Army	Willow_Pond
Mona		0.000307808	0.000295563	0.000296226	0.000318867	0.000302454	0.000343098	0.000301386	0.000363569	0.000390589	0.000401786	0.000394686	0.000327252	0.000312015	0.000272595	0.000290981
Big_Springs			0.000331732	0.000343817	0.000387573	0.000360705	0.000383306	0.00033675	0.000395738	0.000413955	0.000422538	0.000417809	0.000369838	0.000374807	0.000322382	0.000345096
Bishop				0.000291904	0.000293779	0.000274091	0.000304397	0.000316677	0.000292298	0.000299965	0.000299232	0.000315168	0.000304834	0.000279876	0.000326986	0.000292012
Clear_Lake					0.000269569	0.000253749	0.000332832	0.000326134	0.000332551	0.000344112	0.000343604	0.000272861	0.000320132	0.000253587	0.000336918	0.000301652
Cluster						0.000284878	0.000349442	0.000368968	0.000359525	0.000378839	0.000386705	0.000304506	0.00033247	0.000290714	0.00036878	0.000269428
Copilot							0.000325731	0.000343837	0.000334489	0.000350586	0.000361402	0.000282461	0.000309408	0.000272211	0.000345519	0.000252837
Gandy								0.000368273	0.000349858	0.00035013	0.000350702	0.000367496	0.000333339	0.000333544	0.000375484	0.000335549
Jail_Pond									0.000386197	0.000406065	0.000412538	0.000403562	0.000358116	0.000357692	0.000306477	0.000328715
Keg_Springs										0.000350233	0.000349899	0.000387237	0.00032453	0.000345082	0.000383051	0.000336206
Leland_Harris											0.000320137	0.000413901	0.000335675	0.000368417	0.000403341	0.00034616
Lower_Rocky												0.000429535	0.000335726	0.000377103	0.000403994	0.00034665
Mills_Valley													0.000350996	0.000292613	0.00038765	0.0002721
Red_Knolls														0.000321043	0.000364573	0.000321705
Rosebud_Top_P															0.000354734	0.000251966
Tooele_Army																0.000338876
