# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
4	un	1	0.01434	-1.00000	0.00105	-1.00000	0.00154	-1.00000
27	un	2478	0.01647	-1.00000	0.00084	-1.00000	0.57148	-1.00000
28	un	3323	-0.04348	-1.00000	-0.00962	-1.00000	-nan	-1.00000
34	un	5711	-0.07531	-1.00000	-0.07892	-1.00000	-nan	-1.00000
37	un	6498	0.02169	-1.00000	0.00952	-1.00000	0.00602	-1.00000
41	un	8044	0.02063	-1.00000	0.00332	-1.00000	0.00378	-1.00000
42	un	8873	-0.03464	-1.00000	-0.03471	-1.00000	-nan	-1.00000
43	un	9693	-0.02575	-1.00000	-0.00442	-1.00000	0.51302	-1.00000
46	un	11248	-0.03930	-1.00000	-0.03205	-1.00000	0.56402	-1.00000
55	un	14502	-0.00835	-1.00000	-0.00196	-1.00000	-0.01032	-1.00000
66	un	17846	-0.03620	-1.00000	-0.02799	-1.00000	0.54441	-1.00000
86	un	23951	0.02576	-1.00000	0.00223	-1.00000	0.01875	-1.00000
88	un	25558	-0.02588	-1.00000	-0.00448	-1.00000	-nan	-1.00000
89	un	26338	0.10606	-1.00000	0.07196	-1.00000	-nan	-1.00000
91	un	27116	-0.00383	-1.00000	-0.00108	-1.00000	0.49029	-1.00000
115	un	33437	0.06529	-1.00000	0.01796	-1.00000	0.02648	-1.00000
122	un	34228	-0.04174	-1.00000	-0.04355	-1.00000	0.52685	-1.00000
131	un	37393	0.01463	-1.00000	0.00569	-1.00000	-nan	-1.00000
144	un	40497	0.04414	-1.00000	0.04024	-1.00000	0.57836	-1.00000
162	un	46609	-0.05209	-1.00000	-0.03062	-1.00000	-nan	-1.00000
170	un	48954	-0.02454	-1.00000	-0.01186	-1.00000	0.50150	-1.00000
172	un	50224	0.03217	-1.00000	0.02024	-1.00000	0.02598	-1.00000
173	un	50880	-0.00389	-1.00000	-0.00342	-1.00000	0.54558	-1.00000
177	un	51688	0.30831	-1.00000	0.25055	-1.00000	0.65758	-1.00000
203	un	57365	-0.01678	-1.00000	-0.01564	-1.00000	0.57892	-1.00000
227	un	62113	-0.02016	-1.00000	-0.01764	-1.00000	-0.01716	-1.00000
240	un	66621	0.03565	-1.00000	0.01001	-1.00000	0.51940	-1.00000
244	un	68242	-0.03981	-1.00000	-0.00328	-1.00000	-nan	-1.00000
247	un	70572	-0.03155	-1.00000	-0.00954	-1.00000	-nan	-1.00000
252	un	73659	-0.04192	-1.00000	-0.00845	-1.00000	-nan	-1.00000
257	un	75350	-0.05013	-1.00000	-0.01345	-1.00000	0.53889	-1.00000
261	un	76898	-0.00212	-1.00000	-0.00027	-1.00000	-0.00389	-1.00000
265	un	77790	-0.02588	-1.00000	-0.00448	-1.00000	0.66611	-1.00000
267	un	78635	0.05383	-1.00000	0.04902	-1.00000	0.55616	-1.00000
280	un	83495	0.09633	-1.00000	0.02559	-1.00000	0.54459	-1.00000
281	un	84269	-0.03562	-1.00000	-0.00625	-1.00000	-nan	-1.00000
288	un	86667	0.22171	-1.00000	0.18204	-1.00000	-nan	-1.00000
292	un	89180	-0.05354	-1.00000	-0.05619	-1.00000	-0.06391	-1.00000
298	un	89952	0.02737	-1.00000	0.02212	-1.00000	0.58042	-1.00000
308	un	93251	-0.01987	-1.00000	-0.01162	-1.00000	-0.01627	-1.00000
311	un	94116	0.08207	-1.00000	0.06521	-1.00000	-nan	-1.00000
322	un	97688	-0.02207	-1.00000	-0.00465	-1.00000	0.54394	-1.00000
327	un	99349	0.01198	-1.00000	0.01060	-1.00000	0.66792	-1.00000
330	un	100746	0.04724	-1.00000	0.00641	-1.00000	0.51118	-1.00000
332	un	102374	-0.03056	-1.00000	-0.02568	-1.00000	-0.03005	-1.00000
337	un	103961	-0.02121	-1.00000	-0.02152	-1.00000	-nan	-1.00000
