# Population Keg_Springs	2022_Keg_Springs_LTC1,2022_Keg_Springs_LTC2,2022_Keg_Springs_LTC3,2022_Keg_Springs_LTC4,2022_Keg_Springs_LTC5,2022_Keg_Springs_LTC6,2022_Keg_Springs_LTC7,2022_Keg_Springs_LTC8
# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Keg_Springs	Red_Knolls	un	1664	0.00069	-1.00000	-1.00000	0.00030	-1.00000	-1.00000	-0.00238	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
28	Keg_Springs	Red_Knolls	un	3323	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.03532	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Keg_Springs	Red_Knolls	un	8044	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.03532	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
43	Keg_Springs	Red_Knolls	un	9693	0.09644	-1.00000	-1.00000	0.01172	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
64	Keg_Springs	Red_Knolls	un	18619	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
84	Keg_Springs	Red_Knolls	un	24812	0.02059	-1.00000	-1.00000	0.00117	-1.00000	-1.00000	-0.00185	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
106	Keg_Springs	Red_Knolls	un	34218	0.06995	-1.00000	-1.00000	0.01238	-1.00000	-1.00000	0.03104	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
125	Keg_Springs	Red_Knolls	un	39104	0.01226	-1.00000	-1.00000	0.00222	-1.00000	-1.00000	0.02388	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
130	Keg_Springs	Red_Knolls	un	39806	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00993	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
131	Keg_Springs	Red_Knolls	un	40626	-0.01084	-1.00000	-1.00000	-0.01140	-1.00000	-1.00000	-0.01179	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
136	Keg_Springs	Red_Knolls	un	41375	0.15730	-1.00000	-1.00000	0.04930	-1.00000	-1.00000	0.07565	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
157	Keg_Springs	Red_Knolls	un	47487	0.11335	-1.00000	-1.00000	0.02762	-1.00000	-1.00000	0.03077	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
162	Keg_Springs	Red_Knolls	un	49842	0.01025	-1.00000	-1.00000	0.00860	-1.00000	-1.00000	-0.00710	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
165	Keg_Springs	Red_Knolls	un	50688	-0.05565	-1.00000	-1.00000	-0.03642	-1.00000	-1.00000	-0.02951	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
171	Keg_Springs	Red_Knolls	un	52972	0.02709	-1.00000	-1.00000	0.00308	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
228	Keg_Springs	Red_Knolls	un	69364	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
233	Keg_Springs	Red_Knolls	un	69859	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
235	Keg_Springs	Red_Knolls	un	70691	-0.02212	-1.00000	-1.00000	-0.00127	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
283	Keg_Springs	Red_Knolls	un	93975	0.15892	-1.00000	-1.00000	0.03227	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
292	Keg_Springs	Red_Knolls	un	98126	0.05750	-1.00000	-1.00000	0.00954	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
300	Keg_Springs	Red_Knolls	un	101365	0.02709	-1.00000	-1.00000	0.00308	-1.00000	-1.00000	0.01709	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
308	Keg_Springs	Red_Knolls	un	102942	0.05396	-1.00000	-1.00000	0.05714	-1.00000	-1.00000	0.03292	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
316	Keg_Springs	Red_Knolls	un	104618	-0.06022	-1.00000	-1.00000	-0.00759	-1.00000	-1.00000	-0.02593	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
318	Keg_Springs	Red_Knolls	un	106152	-0.01896	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	-0.01357	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
327	Keg_Springs	Red_Knolls	un	109040	0.25581	-1.00000	-1.00000	0.06748	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
332	Keg_Springs	Red_Knolls	un	112065	0.09644	-1.00000	-1.00000	0.01172	-1.00000	-1.00000	0.00192	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
334	Keg_Springs	Red_Knolls	un	112894	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
344	Keg_Springs	Red_Knolls	un	117774	-0.01798	-1.00000	-1.00000	-0.00093	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
349	Keg_Springs	Red_Knolls	un	119386	0.02648	-1.00000	-1.00000	0.00170	-1.00000	-1.00000	-0.00257	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
359	Keg_Springs	Red_Knolls	un	122944	0.11335	-1.00000	-1.00000	0.02762	-1.00000	-1.00000	0.05046	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
363	Keg_Springs	Red_Knolls	un	123814	0.11335	-1.00000	-1.00000	0.02762	-1.00000	-1.00000	0.03077	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
395	Keg_Springs	Red_Knolls	un	132660	0.13514	-1.00000	-1.00000	0.03546	-1.00000	-1.00000	0.09804	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
429	Keg_Springs	Red_Knolls	un	147181	-0.04215	-1.00000	-1.00000	-0.03785	-1.00000	-1.00000	-0.02555	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
432	Keg_Springs	Red_Knolls	un	147994	-0.05120	-1.00000	-1.00000	-0.00877	-1.00000	-1.00000	-0.00144	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
434	Keg_Springs	Red_Knolls	un	148880	0.01655	-1.00000	-1.00000	0.01644	-1.00000	-1.00000	0.02879	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
442	Keg_Springs	Red_Knolls	un	151387	0.10519	-1.00000	-1.00000	0.01222	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
461	Keg_Springs	Red_Knolls	un	159011	-0.04236	-1.00000	-1.00000	-0.02196	-1.00000	-1.00000	-0.02426	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
468	Keg_Springs	Red_Knolls	un	160523	-0.05241	-1.00000	-1.00000	-0.03297	-1.00000	-1.00000	-0.03468	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
477	Keg_Springs	Red_Knolls	un	163860	-0.04933	-1.00000	-1.00000	-0.03463	-1.00000	-1.00000	-0.00970	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
483	Keg_Springs	Red_Knolls	un	166342	0.01150	-1.00000	-1.00000	0.00129	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
488	Keg_Springs	Red_Knolls	un	168834	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
504	Keg_Springs	Red_Knolls	un	174249	0.17817	-1.00000	-1.00000	0.10493	-1.00000	-1.00000	0.13313	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
516	Keg_Springs	Red_Knolls	un	179179	0.16209	-1.00000	-1.00000	0.06058	-1.00000	-1.00000	0.06757	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
525	Keg_Springs	Red_Knolls	un	181600	0.01017	-1.00000	-1.00000	0.00518	-1.00000	-1.00000	0.02402	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
