# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC11,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC13,2022_Red_Knolls_LTC14,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC15,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Red_Knolls	Copilot	un	1664	-0.00931	-1.00000	-1.00000	-0.00156	-1.00000	-1.00000	-0.00809	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
28	Red_Knolls	Copilot	un	3323	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
37	Red_Knolls	Copilot	un	6498	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	0.03472	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
41	Red_Knolls	Copilot	un	8044	0.37820	-1.00000	-1.00000	0.28353	-1.00000	-1.00000	0.26611	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
48	Red_Knolls	Copilot	un	12896	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Red_Knolls	Copilot	un	15343	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
58	Red_Knolls	Copilot	un	16975	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
66	Red_Knolls	Copilot	un	19469	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
77	Red_Knolls	Copilot	un	22523	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
82	Red_Knolls	Copilot	un	23963	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.01768	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
91	Red_Knolls	Copilot	un	28739	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
99	Red_Knolls	Copilot	un	31053	0.46971	-1.00000	-1.00000	0.34713	-1.00000	-1.00000	0.37747	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
102	Red_Knolls	Copilot	un	31823	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
104	Red_Knolls	Copilot	un	32672	0.32837	-1.00000	-1.00000	0.33707	-1.00000	-1.00000	0.33632	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
125	Red_Knolls	Copilot	un	39104	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
130	Red_Knolls	Copilot	un	39806	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00529	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
131	Red_Knolls	Copilot	un	40626	0.41046	-1.00000	-1.00000	0.22754	-1.00000	-1.00000	0.24086	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
136	Red_Knolls	Copilot	un	41375	0.15703	-1.00000	-1.00000	0.13482	-1.00000	-1.00000	0.14047	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
160	Red_Knolls	Copilot	un	49095	-0.03841	-1.00000	-1.00000	-0.00296	-1.00000	-1.00000	-0.00297	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
165	Red_Knolls	Copilot	un	50688	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
171	Red_Knolls	Copilot	un	52972	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
235	Red_Knolls	Copilot	un	70691	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
239	Red_Knolls	Copilot	un	72275	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
243	Red_Knolls	Copilot	un	73800	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00518	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
251	Red_Knolls	Copilot	un	80031	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
269	Red_Knolls	Copilot	un	88133	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	0.00554	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
276	Red_Knolls	Copilot	un	91588	0.27669	-1.00000	-1.00000	0.15219	-1.00000	-1.00000	0.14515	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
291	Red_Knolls	Copilot	un	97330	0.15549	-1.00000	-1.00000	0.05898	-1.00000	-1.00000	0.05948	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
292	Red_Knolls	Copilot	un	98126	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
299	Red_Knolls	Copilot	un	100548	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
300	Red_Knolls	Copilot	un	101365	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	-0.00468	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
316	Red_Knolls	Copilot	un	104618	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00110	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
318	Red_Knolls	Copilot	un	106152	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00652	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
359	Red_Knolls	Copilot	un	123529	0.11672	-1.00000	-1.00000	0.01853	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
386	Red_Knolls	Copilot	un	129185	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
394	Red_Knolls	Copilot	un	132470	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
406	Red_Knolls	Copilot	un	136528	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
427	Red_Knolls	Copilot	un	146931	0.13263	-1.00000	-1.00000	0.02215	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
432	Red_Knolls	Copilot	un	148579	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
459	Red_Knolls	Copilot	un	158935	0.16737	-1.00000	-1.00000	0.03722	-1.00000	-1.00000	0.05342	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
461	Red_Knolls	Copilot	un	159596	0.13788	-1.00000	-1.00000	0.02596	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
468	Red_Knolls	Copilot	un	161108	0.05590	-1.00000	-1.00000	0.02250	-1.00000	-1.00000	0.02071	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
477	Red_Knolls	Copilot	un	163578	0.10920	-1.00000	-1.00000	0.04888	-1.00000	-1.00000	0.05245	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
483	Red_Knolls	Copilot	un	166060	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
493	Red_Knolls	Copilot	un	170136	0.20690	-1.00000	-1.00000	0.05924	-1.00000	-1.00000	0.05924	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
495	Red_Knolls	Copilot	un	170894	0.83442	-1.00000	-1.00000	0.83776	-1.00000	-1.00000	0.83773	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
499	Red_Knolls	Copilot	un	172367	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00502	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
501	Red_Knolls	Copilot	un	173167	0.06288	-1.00000	-1.00000	0.01443	-1.00000	-1.00000	0.01443	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
504	Red_Knolls	Copilot	un	173967	0.51556	-1.00000	-1.00000	0.40642	-1.00000	-1.00000	0.43115	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
516	Red_Knolls	Copilot	un	178897	0.15903	-1.00000	-1.00000	0.04033	-1.00000	-1.00000	0.04132	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
525	Red_Knolls	Copilot	un	181318	-0.03317	-1.00000	-1.00000	-0.02305	-1.00000	-1.00000	-0.01343	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
562	Red_Knolls	Copilot	un	196980	0.01622	-1.00000	-1.00000	0.01247	-1.00000	-1.00000	0.00043	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
565	Red_Knolls	Copilot	un	197757	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00502	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
572	Red_Knolls	Copilot	un	200123	0.46067	-1.00000	-1.00000	0.32356	-1.00000	-1.00000	0.29030	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
577	Red_Knolls	Copilot	un	202522	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
586	Red_Knolls	Copilot	un	206007	0.31748	-1.00000	-1.00000	0.18585	-1.00000	-1.00000	0.19897	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
615	Red_Knolls	Copilot	un	214923	0.28945	-1.00000	-1.00000	0.11138	-1.00000	-1.00000	0.10588	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
616	Red_Knolls	Copilot	un	215770	0.22567	-1.00000	-1.00000	0.10467	-1.00000	-1.00000	0.14604	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
617	Red_Knolls	Copilot	un	216529	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
628	Red_Knolls	Copilot	un	221345	0.69703	-1.00000	-1.00000	0.60533	-1.00000	-1.00000	0.61429	-1.00000	-1.00000	0.00088	-1.00000	-1.00000
635	Red_Knolls	Copilot	un	222901	0.15234	-1.00000	-1.00000	0.03609	-1.00000	-1.00000	0.01846	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
652	Red_Knolls	Copilot	un	229771	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
675	Red_Knolls	Copilot	un	239441	0.78261	-1.00000	-1.00000	0.74836	-1.00000	-1.00000	0.71348	-1.00000	-1.00000	0.00100	-1.00000	-1.00000
