# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC11,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC13,2022_Red_Knolls_LTC14,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Red_Knolls	Big_Springs	un	1664	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00361	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
28	Red_Knolls	Big_Springs	un	3323	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
37	Red_Knolls	Big_Springs	un	6498	0.03555	-1.00000	-1.00000	0.00306	-1.00000	-1.00000	0.02915	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
40	Red_Knolls	Big_Springs	un	7287	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
41	Red_Knolls	Big_Springs	un	8044	-0.03279	-1.00000	-1.00000	-0.00386	-1.00000	-1.00000	0.01179	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
43	Red_Knolls	Big_Springs	un	9693	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
82	Red_Knolls	Big_Springs	un	23963	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
88	Red_Knolls	Big_Springs	un	27181	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
99	Red_Knolls	Big_Springs	un	31053	0.55413	-1.00000	-1.00000	0.38325	-1.00000	-1.00000	0.45283	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
104	Red_Knolls	Big_Springs	un	32672	0.24449	-1.00000	-1.00000	0.06949	-1.00000	-1.00000	0.15534	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
