# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Mona	Tooele_Army	un	1	-0.01551	-1.00000	-1.00000	-0.00236	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
37	Mona	Tooele_Army	un	6498	-0.06590	-1.00000	-1.00000	-0.02986	-1.00000	-1.00000	-0.02361	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
41	Mona	Tooele_Army	un	8044	0.11091	-1.00000	-1.00000	0.03141	-1.00000	-1.00000	0.01456	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
55	Mona	Tooele_Army	un	14502	-0.09305	-1.00000	-1.00000	-0.03030	-1.00000	-1.00000	-0.02931	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
86	Mona	Tooele_Army	un	23951	0.00444	-1.00000	-1.00000	0.00081	-1.00000	-1.00000	0.07639	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
115	Mona	Tooele_Army	un	33437	-0.05381	-1.00000	-1.00000	-0.00427	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
172	Mona	Tooele_Army	un	50224	-0.00364	-1.00000	-1.00000	-0.00347	-1.00000	-1.00000	-0.01372	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
227	Mona	Tooele_Army	un	62113	0.05106	-1.00000	-1.00000	0.04543	-1.00000	-1.00000	0.03273	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
261	Mona	Tooele_Army	un	76898	0.11033	-1.00000	-1.00000	0.01023	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
292	Mona	Tooele_Army	un	89180	-0.09234	-1.00000	-1.00000	-0.09986	-1.00000	-1.00000	-0.10018	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
308	Mona	Tooele_Army	un	93251	-0.00913	-1.00000	-1.00000	-0.00618	-1.00000	-1.00000	-0.02001	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
330	Mona	Tooele_Army	un	100746	-0.10345	-1.00000	-1.00000	-0.02948	-1.00000	-1.00000	-0.03022	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
332	Mona	Tooele_Army	un	102374	-0.02315	-1.00000	-1.00000	-0.02288	-1.00000	-1.00000	-0.03366	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
376	Mona	Tooele_Army	un	115687	-0.07532	-1.00000	-1.00000	-0.01413	-1.00000	-1.00000	-0.01923	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
409	Mona	Tooele_Army	un	127074	0.03271	-1.00000	-1.00000	0.02252	-1.00000	-1.00000	0.03623	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
423	Mona	Tooele_Army	un	131109	-0.09225	-1.00000	-1.00000	-0.02221	-1.00000	-1.00000	-0.02530	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
434	Mona	Tooele_Army	un	136056	0.16042	-1.00000	-1.00000	0.08104	-1.00000	-1.00000	0.10135	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
468	Mona	Tooele_Army	un	146300	-0.01551	-1.00000	-1.00000	-0.00236	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
488	Mona	Tooele_Army	un	153744	0.11091	-1.00000	-1.00000	0.03141	-1.00000	-1.00000	0.01456	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
504	Mona	Tooele_Army	un	158432	0.25581	-1.00000	-1.00000	0.24919	-1.00000	-1.00000	0.28654	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
510	Mona	Tooele_Army	un	161738	0.05770	-1.00000	-1.00000	0.03426	-1.00000	-1.00000	0.01745	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
537	Mona	Tooele_Army	un	169204	-0.09443	-1.00000	-1.00000	-0.09216	-1.00000	-1.00000	-0.09486	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
542	Mona	Tooele_Army	un	171688	-0.09234	-1.00000	-1.00000	-0.09986	-1.00000	-1.00000	-0.10412	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
556	Mona	Tooele_Army	un	178233	-0.05417	-1.00000	-1.00000	-0.04116	-1.00000	-1.00000	-0.05185	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
616	Mona	Tooele_Army	un	197794	-0.08317	-1.00000	-1.00000	-0.08537	-1.00000	-1.00000	-0.08669	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
631	Mona	Tooele_Army	un	204182	0.02649	-1.00000	-1.00000	0.00624	-1.00000	-1.00000	0.01824	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
635	Mona	Tooele_Army	un	204925	0.31501	-1.00000	-1.00000	0.21188	-1.00000	-1.00000	0.19296	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
641	Mona	Tooele_Army	un	208096	-0.04261	-1.00000	-1.00000	-0.01788	-1.00000	-1.00000	-0.02758	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
654	Mona	Tooele_Army	un	211371	0.20792	-1.00000	-1.00000	0.15523	-1.00000	-1.00000	0.13804	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
661	Mona	Tooele_Army	un	213737	-0.04557	-1.00000	-1.00000	-0.02307	-1.00000	-1.00000	-0.01456	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
690	Mona	Tooele_Army	un	224178	-0.07144	-1.00000	-1.00000	-0.07500	-1.00000	-1.00000	-0.08073	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
708	Mona	Tooele_Army	un	233032	-0.04979	-1.00000	-1.00000	-0.00801	-1.00000	-1.00000	-0.01515	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
