# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Big_Springs	Tooele_Army	un	1	0.08397	-1.00000	-1.00000	0.00758	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
37	Big_Springs	Tooele_Army	un	6498	0.04070	-1.00000	-1.00000	0.01344	-1.00000	-1.00000	0.01091	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
41	Big_Springs	Tooele_Army	un	8044	-0.04091	-1.00000	-1.00000	-0.00521	-1.00000	-1.00000	-0.00493	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
42	Big_Springs	Tooele_Army	un	8873	-0.04547	-1.00000	-1.00000	-0.04681	-1.00000	-1.00000	-0.03675	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
43	Big_Springs	Tooele_Army	un	9693	-0.04091	-1.00000	-1.00000	-0.00521	-1.00000	-1.00000	-0.00493	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
86	Big_Springs	Tooele_Army	un	25574	-0.05013	-1.00000	-1.00000	-0.00531	-1.00000	-1.00000	-0.02752	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
88	Big_Springs	Tooele_Army	un	27181	-0.02588	-1.00000	-1.00000	-0.00448	-1.00000	-1.00000	-0.00362	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
89	Big_Springs	Tooele_Army	un	27961	0.10606	-1.00000	-1.00000	0.07196	-1.00000	-1.00000	0.06331	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
93	Big_Springs	Tooele_Army	un	29518	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.07639	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
102	Big_Springs	Tooele_Army	un	31823	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
115	Big_Springs	Tooele_Army	un	35799	0.08143	-1.00000	-1.00000	0.03340	-1.00000	-1.00000	0.02210	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
122	Big_Springs	Tooele_Army	un	37461	-0.01492	-1.00000	-1.00000	-0.00070	-1.00000	-1.00000	-0.00838	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
131	Big_Springs	Tooele_Army	un	40626	0.06256	-1.00000	-1.00000	0.02125	-1.00000	-1.00000	0.03712	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
144	Big_Springs	Tooele_Army	un	43730	0.06813	-1.00000	-1.00000	0.06813	-1.00000	-1.00000	0.07776	-1.00000	-1.00000	0.00094	-1.00000	-1.00000
154	Big_Springs	Tooele_Army	un	46703	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	-0.00948	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
162	Big_Springs	Tooele_Army	un	49842	-0.05209	-1.00000	-1.00000	-0.03062	-1.00000	-1.00000	-0.03125	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
166	Big_Springs	Tooele_Army	un	51479	0.01647	-1.00000	-1.00000	0.00084	-1.00000	-1.00000	-0.00137	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
170	Big_Springs	Tooele_Army	un	52187	-0.01790	-1.00000	-1.00000	-0.00969	-1.00000	-1.00000	-0.01675	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
173	Big_Springs	Tooele_Army	un	54113	0.01686	-1.00000	-1.00000	0.01624	-1.00000	-1.00000	0.00737	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
189	Big_Springs	Tooele_Army	un	58210	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	-0.00160	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
203	Big_Springs	Tooele_Army	un	62205	0.00952	-1.00000	-1.00000	0.00896	-1.00000	-1.00000	0.01920	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
205	Big_Springs	Tooele_Army	un	63918	0.04192	-1.00000	-1.00000	0.00198	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
217	Big_Springs	Tooele_Army	un	65474	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
227	Big_Springs	Tooele_Army	un	68529	0.00215	-1.00000	-1.00000	0.00176	-1.00000	-1.00000	0.01272	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
239	Big_Springs	Tooele_Army	un	72275	-0.01259	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
240	Big_Springs	Tooele_Army	un	73037	0.06847	-1.00000	-1.00000	0.01347	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
243	Big_Springs	Tooele_Army	un	73800	0.08397	-1.00000	-1.00000	0.00758	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
247	Big_Springs	Tooele_Army	un	76988	-0.03155	-1.00000	-1.00000	-0.00954	-1.00000	-1.00000	0.00279	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
257	Big_Springs	Tooele_Army	un	82539	-0.05013	-1.00000	-1.00000	-0.01345	-1.00000	-1.00000	-0.01180	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
261	Big_Springs	Tooele_Army	un	84087	0.03915	-1.00000	-1.00000	0.00529	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
265	Big_Springs	Tooele_Army	un	85805	-0.02588	-1.00000	-1.00000	-0.00448	-1.00000	-1.00000	-0.00362	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
267	Big_Springs	Tooele_Army	un	86650	0.02603	-1.00000	-1.00000	0.02666	-1.00000	-1.00000	0.05481	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
281	Big_Springs	Tooele_Army	un	93215	0.01459	-1.00000	-1.00000	0.00134	-1.00000	-1.00000	-0.00709	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
288	Big_Springs	Tooele_Army	un	95613	0.02833	-1.00000	-1.00000	0.01389	-1.00000	-1.00000	0.00967	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
290	Big_Springs	Tooele_Army	un	96484	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.01979	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
298	Big_Springs	Tooele_Army	un	99643	-0.03148	-1.00000	-1.00000	-0.02046	-1.00000	-1.00000	-0.02151	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
308	Big_Springs	Tooele_Army	un	102942	-0.02449	-1.00000	-1.00000	-0.01496	-1.00000	-1.00000	-0.00577	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
330	Big_Springs	Tooele_Army	un	110437	0.11355	-1.00000	-1.00000	0.01265	-1.00000	-1.00000	0.00252	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
332	Big_Springs	Tooele_Army	un	112065	-0.04983	-1.00000	-1.00000	-0.03696	-1.00000	-1.00000	-0.04595	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
337	Big_Springs	Tooele_Army	un	113652	-0.02121	-1.00000	-1.00000	-0.02152	-1.00000	-1.00000	-0.02220	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
339	Big_Springs	Tooele_Army	un	115324	-0.04240	-1.00000	-1.00000	-0.01577	-1.00000	-1.00000	-0.01554	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
342	Big_Springs	Tooele_Army	un	116931	-0.03625	-1.00000	-1.00000	-0.02157	-1.00000	-1.00000	-0.00836	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
349	Big_Springs	Tooele_Army	un	119386	0.03181	-1.00000	-1.00000	0.00164	-1.00000	-1.00000	-0.01399	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
356	Big_Springs	Tooele_Army	un	122078	0.00444	-1.00000	-1.00000	0.00041	-1.00000	-1.00000	0.00172	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
376	Big_Springs	Tooele_Army	un	125378	-0.04295	-1.00000	-1.00000	-0.00413	-1.00000	-1.00000	-0.00444	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
382	Big_Springs	Tooele_Army	un	127038	-0.03970	-1.00000	-1.00000	-0.00333	-1.00000	-1.00000	-0.00364	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
387	Big_Springs	Tooele_Army	un	129441	0.00744	-1.00000	-1.00000	0.00520	-1.00000	-1.00000	0.04260	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
393	Big_Springs	Tooele_Army	un	131092	0.09677	-1.00000	-1.00000	0.00965	-1.00000	-1.00000	0.00172	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
399	Big_Springs	Tooele_Army	un	134285	0.02116	-1.00000	-1.00000	0.00103	-1.00000	-1.00000	-0.01216	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
407	Big_Springs	Tooele_Army	un	136694	-0.04579	-1.00000	-1.00000	-0.00439	-1.00000	-1.00000	-0.01556	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
409	Big_Springs	Tooele_Army	un	137546	0.07479	-1.00000	-1.00000	0.04415	-1.00000	-1.00000	0.03268	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
422	Big_Springs	Tooele_Army	un	142304	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
423	Big_Springs	Tooele_Army	un	143174	0.08397	-1.00000	-1.00000	0.00758	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
429	Big_Springs	Tooele_Army	un	147181	-0.04286	-1.00000	-1.00000	-0.03562	-1.00000	-1.00000	-0.03415	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
434	Big_Springs	Tooele_Army	un	148880	0.32094	-1.00000	-1.00000	0.10567	-1.00000	-1.00000	0.10135	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
438	Big_Springs	Tooele_Army	un	149662	0.00851	-1.00000	-1.00000	0.00082	-1.00000	-1.00000	0.00109	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
440	Big_Springs	Tooele_Army	un	150531	0.02980	-1.00000	-1.00000	0.00133	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
443	Big_Springs	Tooele_Army	un	152168	0.10336	-1.00000	-1.00000	0.00992	-1.00000	-1.00000	0.00730	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
450	Big_Springs	Tooele_Army	un	155899	-0.04366	-1.00000	-1.00000	-0.03392	-1.00000	-1.00000	-0.03378	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
461	Big_Springs	Tooele_Army	un	159011	-0.00800	-1.00000	-1.00000	-0.00416	-1.00000	-1.00000	0.01219	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
468	Big_Springs	Tooele_Army	un	160523	-0.00312	-1.00000	-1.00000	-0.00041	-1.00000	-1.00000	-0.00161	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
477	Big_Springs	Tooele_Army	un	163860	0.17493	-1.00000	-1.00000	0.08072	-1.00000	-1.00000	0.07603	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
479	Big_Springs	Tooele_Army	un	164699	-0.02661	-1.00000	-1.00000	-0.01389	-1.00000	-1.00000	-0.02377	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
489	Big_Springs	Tooele_Army	un	169596	-0.00533	-1.00000	-1.00000	-0.00197	-1.00000	-1.00000	-0.00034	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
493	Big_Springs	Tooele_Army	un	170418	0.01736	-1.00000	-1.00000	0.00077	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
499	Big_Springs	Tooele_Army	un	172649	0.02980	-1.00000	-1.00000	0.00133	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
505	Big_Springs	Tooele_Army	un	175079	0.04192	-1.00000	-1.00000	0.00198	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
506	Big_Springs	Tooele_Army	un	175894	0.02980	-1.00000	-1.00000	0.00133	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
507	Big_Springs	Tooele_Army	un	176722	0.00629	-1.00000	-1.00000	0.00568	-1.00000	-1.00000	0.00427	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
510	Big_Springs	Tooele_Army	un	177555	-0.04171	-1.00000	-1.00000	-0.01624	-1.00000	-1.00000	-0.01587	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
526	Big_Springs	Tooele_Army	un	182483	0.05004	-1.00000	-1.00000	0.05096	-1.00000	-1.00000	0.02904	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
535	Big_Springs	Tooele_Army	un	184190	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.01979	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
537	Big_Springs	Tooele_Army	un	185021	0.03692	-1.00000	-1.00000	0.03840	-1.00000	-1.00000	0.03825	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
539	Big_Springs	Tooele_Army	un	186712	0.02559	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	-0.00483	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
542	Big_Springs	Tooele_Army	un	188344	-0.04285	-1.00000	-1.00000	-0.04474	-1.00000	-1.00000	-0.04045	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
551	Big_Springs	Tooele_Army	un	192365	0.04192	-1.00000	-1.00000	0.00198	-1.00000	-1.00000	0.01544	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
