# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Copilot	Mills_Valley	un	4175	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
41	Copilot	Mills_Valley	un	4964	-0.01894	-1.00000	-1.00000	-0.01940	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
46	Copilot	Mills_Valley	un	8168	0.20241	-1.00000	-1.00000	0.03499	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
48	Copilot	Mills_Valley	un	9816	-0.05151	-1.00000	-1.00000	-0.00790	-1.00000	-1.00000	-0.00349	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
51	Copilot	Mills_Valley	un	10668	0.12157	-1.00000	-1.00000	0.01301	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
55	Copilot	Mills_Valley	un	11422	-0.02639	-1.00000	-1.00000	-0.00136	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
58	Copilot	Mills_Valley	un	13054	0.03114	-1.00000	-1.00000	0.00480	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
66	Copilot	Mills_Valley	un	15548	0.01241	-1.00000	-1.00000	0.00191	-1.00000	-1.00000	-0.00070	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
75	Copilot	Mills_Valley	un	17104	0.25152	-1.00000	-1.00000	0.04799	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Copilot	Mills_Valley	un	18602	0.01226	-1.00000	-1.00000	0.00222	-1.00000	-1.00000	0.00217	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
91	Copilot	Mills_Valley	un	24010	-0.05016	-1.00000	-1.00000	-0.01362	-1.00000	-1.00000	0.00160	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
104	Copilot	Mills_Valley	un	27943	-0.04825	-1.00000	-1.00000	-0.03248	-1.00000	-1.00000	-0.03192	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
136	Copilot	Mills_Valley	un	36646	-0.04670	-1.00000	-1.00000	-0.04895	-1.00000	-1.00000	-0.04393	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
160	Copilot	Mills_Valley	un	43580	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
162	Copilot	Mills_Valley	un	44327	0.21250	-1.00000	-1.00000	0.10203	-1.00000	-1.00000	0.08436	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
173	Copilot	Mills_Valley	un	47890	-0.03279	-1.00000	-1.00000	-0.00747	-1.00000	-1.00000	-0.01483	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
179	Copilot	Mills_Valley	un	49504	-0.01526	-1.00000	-1.00000	-0.01561	-1.00000	-1.00000	-0.00840	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
225	Copilot	Mills_Valley	un	59207	-0.05215	-1.00000	-1.00000	-0.03379	-1.00000	-1.00000	-0.02906	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
227	Copilot	Mills_Valley	un	59871	0.11111	-1.00000	-1.00000	0.10853	-1.00000	-1.00000	0.12928	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
235	Copilot	Mills_Valley	un	62033	-0.02564	-1.00000	-1.00000	-0.00557	-1.00000	-1.00000	0.01287	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
239	Copilot	Mills_Valley	un	63617	0.07054	-1.00000	-1.00000	0.01425	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
244	Copilot	Mills_Valley	un	66000	-0.05164	-1.00000	-1.00000	-0.00835	-1.00000	-1.00000	-0.00266	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
246	Copilot	Mills_Valley	un	67482	0.07054	-1.00000	-1.00000	0.01425	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
251	Copilot	Mills_Valley	un	69897	-0.04997	-1.00000	-1.00000	-0.01279	-1.00000	-1.00000	-0.01341	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
261	Copilot	Mills_Valley	un	73138	0.18841	-1.00000	-1.00000	0.08497	-1.00000	-1.00000	0.06952	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
269	Copilot	Mills_Valley	un	77184	-0.01798	-1.00000	-1.00000	-0.00093	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
280	Copilot	Mills_Valley	un	80561	-0.02983	-1.00000	-1.00000	-0.01226	-1.00000	-1.00000	-0.00019	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
291	Copilot	Mills_Valley	un	83844	0.36998	-1.00000	-1.00000	0.38089	-1.00000	-1.00000	0.38073	-1.00000	-1.00000	0.00079	-1.00000	-1.00000
299	Copilot	Mills_Valley	un	86317	0.00473	-1.00000	-1.00000	0.00076	-1.00000	-1.00000	-0.00152	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
308	Copilot	Mills_Valley	un	88711	0.12344	-1.00000	-1.00000	0.03764	-1.00000	-1.00000	0.02155	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
311	Copilot	Mills_Valley	un	89576	0.00973	-1.00000	-1.00000	0.00771	-1.00000	-1.00000	0.01152	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
380	Copilot	Mills_Valley	un	109575	0.12157	-1.00000	-1.00000	0.01301	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
