# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Mona	Bishop	un	1664	0.14823	-1.00000	-1.00000	0.07511	-1.00000	-1.00000	0.15157	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
37	Mona	Bishop	un	6498	0.16942	-1.00000	-1.00000	0.01259	-1.00000	-1.00000	-0.00779	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Mona	Bishop	un	8044	0.04000	-1.00000	-1.00000	0.01290	-1.00000	-1.00000	-0.01101	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
75	Mona	Bishop	un	21025	-0.02724	-1.00000	-1.00000	-0.00355	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
98	Mona	Bishop	un	30244	-0.05950	-1.00000	-1.00000	-0.00376	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
99	Mona	Bishop	un	31053	0.35135	-1.00000	-1.00000	0.30233	-1.00000	-1.00000	0.37209	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
102	Mona	Bishop	un	31823	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
136	Mona	Bishop	un	41375	-0.06058	-1.00000	-1.00000	-0.00358	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
165	Mona	Bishop	un	50688	0.00592	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
171	Mona	Bishop	un	52972	-0.00756	-1.00000	-1.00000	-0.00133	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
202	Mona	Bishop	un	61395	0.00592	-1.00000	-1.00000	0.00119	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
235	Mona	Bishop	un	70691	-0.00147	-1.00000	-1.00000	-0.00027	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
261	Mona	Bishop	un	84087	0.18248	-1.00000	-1.00000	0.01296	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
283	Mona	Bishop	un	93975	0.02041	-1.00000	-1.00000	0.00488	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
292	Mona	Bishop	un	98126	-0.03483	-1.00000	-1.00000	-0.00398	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
300	Mona	Bishop	un	101365	-0.05950	-1.00000	-1.00000	-0.00376	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
304	Mona	Bishop	un	102187	0.18248	-1.00000	-1.00000	0.01296	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
