# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Tooele_Army	Mills_Valley	un	1	0.02740	-1.00000	-1.00000	0.00351	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
37	Tooele_Army	Mills_Valley	un	6498	0.16314	-1.00000	-1.00000	0.04647	-1.00000	-1.00000	0.04800	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
41	Tooele_Army	Mills_Valley	un	8044	0.24574	-1.00000	-1.00000	0.12821	-1.00000	-1.00000	0.12500	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
43	Tooele_Army	Mills_Valley	un	9693	-0.01896	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
46	Tooele_Army	Mills_Valley	un	11248	0.15892	-1.00000	-1.00000	0.03227	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
51	Tooele_Army	Mills_Valley	un	13748	0.07735	-1.00000	-1.00000	0.01037	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
66	Tooele_Army	Mills_Valley	un	19469	0.08720	-1.00000	-1.00000	0.01111	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
75	Tooele_Army	Mills_Valley	un	21025	0.20062	-1.00000	-1.00000	0.04494	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Tooele_Army	Mills_Valley	un	22523	0.11486	-1.00000	-1.00000	0.01596	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
88	Tooele_Army	Mills_Valley	un	27181	-0.01896	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
89	Tooele_Army	Mills_Valley	un	27961	0.54930	-1.00000	-1.00000	0.46245	-1.00000	-1.00000	0.46479	-1.00000	-1.00000	0.00077	-1.00000	-1.00000
91	Tooele_Army	Mills_Valley	un	28739	0.11486	-1.00000	-1.00000	0.01596	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
102	Tooele_Army	Mills_Valley	un	31823	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
104	Tooele_Army	Mills_Valley	un	32672	0.75794	-1.00000	-1.00000	0.68850	-1.00000	-1.00000	0.68750	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
106	Tooele_Army	Mills_Valley	un	34218	0.65097	-1.00000	-1.00000	0.52809	-1.00000	-1.00000	0.51151	-1.00000	-1.00000	0.00090	-1.00000	-1.00000
131	Tooele_Army	Mills_Valley	un	40626	-0.01896	-1.00000	-1.00000	-0.00116	-1.00000	-1.00000	0.00250	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
136	Tooele_Army	Mills_Valley	un	41375	0.43507	-1.00000	-1.00000	0.24077	-1.00000	-1.00000	0.23729	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
144	Tooele_Army	Mills_Valley	un	43730	-0.06411	-1.00000	-1.00000	-0.04753	-1.00000	-1.00000	-0.04748	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
162	Tooele_Army	Mills_Valley	un	49842	0.71895	-1.00000	-1.00000	0.68678	-1.00000	-1.00000	0.67988	-1.00000	-1.00000	0.00092	-1.00000	-1.00000
173	Tooele_Army	Mills_Valley	un	54113	0.19713	-1.00000	-1.00000	0.16697	-1.00000	-1.00000	0.14231	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
179	Tooele_Army	Mills_Valley	un	55727	0.66627	-1.00000	-1.00000	0.52897	-1.00000	-1.00000	0.52555	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
217	Tooele_Army	Mills_Valley	un	65474	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.01223	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
225	Tooele_Army	Mills_Valley	un	67865	0.21526	-1.00000	-1.00000	0.06418	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
227	Tooele_Army	Mills_Valley	un	68529	0.14498	-1.00000	-1.00000	0.14079	-1.00000	-1.00000	0.16403	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
243	Tooele_Army	Mills_Valley	un	73800	0.02740	-1.00000	-1.00000	0.00351	-1.00000	-1.00000	0.00139	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
