# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Leland_Harris	2022_Leland_Harris_LTC1,2022_Leland_Harris_LTC10,2022_Leland_Harris_LTC11,2022_Leland_Harris_LTC12,2022_Leland_Harris_LTC13,2022_Leland_Harris_LTC14,2022_Leland_Harris_LTC15,2022_Leland_Harris_LTC2,2022_Leland_Harris_LTC3,2022_Leland_Harris_LTC4,2022_Leland_Harris_LTC5,2022_Leland_Harris_LTC6,2022_Leland_Harris_LTC7,2022_Leland_Harris_LTC8,2022_Leland_Harris_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Mona	Leland_Harris	un	1664	0.56912	-1.00000	-1.00000	0.60645	-1.00000	-1.00000	0.61674	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
37	Mona	Leland_Harris	un	6498	0.15578	-1.00000	-1.00000	0.01215	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
41	Mona	Leland_Harris	un	8044	0.36906	-1.00000	-1.00000	0.06814	-1.00000	-1.00000	0.04545	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
63	Mona	Leland_Harris	un	17729	0.04910	-1.00000	-1.00000	0.01496	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
82	Mona	Leland_Harris	un	23963	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
86	Mona	Leland_Harris	un	25574	-0.05950	-1.00000	-1.00000	-0.00376	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
99	Mona	Leland_Harris	un	31053	0.11111	-1.00000	-1.00000	0.04762	-1.00000	-1.00000	0.06757	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
102	Mona	Leland_Harris	un	31823	0.22581	-1.00000	-1.00000	0.14894	-1.00000	-1.00000	0.22857	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
104	Mona	Leland_Harris	un	32672	0.24290	-1.00000	-1.00000	0.17620	-1.00000	-1.00000	0.20183	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
140	Mona	Leland_Harris	un	42160	-0.01266	-1.00000	-1.00000	-0.00209	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
225	Mona	Leland_Harris	un	67865	0.12663	-1.00000	-1.00000	0.05965	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
227	Mona	Leland_Harris	un	68529	0.68463	-1.00000	-1.00000	0.32542	-1.00000	-1.00000	0.30000	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
261	Mona	Leland_Harris	un	84087	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
292	Mona	Leland_Harris	un	98126	0.01297	-1.00000	-1.00000	0.00291	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
308	Mona	Leland_Harris	un	102942	-0.08663	-1.00000	-1.00000	-0.08242	-1.00000	-1.00000	-0.08663	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
311	Mona	Leland_Harris	un	103807	0.92878	-1.00000	-1.00000	0.85888	-1.00000	-1.00000	0.85714	-1.00000	-1.00000	0.00108	-1.00000	-1.00000
318	Mona	Leland_Harris	un	106152	0.04000	-1.00000	-1.00000	0.01099	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
330	Mona	Leland_Harris	un	110437	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
332	Mona	Leland_Harris	un	112065	0.68463	-1.00000	-1.00000	0.32542	-1.00000	-1.00000	0.30000	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
376	Mona	Leland_Harris	un	125378	0.15578	-1.00000	-1.00000	0.01215	-1.00000	-1.00000	-0.00816	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
409	Mona	Leland_Harris	un	137546	0.94001	-1.00000	-1.00000	0.85904	-1.00000	-1.00000	0.85714	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
422	Mona	Leland_Harris	un	142304	0.19618	-1.00000	-1.00000	0.12071	-1.00000	-1.00000	0.19576	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
423	Mona	Leland_Harris	un	143174	0.18248	-1.00000	-1.00000	0.01296	-1.00000	-1.00000	-0.00744	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
434	Mona	Leland_Harris	un	148880	0.02041	-1.00000	-1.00000	0.00488	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
468	Mona	Leland_Harris	un	160523	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	0.00126	-1.00000	-1.00000
504	Mona	Leland_Harris	un	174249	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	0.00121	-1.00000	-1.00000
505	Mona	Leland_Harris	un	175079	-0.06058	-1.00000	-1.00000	-0.00358	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
510	Mona	Leland_Harris	un	177555	0.55963	-1.00000	-1.00000	0.17479	-1.00000	-1.00000	0.14634	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
514	Mona	Leland_Harris	un	178348	0.48907	-1.00000	-1.00000	0.50258	-1.00000	-1.00000	0.51740	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
537	Mona	Leland_Harris	un	185021	0.78591	-1.00000	-1.00000	0.50487	-1.00000	-1.00000	0.48780	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
542	Mona	Leland_Harris	un	188344	0.37344	-1.00000	-1.00000	0.23350	-1.00000	-1.00000	0.19000	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
554	Mona	Leland_Harris	un	193972	-0.03483	-1.00000	-1.00000	-0.00398	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
