# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Gandy	Big_Springs	un	1664	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00361	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
37	Gandy	Big_Springs	un	6498	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
40	Gandy	Big_Springs	un	7287	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Gandy	Big_Springs	un	8044	-0.02569	-1.00000	-1.00000	-0.00281	-1.00000	-1.00000	-0.00237	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
42	Gandy	Big_Springs	un	8873	0.41889	-1.00000	-1.00000	0.27961	-1.00000	-1.00000	0.26056	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
43	Gandy	Big_Springs	un	9693	-0.03558	-1.00000	-1.00000	-0.00527	-1.00000	-1.00000	-0.00227	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
64	Gandy	Big_Springs	un	18619	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
86	Gandy	Big_Springs	un	25574	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.01682	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
88	Gandy	Big_Springs	un	27181	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Gandy	Big_Springs	un	27961	0.83435	-1.00000	-1.00000	0.82197	-1.00000	-1.00000	0.81100	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
99	Gandy	Big_Springs	un	31053	0.58621	-1.00000	-1.00000	0.46789	-1.00000	-1.00000	0.46789	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
104	Gandy	Big_Springs	un	32672	0.33944	-1.00000	-1.00000	0.14624	-1.00000	-1.00000	0.19576	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
125	Gandy	Big_Springs	un	39104	0.15194	-1.00000	-1.00000	0.02682	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
148	Gandy	Big_Springs	un	44318	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
153	Gandy	Big_Springs	un	45912	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
159	Gandy	Big_Springs	un	48273	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
162	Gandy	Big_Springs	un	49842	0.29493	-1.00000	-1.00000	0.29709	-1.00000	-1.00000	0.34717	-1.00000	-1.00000	0.00079	-1.00000	-1.00000
165	Gandy	Big_Springs	un	50688	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
173	Gandy	Big_Springs	un	54113	0.49181	-1.00000	-1.00000	0.46681	-1.00000	-1.00000	0.46003	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
177	Gandy	Big_Springs	un	54921	0.45057	-1.00000	-1.00000	0.27457	-1.00000	-1.00000	0.28659	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
187	Gandy	Big_Springs	un	57395	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
203	Gandy	Big_Springs	un	62205	0.04357	-1.00000	-1.00000	0.04394	-1.00000	-1.00000	0.05087	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
