# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC13,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC15,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Willow_Pond	Jail_Pond	un	1	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
16	Willow_Pond	Jail_Pond	un	1664	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
28	Willow_Pond	Jail_Pond	un	3323	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
37	Willow_Pond	Jail_Pond	un	6498	0.29006	-1.00000	-1.00000	0.09910	-1.00000	-1.00000	0.12008	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
43	Willow_Pond	Jail_Pond	un	9693	0.09054	-1.00000	-1.00000	0.01094	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
48	Willow_Pond	Jail_Pond	un	12896	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
74	Willow_Pond	Jail_Pond	un	20240	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00429	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
82	Willow_Pond	Jail_Pond	un	23963	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
99	Willow_Pond	Jail_Pond	un	31053	0.10528	-1.00000	-1.00000	0.01778	-1.00000	-1.00000	0.01175	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
106	Willow_Pond	Jail_Pond	un	34218	0.40741	-1.00000	-1.00000	0.23404	-1.00000	-1.00000	0.23404	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
115	Willow_Pond	Jail_Pond	un	35799	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
160	Willow_Pond	Jail_Pond	un	49095	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
165	Willow_Pond	Jail_Pond	un	50688	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
172	Willow_Pond	Jail_Pond	un	53457	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
