# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC11,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC13,2022_Red_Knolls_LTC14,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Population Clear_Lake	2022_Clear_Lake_LTC1,2022_Clear_Lake_LTC10,2022_Clear_Lake_LTC11,2022_Clear_Lake_LTC12,2022_Clear_Lake_LTC13,2022_Clear_Lake_LTC14,2022_Clear_Lake_LTC15,2022_Clear_Lake_LTC2,2022_Clear_Lake_LTC3,2022_Clear_Lake_LTC4,2022_Clear_Lake_LTC5,2022_Clear_Lake_LTC6,2022_Clear_Lake_LTC7,2022_Clear_Lake_LTC8,2022_Clear_Lake_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Red_Knolls	Clear_Lake	un	813	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.01768	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
16	Red_Knolls	Clear_Lake	un	1664	-0.03816	-1.00000	-1.00000	-0.00949	-1.00000	-1.00000	-0.01107	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
28	Red_Knolls	Clear_Lake	un	3323	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
41	Red_Knolls	Clear_Lake	un	8044	0.56031	-1.00000	-1.00000	0.50302	-1.00000	-1.00000	0.48214	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
82	Red_Knolls	Clear_Lake	un	23963	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
99	Red_Knolls	Clear_Lake	un	31053	0.27793	-1.00000	-1.00000	0.23509	-1.00000	-1.00000	0.26435	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
105	Red_Knolls	Clear_Lake	un	33479	0.08696	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
106	Red_Knolls	Clear_Lake	un	34218	0.25722	-1.00000	-1.00000	0.22247	-1.00000	-1.00000	0.21381	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
125	Red_Knolls	Clear_Lake	un	39104	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	0.00008	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
130	Red_Knolls	Clear_Lake	un	39806	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00738	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
153	Red_Knolls	Clear_Lake	un	45912	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.01989	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
157	Red_Knolls	Clear_Lake	un	47487	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
160	Red_Knolls	Clear_Lake	un	49095	-0.03841	-1.00000	-1.00000	-0.00296	-1.00000	-1.00000	-0.00297	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
165	Red_Knolls	Clear_Lake	un	50688	0.04281	-1.00000	-1.00000	0.01782	-1.00000	-1.00000	0.03003	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
171	Red_Knolls	Clear_Lake	un	52972	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
172	Red_Knolls	Clear_Lake	un	53457	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
192	Red_Knolls	Clear_Lake	un	59771	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
235	Red_Knolls	Clear_Lake	un	70691	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
243	Red_Knolls	Clear_Lake	un	73800	-0.04160	-1.00000	-1.00000	-0.00347	-1.00000	-1.00000	0.00877	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
246	Red_Knolls	Clear_Lake	un	76140	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
254	Red_Knolls	Clear_Lake	un	81663	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
273	Red_Knolls	Clear_Lake	un	89915	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
