# Population Clear_Lake	2022_Clear_Lake_LTC1,2022_Clear_Lake_LTC10,2022_Clear_Lake_LTC11,2022_Clear_Lake_LTC12,2022_Clear_Lake_LTC13,2022_Clear_Lake_LTC14,2022_Clear_Lake_LTC15,2022_Clear_Lake_LTC2,2022_Clear_Lake_LTC3,2022_Clear_Lake_LTC4,2022_Clear_Lake_LTC5,2022_Clear_Lake_LTC6,2022_Clear_Lake_LTC7,2022_Clear_Lake_LTC8,2022_Clear_Lake_LTC9
# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Clear_Lake	Red_Knolls	un	813	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
16	Clear_Lake	Red_Knolls	un	1664	-0.04128	-1.00000	-1.00000	-0.01118	-1.00000	-1.00000	0.00536	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
28	Clear_Lake	Red_Knolls	un	3323	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.03532	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Clear_Lake	Red_Knolls	un	8044	0.53040	-1.00000	-1.00000	0.49253	-1.00000	-1.00000	0.46920	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
82	Clear_Lake	Red_Knolls	un	23963	0.10260	-1.00000	-1.00000	0.01535	-1.00000	-1.00000	0.00232	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
89	Clear_Lake	Red_Knolls	un	27961	0.07336	-1.00000	-1.00000	0.01118	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
99	Clear_Lake	Red_Knolls	un	31053	0.29188	-1.00000	-1.00000	0.24437	-1.00000	-1.00000	0.25706	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
105	Clear_Lake	Red_Knolls	un	33479	0.07336	-1.00000	-1.00000	0.01118	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
106	Clear_Lake	Red_Knolls	un	34218	0.27492	-1.00000	-1.00000	0.23879	-1.00000	-1.00000	0.25872	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
125	Clear_Lake	Red_Knolls	un	39104	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
