# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC14,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Keg_Springs	2022_Keg_Springs_LTC1,2022_Keg_Springs_LTC2,2022_Keg_Springs_LTC3,2022_Keg_Springs_LTC4,2022_Keg_Springs_LTC5,2022_Keg_Springs_LTC6,2022_Keg_Springs_LTC7,2022_Keg_Springs_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Bishop	Keg_Springs	un	1664	-0.05035	-1.00000	-1.00000	-0.03438	-1.00000	-1.00000	0.02887	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
28	Bishop	Keg_Springs	un	3323	0.01344	-1.00000	-1.00000	0.00136	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
41	Bishop	Keg_Springs	un	8044	0.01950	-1.00000	-1.00000	0.00209	-1.00000	-1.00000	0.06452	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
43	Bishop	Keg_Springs	un	9693	-0.04997	-1.00000	-1.00000	-0.01279	-1.00000	-1.00000	-0.01216	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
64	Bishop	Keg_Springs	un	18619	0.04192	-1.00000	-1.00000	0.00198	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
75	Bishop	Keg_Springs	un	21025	0.01344	-1.00000	-1.00000	0.00136	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
84	Bishop	Keg_Springs	un	24812	-0.05151	-1.00000	-1.00000	-0.00790	-1.00000	-1.00000	0.01130	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
98	Bishop	Keg_Springs	un	30244	-0.02639	-1.00000	-1.00000	-0.00136	-1.00000	-1.00000	-0.01466	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
102	Bishop	Keg_Springs	un	31823	-0.02315	-1.00000	-1.00000	-0.00103	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
125	Bishop	Keg_Springs	un	39104	0.14621	-1.00000	-1.00000	0.01771	-1.00000	-1.00000	-0.00433	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
