# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC14,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Bishop	Tooele_Army	un	1	0.08397	-1.00000	-1.00000	0.00758	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
16	Bishop	Tooele_Army	un	1664	0.23923	-1.00000	-1.00000	0.09488	-1.00000	-1.00000	0.18781	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
27	Bishop	Tooele_Army	un	2478	0.01647	-1.00000	-1.00000	0.00084	-1.00000	-1.00000	-0.00718	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
28	Bishop	Tooele_Army	un	3323	0.02561	-1.00000	-1.00000	0.00238	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
37	Bishop	Tooele_Army	un	6498	0.23288	-1.00000	-1.00000	0.05231	-1.00000	-1.00000	0.03548	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
41	Bishop	Tooele_Army	un	8044	-0.03891	-1.00000	-1.00000	-0.00571	-1.00000	-1.00000	0.04620	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
43	Bishop	Tooele_Army	un	9693	-0.02266	-1.00000	-1.00000	-0.00411	-1.00000	-1.00000	0.00345	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
75	Bishop	Tooele_Army	un	21025	0.02561	-1.00000	-1.00000	0.00238	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
84	Bishop	Tooele_Army	un	24812	0.01990	-1.00000	-1.00000	0.00193	-1.00000	-1.00000	-0.00381	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
86	Bishop	Tooele_Army	un	25574	0.03181	-1.00000	-1.00000	0.00164	-1.00000	-1.00000	-0.00610	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
88	Bishop	Tooele_Army	un	27181	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
98	Bishop	Tooele_Army	un	30244	-0.01049	-1.00000	-1.00000	-0.00047	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
99	Bishop	Tooele_Army	un	31053	0.44504	-1.00000	-1.00000	0.32151	-1.00000	-1.00000	0.36851	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
102	Bishop	Tooele_Army	un	31823	-0.03970	-1.00000	-1.00000	-0.00333	-1.00000	-1.00000	-0.00364	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
131	Bishop	Tooele_Army	un	40626	0.06256	-1.00000	-1.00000	0.02125	-1.00000	-1.00000	0.03712	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
136	Bishop	Tooele_Army	un	41375	-0.01049	-1.00000	-1.00000	-0.00047	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
