# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Lower_Rocky	Big_Springs	un	1664	0.50074	-1.00000	-1.00000	0.32498	-1.00000	-1.00000	0.33752	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
37	Lower_Rocky	Big_Springs	un	6498	0.03555	-1.00000	-1.00000	0.00306	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
41	Lower_Rocky	Big_Springs	un	8044	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
42	Lower_Rocky	Big_Springs	un	8873	0.03377	-1.00000	-1.00000	0.03409	-1.00000	-1.00000	0.03431	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
43	Lower_Rocky	Big_Springs	un	9693	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
63	Lower_Rocky	Big_Springs	un	17729	0.25744	-1.00000	-1.00000	0.08247	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
86	Lower_Rocky	Big_Springs	un	25574	-0.04160	-1.00000	-1.00000	-0.00347	-1.00000	-1.00000	0.00877	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
88	Lower_Rocky	Big_Springs	un	27181	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Lower_Rocky	Big_Springs	un	27961	0.84527	-1.00000	-1.00000	0.82214	-1.00000	-1.00000	0.82891	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
99	Lower_Rocky	Big_Springs	un	31053	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
102	Lower_Rocky	Big_Springs	un	31823	0.43428	-1.00000	-1.00000	0.27737	-1.00000	-1.00000	0.27807	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
104	Lower_Rocky	Big_Springs	un	32672	0.30515	-1.00000	-1.00000	0.12370	-1.00000	-1.00000	0.12308	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
131	Lower_Rocky	Big_Springs	un	40626	0.17774	-1.00000	-1.00000	0.04751	-1.00000	-1.00000	0.04113	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
136	Lower_Rocky	Big_Springs	un	41375	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
162	Lower_Rocky	Big_Springs	un	49842	0.45670	-1.00000	-1.00000	0.46684	-1.00000	-1.00000	0.47763	-1.00000	-1.00000	0.00084	-1.00000	-1.00000
170	Lower_Rocky	Big_Springs	un	52187	0.80270	-1.00000	-1.00000	0.78916	-1.00000	-1.00000	0.77474	-1.00000	-1.00000	0.00108	-1.00000	-1.00000
173	Lower_Rocky	Big_Springs	un	54113	0.64866	-1.00000	-1.00000	0.58388	-1.00000	-1.00000	0.56434	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
177	Lower_Rocky	Big_Springs	un	54921	0.42894	-1.00000	-1.00000	0.27303	-1.00000	-1.00000	0.25220	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
225	Lower_Rocky	Big_Springs	un	67865	0.20000	-1.00000	-1.00000	0.05660	-1.00000	-1.00000	0.05021	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
227	Lower_Rocky	Big_Springs	un	68529	0.29323	-1.00000	-1.00000	0.16381	-1.00000	-1.00000	0.18315	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
239	Lower_Rocky	Big_Springs	un	72275	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
250	Lower_Rocky	Big_Springs	un	79219	0.45732	-1.00000	-1.00000	0.27050	-1.00000	-1.00000	0.35334	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
261	Lower_Rocky	Big_Springs	un	84087	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
267	Lower_Rocky	Big_Springs	un	86650	0.53042	-1.00000	-1.00000	0.37820	-1.00000	-1.00000	0.41806	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
288	Lower_Rocky	Big_Springs	un	95613	0.01299	-1.00000	-1.00000	0.01115	-1.00000	-1.00000	0.00017	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
304	Lower_Rocky	Big_Springs	un	102187	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Lower_Rocky	Big_Springs	un	102942	-0.03781	-1.00000	-1.00000	-0.02600	-1.00000	-1.00000	-0.02169	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
311	Lower_Rocky	Big_Springs	un	103807	0.55801	-1.00000	-1.00000	0.46639	-1.00000	-1.00000	0.45531	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
317	Lower_Rocky	Big_Springs	un	105373	0.11329	-1.00000	-1.00000	0.02085	-1.00000	-1.00000	0.02135	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
323	Lower_Rocky	Big_Springs	un	108204	0.09054	-1.00000	-1.00000	0.01094	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
328	Lower_Rocky	Big_Springs	un	109871	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.01276	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
332	Lower_Rocky	Big_Springs	un	112065	0.70370	-1.00000	-1.00000	0.63758	-1.00000	-1.00000	0.64526	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
338	Lower_Rocky	Big_Springs	un	115077	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00518	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
339	Lower_Rocky	Big_Springs	un	115909	0.12595	-1.00000	-1.00000	0.02599	-1.00000	-1.00000	0.01743	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
356	Lower_Rocky	Big_Springs	un	122663	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
376	Lower_Rocky	Big_Springs	un	125963	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
387	Lower_Rocky	Big_Springs	un	130026	0.32000	-1.00000	-1.00000	0.14487	-1.00000	-1.00000	0.15744	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
401	Lower_Rocky	Big_Springs	un	135703	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
409	Lower_Rocky	Big_Springs	un	138131	0.84696	-1.00000	-1.00000	0.83630	-1.00000	-1.00000	0.83005	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
414	Lower_Rocky	Big_Springs	un	141288	-0.00384	-1.00000	-1.00000	-0.00369	-1.00000	-1.00000	-0.01232	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
422	Lower_Rocky	Big_Springs	un	142889	0.19238	-1.00000	-1.00000	0.04856	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
429	Lower_Rocky	Big_Springs	un	147766	0.08164	-1.00000	-1.00000	0.04489	-1.00000	-1.00000	0.03780	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
434	Lower_Rocky	Big_Springs	un	149465	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
438	Lower_Rocky	Big_Springs	un	150247	0.03320	-1.00000	-1.00000	0.00263	-1.00000	-1.00000	-0.00303	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
448	Lower_Rocky	Big_Springs	un	154978	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00558	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
450	Lower_Rocky	Big_Springs	un	156484	0.29630	-1.00000	-1.00000	0.12308	-1.00000	-1.00000	0.12308	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
461	Lower_Rocky	Big_Springs	un	159596	0.15846	-1.00000	-1.00000	0.12503	-1.00000	-1.00000	0.12463	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
468	Lower_Rocky	Big_Springs	un	161108	0.92611	-1.00000	-1.00000	0.92839	-1.00000	-1.00000	0.92839	-1.00000	-1.00000	0.00117	-1.00000	-1.00000
477	Lower_Rocky	Big_Springs	un	163578	0.30395	-1.00000	-1.00000	0.21190	-1.00000	-1.00000	0.19855	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
479	Lower_Rocky	Big_Springs	un	164417	-0.03517	-1.00000	-1.00000	-0.01976	-1.00000	-1.00000	-0.02720	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
480	Lower_Rocky	Big_Springs	un	165210	0.23006	-1.00000	-1.00000	0.06951	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
489	Lower_Rocky	Big_Springs	un	169314	0.16584	-1.00000	-1.00000	0.04086	-1.00000	-1.00000	0.04132	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
499	Lower_Rocky	Big_Springs	un	172367	0.46069	-1.00000	-1.00000	0.27518	-1.00000	-1.00000	0.29478	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
