# Population Leland_Harris	2022_Leland_Harris_LTC1,2022_Leland_Harris_LTC10,2022_Leland_Harris_LTC11,2022_Leland_Harris_LTC12,2022_Leland_Harris_LTC13,2022_Leland_Harris_LTC14,2022_Leland_Harris_LTC15,2022_Leland_Harris_LTC2,2022_Leland_Harris_LTC3,2022_Leland_Harris_LTC4,2022_Leland_Harris_LTC5,2022_Leland_Harris_LTC6,2022_Leland_Harris_LTC7,2022_Leland_Harris_LTC8,2022_Leland_Harris_LTC9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Leland_Harris	Rosebud_Top_P	un	1664	0.68186	-1.00000	-1.00000	0.61648	-1.00000	-1.00000	0.61674	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
42	Leland_Harris	Rosebud_Top_P	un	8873	0.44766	-1.00000	-1.00000	0.42038	-1.00000	-1.00000	0.41246	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
51	Leland_Harris	Rosebud_Top_P	un	13748	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
63	Leland_Harris	Rosebud_Top_P	un	17729	0.14815	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
79	Leland_Harris	Rosebud_Top_P	un	23289	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
91	Leland_Harris	Rosebud_Top_P	un	28739	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
93	Leland_Harris	Rosebud_Top_P	un	29518	0.08696	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	-0.00086	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
99	Leland_Harris	Rosebud_Top_P	un	31053	0.23578	-1.00000	-1.00000	0.06894	-1.00000	-1.00000	0.06757	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
102	Leland_Harris	Rosebud_Top_P	un	31823	0.35895	-1.00000	-1.00000	0.17354	-1.00000	-1.00000	0.18861	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
104	Leland_Harris	Rosebud_Top_P	un	32672	0.51398	-1.00000	-1.00000	0.43096	-1.00000	-1.00000	0.43137	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
106	Leland_Harris	Rosebud_Top_P	un	34218	0.81223	-1.00000	-1.00000	0.77087	-1.00000	-1.00000	0.77462	-1.00000	-1.00000	0.00109	-1.00000	-1.00000
140	Leland_Harris	Rosebud_Top_P	un	42160	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
144	Leland_Harris	Rosebud_Top_P	un	43730	0.05719	-1.00000	-1.00000	0.05392	-1.00000	-1.00000	0.06400	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
