# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC15,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Copilot	Jail_Pond	un	1	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
16	Copilot	Jail_Pond	un	1664	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
37	Copilot	Jail_Pond	un	6498	0.20341	-1.00000	-1.00000	0.07732	-1.00000	-1.00000	0.09682	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
41	Copilot	Jail_Pond	un	8044	0.37820	-1.00000	-1.00000	0.28353	-1.00000	-1.00000	0.28542	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
43	Copilot	Jail_Pond	un	9693	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
48	Copilot	Jail_Pond	un	12896	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Copilot	Jail_Pond	un	15343	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
58	Copilot	Jail_Pond	un	16975	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
66	Copilot	Jail_Pond	un	19469	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
77	Copilot	Jail_Pond	un	22523	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
91	Copilot	Jail_Pond	un	28739	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
99	Copilot	Jail_Pond	un	31053	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00558	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
102	Copilot	Jail_Pond	un	31823	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
104	Copilot	Jail_Pond	un	32672	0.70370	-1.00000	-1.00000	0.63758	-1.00000	-1.00000	0.64526	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
115	Copilot	Jail_Pond	un	35799	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
131	Copilot	Jail_Pond	un	40626	0.19057	-1.00000	-1.00000	0.04497	-1.00000	-1.00000	0.05876	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
136	Copilot	Jail_Pond	un	41375	0.48978	-1.00000	-1.00000	0.32431	-1.00000	-1.00000	0.37209	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
160	Copilot	Jail_Pond	un	49095	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
170	Copilot	Jail_Pond	un	52187	0.76837	-1.00000	-1.00000	0.76095	-1.00000	-1.00000	0.73226	-1.00000	-1.00000	0.00107	-1.00000	-1.00000
173	Copilot	Jail_Pond	un	54113	0.55429	-1.00000	-1.00000	0.52133	-1.00000	-1.00000	0.51366	-1.00000	-1.00000	0.00087	-1.00000	-1.00000
203	Copilot	Jail_Pond	un	62205	0.03259	-1.00000	-1.00000	0.02441	-1.00000	-1.00000	0.05278	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
225	Copilot	Jail_Pond	un	67865	0.24887	-1.00000	-1.00000	0.08190	-1.00000	-1.00000	0.12954	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
227	Copilot	Jail_Pond	un	68529	-0.02498	-1.00000	-1.00000	-0.01992	-1.00000	-1.00000	-0.01992	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
239	Copilot	Jail_Pond	un	72275	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
240	Copilot	Jail_Pond	un	73037	0.16737	-1.00000	-1.00000	0.03722	-1.00000	-1.00000	0.05342	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
244	Copilot	Jail_Pond	un	74658	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
251	Copilot	Jail_Pond	un	80031	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.00352	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
261	Copilot	Jail_Pond	un	84087	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
267	Copilot	Jail_Pond	un	86650	0.23578	-1.00000	-1.00000	0.06894	-1.00000	-1.00000	0.08451	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
291	Copilot	Jail_Pond	un	97330	0.23364	-1.00000	-1.00000	0.08013	-1.00000	-1.00000	0.08069	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
299	Copilot	Jail_Pond	un	100548	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Copilot	Jail_Pond	un	102942	0.52973	-1.00000	-1.00000	0.53766	-1.00000	-1.00000	0.55000	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
317	Copilot	Jail_Pond	un	105373	0.20000	-1.00000	-1.00000	0.05660	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
318	Copilot	Jail_Pond	un	106152	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
332	Copilot	Jail_Pond	un	112065	0.62963	-1.00000	-1.00000	0.53125	-1.00000	-1.00000	0.53125	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
339	Copilot	Jail_Pond	un	115909	0.24887	-1.00000	-1.00000	0.08190	-1.00000	-1.00000	0.10158	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
342	Copilot	Jail_Pond	un	117516	0.18240	-1.00000	-1.00000	0.04441	-1.00000	-1.00000	0.04376	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
356	Copilot	Jail_Pond	un	122663	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
374	Copilot	Jail_Pond	un	125198	0.28472	-1.00000	-1.00000	0.14552	-1.00000	-1.00000	0.19836	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
386	Copilot	Jail_Pond	un	129185	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
394	Copilot	Jail_Pond	un	132470	0.08745	-1.00000	-1.00000	0.01453	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
406	Copilot	Jail_Pond	un	136528	-0.00489	-1.00000	-1.00000	-0.00018	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
423	Copilot	Jail_Pond	un	143759	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
427	Copilot	Jail_Pond	un	146931	0.12000	-1.00000	-1.00000	0.02135	-1.00000	-1.00000	0.01520	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
429	Copilot	Jail_Pond	un	147766	-0.03942	-1.00000	-1.00000	-0.01680	-1.00000	-1.00000	-0.02128	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
