# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Lower_Rocky	Mills_Valley	un	1664	0.42515	-1.00000	-1.00000	0.31839	-1.00000	-1.00000	0.37209	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
41	Lower_Rocky	Mills_Valley	un	8044	0.41160	-1.00000	-1.00000	0.17346	-1.00000	-1.00000	0.14806	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
46	Lower_Rocky	Mills_Valley	un	11248	0.20241	-1.00000	-1.00000	0.03499	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
51	Lower_Rocky	Mills_Valley	un	13748	0.11355	-1.00000	-1.00000	0.01265	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
63	Lower_Rocky	Mills_Valley	un	17729	0.18892	-1.00000	-1.00000	0.07538	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
66	Lower_Rocky	Mills_Valley	un	19469	0.12157	-1.00000	-1.00000	0.01301	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
75	Lower_Rocky	Mills_Valley	un	21025	0.25152	-1.00000	-1.00000	0.04799	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Lower_Rocky	Mills_Valley	un	22523	0.15578	-1.00000	-1.00000	0.01812	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
91	Lower_Rocky	Mills_Valley	un	28739	0.13625	-1.00000	-1.00000	0.01722	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
99	Lower_Rocky	Mills_Valley	un	31053	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
