# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Mona	Big_Springs	un	6498	-0.07312	-1.00000	-1.00000	-0.01438	-1.00000	-1.00000	-0.02016	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
41	Mona	Big_Springs	un	8044	0.09135	-1.00000	-1.00000	0.02557	-1.00000	-1.00000	0.00649	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
55	Mona	Big_Springs	un	14502	0.00295	-1.00000	-1.00000	0.00036	-1.00000	-1.00000	-0.00990	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
115	Mona	Big_Springs	un	33437	0.10875	-1.00000	-1.00000	0.04784	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
172	Mona	Big_Springs	un	50224	0.04344	-1.00000	-1.00000	0.03818	-1.00000	-1.00000	0.02341	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
177	Mona	Big_Springs	un	51688	0.30831	-1.00000	-1.00000	0.25055	-1.00000	-1.00000	0.32107	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
227	Mona	Big_Springs	un	62113	-0.06143	-1.00000	-1.00000	-0.06280	-1.00000	-1.00000	-0.07286	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
261	Mona	Big_Springs	un	76898	-0.08227	-1.00000	-1.00000	-0.01924	-1.00000	-1.00000	-0.02315	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
292	Mona	Big_Springs	un	89180	-0.08738	-1.00000	-1.00000	-0.09300	-1.00000	-1.00000	-0.09884	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
308	Mona	Big_Springs	un	93251	-0.06667	-1.00000	-1.00000	-0.05308	-1.00000	-1.00000	-0.06779	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
311	Mona	Big_Springs	un	94116	0.08207	-1.00000	-1.00000	0.06521	-1.00000	-1.00000	0.08253	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
330	Mona	Big_Springs	un	100746	0.16942	-1.00000	-1.00000	0.01259	-1.00000	-1.00000	-0.00779	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
332	Mona	Big_Springs	un	102374	0.02041	-1.00000	-1.00000	0.01856	-1.00000	-1.00000	-0.00141	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
376	Mona	Big_Springs	un	115687	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
409	Mona	Big_Springs	un	127074	-0.08589	-1.00000	-1.00000	-0.02678	-1.00000	-1.00000	-0.02339	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
423	Mona	Big_Springs	un	131109	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
468	Mona	Big_Springs	un	146300	-0.06211	-1.00000	-1.00000	-0.00326	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
488	Mona	Big_Springs	un	153744	0.38574	-1.00000	-1.00000	0.06880	-1.00000	-1.00000	0.04545	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
504	Mona	Big_Springs	un	158432	0.07503	-1.00000	-1.00000	0.05847	-1.00000	-1.00000	0.09069	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
510	Mona	Big_Springs	un	161738	0.02846	-1.00000	-1.00000	0.01745	-1.00000	-1.00000	-0.00057	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
537	Mona	Big_Springs	un	169204	0.02080	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.01833	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
542	Mona	Big_Springs	un	171688	-0.08901	-1.00000	-1.00000	-0.09510	-1.00000	-1.00000	-0.10031	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
552	Mona	Big_Springs	un	175772	-0.03483	-1.00000	-1.00000	-0.00398	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
556	Mona	Big_Springs	un	178233	0.10525	-1.00000	-1.00000	0.05571	-1.00000	-1.00000	0.03418	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
616	Mona	Big_Springs	un	197794	-0.00767	-1.00000	-1.00000	-0.00816	-1.00000	-1.00000	-0.01090	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
631	Mona	Big_Springs	un	204182	-0.03483	-1.00000	-1.00000	-0.00398	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
635	Mona	Big_Springs	un	204925	0.13724	-1.00000	-1.00000	0.10729	-1.00000	-1.00000	0.08887	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
641	Mona	Big_Springs	un	208096	-0.08517	-1.00000	-1.00000	-0.05495	-1.00000	-1.00000	-0.05699	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
654	Mona	Big_Springs	un	211371	0.11216	-1.00000	-1.00000	0.09074	-1.00000	-1.00000	0.07353	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
661	Mona	Big_Springs	un	213737	0.00295	-1.00000	-1.00000	0.00036	-1.00000	-1.00000	-0.00990	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
690	Mona	Big_Springs	un	224178	-0.08453	-1.00000	-1.00000	-0.08956	-1.00000	-1.00000	-0.09603	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
708	Mona	Big_Springs	un	233032	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
747	Mona	Big_Springs	un	244243	0.00295	-1.00000	-1.00000	0.00036	-1.00000	-1.00000	-0.00990	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
756	Mona	Big_Springs	un	247449	-0.06667	-1.00000	-1.00000	-0.05308	-1.00000	-1.00000	-0.06779	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
766	Mona	Big_Springs	un	250669	0.02041	-1.00000	-1.00000	0.00488	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
785	Mona	Big_Springs	un	258359	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.02105	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
788	Mona	Big_Springs	un	259152	-0.03017	-1.00000	-1.00000	-0.02123	-1.00000	-1.00000	-0.03579	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
802	Mona	Big_Springs	un	265590	0.04910	-1.00000	-1.00000	0.01496	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
824	Mona	Big_Springs	un	271204	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
833	Mona	Big_Springs	un	273554	-0.01266	-1.00000	-1.00000	-0.00209	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
847	Mona	Big_Springs	un	280340	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
851	Mona	Big_Springs	un	282738	-0.08663	-1.00000	-1.00000	-0.07611	-1.00000	-1.00000	-0.06525	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
864	Mona	Big_Springs	un	284386	-0.08531	-1.00000	-1.00000	-0.02833	-1.00000	-1.00000	-0.00615	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
881	Mona	Big_Springs	un	292363	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
925	Mona	Big_Springs	un	305929	-0.03371	-1.00000	-1.00000	-0.02951	-1.00000	-1.00000	-0.02337	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
930	Mona	Big_Springs	un	307594	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
964	Mona	Big_Springs	un	320214	-0.07222	-1.00000	-1.00000	-0.07396	-1.00000	-1.00000	-0.07271	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
