# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Keg_Springs	2022_Keg_Springs_LTC1,2022_Keg_Springs_LTC2,2022_Keg_Springs_LTC3,2022_Keg_Springs_LTC4,2022_Keg_Springs_LTC5,2022_Keg_Springs_LTC6,2022_Keg_Springs_LTC7,2022_Keg_Springs_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Jail_Pond	Keg_Springs	un	1	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
16	Jail_Pond	Keg_Springs	un	1664	0.27974	-1.00000	-1.00000	0.06888	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
37	Jail_Pond	Keg_Springs	un	6498	0.21501	-1.00000	-1.00000	0.09166	-1.00000	-1.00000	0.12008	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
41	Jail_Pond	Keg_Springs	un	8044	-0.01798	-1.00000	-1.00000	-0.00093	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
42	Jail_Pond	Keg_Springs	un	8873	0.19495	-1.00000	-1.00000	0.12501	-1.00000	-1.00000	0.13074	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
43	Jail_Pond	Keg_Springs	un	9693	-0.05270	-1.00000	-1.00000	-0.01418	-1.00000	-1.00000	-0.01225	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
64	Jail_Pond	Keg_Springs	un	18619	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
84	Jail_Pond	Keg_Springs	un	24812	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
115	Jail_Pond	Keg_Springs	un	35799	0.00851	-1.00000	-1.00000	0.00082	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
125	Jail_Pond	Keg_Springs	un	39104	0.14621	-1.00000	-1.00000	0.01771	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
131	Jail_Pond	Keg_Springs	un	40626	0.19984	-1.00000	-1.00000	0.18294	-1.00000	-1.00000	0.18053	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
159	Jail_Pond	Keg_Springs	un	48273	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
165	Jail_Pond	Keg_Springs	un	50688	0.27974	-1.00000	-1.00000	0.06888	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
170	Jail_Pond	Keg_Springs	un	52187	0.79618	-1.00000	-1.00000	0.80438	-1.00000	-1.00000	0.81379	-1.00000	-1.00000	0.00109	-1.00000	-1.00000
173	Jail_Pond	Keg_Springs	un	54113	0.37048	-1.00000	-1.00000	0.38193	-1.00000	-1.00000	0.39008	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
203	Jail_Pond	Keg_Springs	un	62205	0.12343	-1.00000	-1.00000	0.12881	-1.00000	-1.00000	0.12951	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
227	Jail_Pond	Keg_Springs	un	68529	0.10373	-1.00000	-1.00000	0.10836	-1.00000	-1.00000	0.12224	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
228	Jail_Pond	Keg_Springs	un	69364	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
233	Jail_Pond	Keg_Springs	un	69859	0.03697	-1.00000	-1.00000	0.00182	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
252	Jail_Pond	Keg_Springs	un	80848	0.02637	-1.00000	-1.00000	0.00142	-1.00000	-1.00000	-0.00200	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
261	Jail_Pond	Keg_Springs	un	84087	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
267	Jail_Pond	Keg_Springs	un	86650	0.17479	-1.00000	-1.00000	0.06269	-1.00000	-1.00000	0.11957	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
283	Jail_Pond	Keg_Springs	un	93975	0.20241	-1.00000	-1.00000	0.03499	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
288	Jail_Pond	Keg_Springs	un	95613	0.31512	-1.00000	-1.00000	0.31316	-1.00000	-1.00000	0.30867	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
