# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Big_Springs	Rosebud_Top_P	un	6498	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
42	Big_Springs	Rosebud_Top_P	un	8873	0.22679	-1.00000	-1.00000	0.17298	-1.00000	-1.00000	0.16203	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
43	Big_Springs	Rosebud_Top_P	un	9693	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
51	Big_Springs	Rosebud_Top_P	un	13748	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
79	Big_Springs	Rosebud_Top_P	un	23289	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
88	Big_Springs	Rosebud_Top_P	un	27181	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Big_Springs	Rosebud_Top_P	un	27961	0.83435	-1.00000	-1.00000	0.82197	-1.00000	-1.00000	0.79560	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
91	Big_Springs	Rosebud_Top_P	un	28739	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
104	Big_Springs	Rosebud_Top_P	un	32672	0.96424	-1.00000	-1.00000	0.96297	-1.00000	-1.00000	0.96296	-1.00000	-1.00000	0.00120	-1.00000	-1.00000
106	Big_Springs	Rosebud_Top_P	un	34218	0.81223	-1.00000	-1.00000	0.77087	-1.00000	-1.00000	0.77462	-1.00000	-1.00000	0.00109	-1.00000	-1.00000
115	Big_Springs	Rosebud_Top_P	un	35799	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
122	Big_Springs	Rosebud_Top_P	un	37461	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
131	Big_Springs	Rosebud_Top_P	un	40626	0.17774	-1.00000	-1.00000	0.04751	-1.00000	-1.00000	0.04113	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
144	Big_Springs	Rosebud_Top_P	un	43730	0.09035	-1.00000	-1.00000	0.08776	-1.00000	-1.00000	0.09726	-1.00000	-1.00000	0.00094	-1.00000	-1.00000
160	Big_Springs	Rosebud_Top_P	un	49095	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
162	Big_Springs	Rosebud_Top_P	un	49842	0.26616	-1.00000	-1.00000	0.26694	-1.00000	-1.00000	0.26713	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
173	Big_Springs	Rosebud_Top_P	un	54113	0.45612	-1.00000	-1.00000	0.44450	-1.00000	-1.00000	0.42814	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
177	Big_Springs	Rosebud_Top_P	un	54921	0.44000	-1.00000	-1.00000	0.27386	-1.00000	-1.00000	0.28407	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
179	Big_Springs	Rosebud_Top_P	un	55727	0.52174	-1.00000	-1.00000	0.38142	-1.00000	-1.00000	0.35867	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
203	Big_Springs	Rosebud_Top_P	un	62205	0.13785	-1.00000	-1.00000	0.11021	-1.00000	-1.00000	0.12504	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
227	Big_Springs	Rosebud_Top_P	un	68529	-0.01465	-1.00000	-1.00000	-0.01486	-1.00000	-1.00000	-0.02272	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
239	Big_Springs	Rosebud_Top_P	un	72275	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00558	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
240	Big_Springs	Rosebud_Top_P	un	73037	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
251	Big_Springs	Rosebud_Top_P	un	80031	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
261	Big_Springs	Rosebud_Top_P	un	84087	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
267	Big_Springs	Rosebud_Top_P	un	86650	0.50905	-1.00000	-1.00000	0.37688	-1.00000	-1.00000	0.38145	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
269	Big_Springs	Rosebud_Top_P	un	88133	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
288	Big_Springs	Rosebud_Top_P	un	95613	0.59949	-1.00000	-1.00000	0.57766	-1.00000	-1.00000	0.57205	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
291	Big_Springs	Rosebud_Top_P	un	97330	0.23006	-1.00000	-1.00000	0.06951	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
298	Big_Springs	Rosebud_Top_P	un	99643	0.07662	-1.00000	-1.00000	0.06528	-1.00000	-1.00000	0.07750	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
299	Big_Springs	Rosebud_Top_P	un	100548	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
304	Big_Springs	Rosebud_Top_P	un	102187	0.09321	-1.00000	-1.00000	0.01269	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
308	Big_Springs	Rosebud_Top_P	un	102942	0.62354	-1.00000	-1.00000	0.59288	-1.00000	-1.00000	0.58495	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
332	Big_Springs	Rosebud_Top_P	un	112065	0.69552	-1.00000	-1.00000	0.63731	-1.00000	-1.00000	0.64526	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
339	Big_Springs	Rosebud_Top_P	un	115324	0.13205	-1.00000	-1.00000	0.02645	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
342	Big_Springs	Rosebud_Top_P	un	116931	0.18519	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
356	Big_Springs	Rosebud_Top_P	un	122078	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
376	Big_Springs	Rosebud_Top_P	un	125378	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
380	Big_Springs	Rosebud_Top_P	un	126250	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00009	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
387	Big_Springs	Rosebud_Top_P	un	129441	0.22185	-1.00000	-1.00000	0.11254	-1.00000	-1.00000	0.09494	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
409	Big_Springs	Rosebud_Top_P	un	137546	0.02672	-1.00000	-1.00000	0.00556	-1.00000	-1.00000	-0.00052	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
413	Big_Springs	Rosebud_Top_P	un	139928	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
414	Big_Springs	Rosebud_Top_P	un	140703	-0.02512	-1.00000	-1.00000	-0.02494	-1.00000	-1.00000	-0.01938	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
422	Big_Springs	Rosebud_Top_P	un	142304	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
427	Big_Springs	Rosebud_Top_P	un	146346	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
450	Big_Springs	Rosebud_Top_P	un	155899	0.29630	-1.00000	-1.00000	0.12308	-1.00000	-1.00000	0.12308	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
461	Big_Springs	Rosebud_Top_P	un	159011	0.13205	-1.00000	-1.00000	0.02645	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
468	Big_Springs	Rosebud_Top_P	un	160523	0.87817	-1.00000	-1.00000	0.87478	-1.00000	-1.00000	0.87570	-1.00000	-1.00000	0.00113	-1.00000	-1.00000
477	Big_Springs	Rosebud_Top_P	un	163860	0.92328	-1.00000	-1.00000	0.92328	-1.00000	-1.00000	0.91740	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
489	Big_Springs	Rosebud_Top_P	un	169596	0.16584	-1.00000	-1.00000	0.04086	-1.00000	-1.00000	0.04132	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
493	Big_Springs	Rosebud_Top_P	un	170418	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
501	Big_Springs	Rosebud_Top_P	un	173449	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00030	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
507	Big_Springs	Rosebud_Top_P	un	176722	0.25033	-1.00000	-1.00000	0.10361	-1.00000	-1.00000	0.08505	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
510	Big_Springs	Rosebud_Top_P	un	177555	0.52973	-1.00000	-1.00000	0.53766	-1.00000	-1.00000	0.55000	-1.00000	-1.00000	0.00092	-1.00000	-1.00000
514	Big_Springs	Rosebud_Top_P	un	178348	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
540	Big_Springs	Rosebud_Top_P	un	187514	0.72172	-1.00000	-1.00000	0.62904	-1.00000	-1.00000	0.65065	-1.00000	-1.00000	0.00090	-1.00000	-1.00000
552	Big_Springs	Rosebud_Top_P	un	193146	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
556	Big_Springs	Rosebud_Top_P	un	195607	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
562	Big_Springs	Rosebud_Top_P	un	197262	0.00159	-1.00000	-1.00000	0.00133	-1.00000	-1.00000	0.00175	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
581	Big_Springs	Rosebud_Top_P	un	204237	0.35024	-1.00000	-1.00000	0.19171	-1.00000	-1.00000	0.16585	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
596	Big_Springs	Rosebud_Top_P	un	207063	0.19057	-1.00000	-1.00000	0.04497	-1.00000	-1.00000	0.05876	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
602	Big_Springs	Rosebud_Top_P	un	208617	0.69043	-1.00000	-1.00000	0.68658	-1.00000	-1.00000	0.67748	-1.00000	-1.00000	0.00099	-1.00000	-1.00000
615	Big_Springs	Rosebud_Top_P	un	215205	0.65819	-1.00000	-1.00000	0.54801	-1.00000	-1.00000	0.55898	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
616	Big_Springs	Rosebud_Top_P	un	216052	0.40448	-1.00000	-1.00000	0.23974	-1.00000	-1.00000	0.24037	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
617	Big_Springs	Rosebud_Top_P	un	216811	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
622	Big_Springs	Rosebud_Top_P	un	218365	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00518	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
635	Big_Springs	Rosebud_Top_P	un	223183	0.01560	-1.00000	-1.00000	0.00536	-1.00000	-1.00000	0.00992	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
641	Big_Springs	Rosebud_Top_P	un	227112	0.22563	-1.00000	-1.00000	0.07947	-1.00000	-1.00000	0.08069	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
654	Big_Springs	Rosebud_Top_P	un	231707	0.18519	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
