# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Mills_Valley	Cluster	un	813	0.04749	-1.00000	-1.00000	0.00742	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
37	Mills_Valley	Cluster	un	6498	0.06095	-1.00000	-1.00000	0.01166	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
41	Mills_Valley	Cluster	un	8044	-0.03464	-1.00000	-1.00000	-0.03473	-1.00000	-1.00000	-0.02927	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
46	Mills_Valley	Cluster	un	11248	0.09558	-1.00000	-1.00000	0.02024	-1.00000	-1.00000	0.01554	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
48	Mills_Valley	Cluster	un	12896	-0.02315	-1.00000	-1.00000	-0.00103	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
51	Mills_Valley	Cluster	un	13748	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
55	Mills_Valley	Cluster	un	15343	-0.00239	-1.00000	-1.00000	-0.00023	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
66	Mills_Valley	Cluster	un	19469	0.01241	-1.00000	-1.00000	0.00191	-1.00000	-1.00000	-0.00070	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
75	Mills_Valley	Cluster	un	21025	0.26292	-1.00000	-1.00000	0.04849	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Mills_Valley	Cluster	un	22523	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
79	Mills_Valley	Cluster	un	23289	0.00444	-1.00000	-1.00000	0.00041	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
91	Mills_Valley	Cluster	un	28739	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
