# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Cluster	Red_Knolls	un	813	0.07436	-1.00000	-1.00000	0.00994	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
16	Cluster	Red_Knolls	un	1664	0.10495	-1.00000	-1.00000	0.01335	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
28	Cluster	Red_Knolls	un	3323	0.02104	-1.00000	-1.00000	0.00089	-1.00000	-1.00000	0.03532	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
37	Cluster	Red_Knolls	un	6498	0.07528	-1.00000	-1.00000	0.01339	-1.00000	-1.00000	0.01810	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
41	Cluster	Red_Knolls	un	8044	0.31315	-1.00000	-1.00000	0.22769	-1.00000	-1.00000	0.20135	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
46	Cluster	Red_Knolls	un	11248	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Cluster	Red_Knolls	un	12896	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Cluster	Red_Knolls	un	15343	0.02382	-1.00000	-1.00000	0.00187	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
66	Cluster	Red_Knolls	un	19469	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
79	Cluster	Red_Knolls	un	23289	0.01973	-1.00000	-1.00000	0.00161	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
99	Cluster	Red_Knolls	un	31053	0.57676	-1.00000	-1.00000	0.39457	-1.00000	-1.00000	0.40933	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
104	Cluster	Red_Knolls	un	32672	0.47726	-1.00000	-1.00000	0.47896	-1.00000	-1.00000	0.47384	-1.00000	-1.00000	0.00090	-1.00000	-1.00000
125	Cluster	Red_Knolls	un	39104	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
130	Cluster	Red_Knolls	un	39806	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	-0.00614	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
131	Cluster	Red_Knolls	un	40626	0.42407	-1.00000	-1.00000	0.22070	-1.00000	-1.00000	0.21845	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
136	Cluster	Red_Knolls	un	41375	0.32753	-1.00000	-1.00000	0.33508	-1.00000	-1.00000	0.32467	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
157	Cluster	Red_Knolls	un	47487	0.17569	-1.00000	-1.00000	0.03298	-1.00000	-1.00000	0.03077	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
160	Cluster	Red_Knolls	un	49095	0.10625	-1.00000	-1.00000	0.02026	-1.00000	-1.00000	0.05900	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
162	Cluster	Red_Knolls	un	49842	0.08154	-1.00000	-1.00000	0.07616	-1.00000	-1.00000	0.06391	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
165	Cluster	Red_Knolls	un	50688	0.27889	-1.00000	-1.00000	0.08493	-1.00000	-1.00000	0.10680	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
171	Cluster	Red_Knolls	un	52972	0.06911	-1.00000	-1.00000	0.00590	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
217	Cluster	Red_Knolls	un	65474	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	-0.01030	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
225	Cluster	Red_Knolls	un	67865	-0.04348	-1.00000	-1.00000	-0.00962	-1.00000	-1.00000	0.01926	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
235	Cluster	Red_Knolls	un	70691	0.01451	-1.00000	-1.00000	0.00059	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
251	Cluster	Red_Knolls	un	80031	0.05553	-1.00000	-1.00000	0.00674	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
276	Cluster	Red_Knolls	un	91588	0.37887	-1.00000	-1.00000	0.16331	-1.00000	-1.00000	0.16000	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
286	Cluster	Red_Knolls	un	94825	0.78602	-1.00000	-1.00000	0.77033	-1.00000	-1.00000	0.77462	-1.00000	-1.00000	0.00104	-1.00000	-1.00000
291	Cluster	Red_Knolls	un	97330	0.09920	-1.00000	-1.00000	0.01731	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
292	Cluster	Red_Knolls	un	98126	0.10495	-1.00000	-1.00000	0.01335	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
300	Cluster	Red_Knolls	un	101365	0.06411	-1.00000	-1.00000	0.00568	-1.00000	-1.00000	0.00016	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
308	Cluster	Red_Knolls	un	102942	0.49554	-1.00000	-1.00000	0.39765	-1.00000	-1.00000	0.44155	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
316	Cluster	Red_Knolls	un	104618	0.01736	-1.00000	-1.00000	0.00077	-1.00000	-1.00000	0.00831	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
318	Cluster	Red_Knolls	un	106152	-0.03970	-1.00000	-1.00000	-0.00333	-1.00000	-1.00000	0.02623	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
334	Cluster	Red_Knolls	un	112894	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
359	Cluster	Red_Knolls	un	122944	0.17569	-1.00000	-1.00000	0.03298	-1.00000	-1.00000	0.05046	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
363	Cluster	Red_Knolls	un	123814	0.16794	-1.00000	-1.00000	0.03255	-1.00000	-1.00000	0.02071	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
376	Cluster	Red_Knolls	un	125378	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
395	Cluster	Red_Knolls	un	132660	0.19656	-1.00000	-1.00000	0.04081	-1.00000	-1.00000	0.06140	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
401	Cluster	Red_Knolls	un	135118	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	-0.01030	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
406	Cluster	Red_Knolls	un	135943	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
424	Cluster	Red_Knolls	un	144067	0.02382	-1.00000	-1.00000	0.00187	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
426	Cluster	Red_Knolls	un	145587	0.19656	-1.00000	-1.00000	0.04081	-1.00000	-1.00000	0.02678	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
427	Cluster	Red_Knolls	un	146346	0.13451	-1.00000	-1.00000	0.03014	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
429	Cluster	Red_Knolls	un	147181	0.18094	-1.00000	-1.00000	0.11044	-1.00000	-1.00000	0.10464	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
432	Cluster	Red_Knolls	un	147994	0.06911	-1.00000	-1.00000	0.00590	-1.00000	-1.00000	0.01709	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
459	Cluster	Red_Knolls	un	158350	0.22770	-1.00000	-1.00000	0.05568	-1.00000	-1.00000	0.07565	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
461	Cluster	Red_Knolls	un	159011	0.16794	-1.00000	-1.00000	0.03255	-1.00000	-1.00000	0.02747	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
468	Cluster	Red_Knolls	un	160523	0.02182	-1.00000	-1.00000	0.00809	-1.00000	-1.00000	0.02208	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
477	Cluster	Red_Knolls	un	163860	0.15338	-1.00000	-1.00000	0.04827	-1.00000	-1.00000	0.06933	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
483	Cluster	Red_Knolls	un	166342	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
493	Cluster	Red_Knolls	un	170418	0.24153	-1.00000	-1.00000	0.09248	-1.00000	-1.00000	0.11315	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
