# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Gandy	Rosebud_Top_P	un	1664	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
42	Gandy	Rosebud_Top_P	un	8873	0.07436	-1.00000	-1.00000	0.00994	-1.00000	-1.00000	0.00445	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
43	Gandy	Rosebud_Top_P	un	9693	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
51	Gandy	Rosebud_Top_P	un	13748	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
64	Gandy	Rosebud_Top_P	un	18619	0.14815	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
79	Gandy	Rosebud_Top_P	un	23289	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
91	Gandy	Rosebud_Top_P	un	28739	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
99	Gandy	Rosebud_Top_P	un	31053	0.57725	-1.00000	-1.00000	0.46746	-1.00000	-1.00000	0.46789	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
104	Gandy	Rosebud_Top_P	un	32672	0.58565	-1.00000	-1.00000	0.51040	-1.00000	-1.00000	0.53725	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
125	Gandy	Rosebud_Top_P	un	39104	0.14504	-1.00000	-1.00000	0.02643	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
