# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Lower_Rocky	Willow_Pond	un	1664	0.11017	-1.00000	-1.00000	0.09872	-1.00000	-1.00000	0.13928	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
28	Lower_Rocky	Willow_Pond	un	3323	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
48	Lower_Rocky	Willow_Pond	un	12896	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
56	Lower_Rocky	Willow_Pond	un	16193	0.04348	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
63	Lower_Rocky	Willow_Pond	un	17729	0.24000	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
74	Lower_Rocky	Willow_Pond	un	20240	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00601	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
86	Lower_Rocky	Willow_Pond	un	25574	-0.00662	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00488	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
99	Lower_Rocky	Willow_Pond	un	31053	0.05755	-1.00000	-1.00000	0.01280	-1.00000	-1.00000	0.02621	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
102	Lower_Rocky	Willow_Pond	un	31823	0.43428	-1.00000	-1.00000	0.27737	-1.00000	-1.00000	0.27807	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
106	Lower_Rocky	Willow_Pond	un	34218	0.43478	-1.00000	-1.00000	0.26895	-1.00000	-1.00000	0.25048	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
