# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC11,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC13,2022_Red_Knolls_LTC14,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Red_Knolls	Lower_Rocky	un	1664	0.28871	-1.00000	-1.00000	0.21985	-1.00000	-1.00000	0.23017	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
28	Red_Knolls	Lower_Rocky	un	3323	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
41	Red_Knolls	Lower_Rocky	un	8044	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00110	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
63	Red_Knolls	Lower_Rocky	un	17729	0.25744	-1.00000	-1.00000	0.08247	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
82	Red_Knolls	Lower_Rocky	un	23963	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
99	Red_Knolls	Lower_Rocky	un	31053	0.46971	-1.00000	-1.00000	0.34713	-1.00000	-1.00000	0.41827	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
102	Red_Knolls	Lower_Rocky	un	31823	0.43428	-1.00000	-1.00000	0.27737	-1.00000	-1.00000	0.25419	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
104	Red_Knolls	Lower_Rocky	un	32672	-0.02740	-1.00000	-1.00000	-0.01957	-1.00000	-1.00000	0.02628	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
106	Red_Knolls	Lower_Rocky	un	34218	0.11329	-1.00000	-1.00000	0.02085	-1.00000	-1.00000	0.02592	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
125	Red_Knolls	Lower_Rocky	un	39104	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
130	Red_Knolls	Lower_Rocky	un	39806	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00713	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
131	Red_Knolls	Lower_Rocky	un	40626	0.40000	-1.00000	-1.00000	0.22680	-1.00000	-1.00000	0.23827	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
136	Red_Knolls	Lower_Rocky	un	41375	0.07397	-1.00000	-1.00000	0.01997	-1.00000	-1.00000	0.01355	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
160	Red_Knolls	Lower_Rocky	un	49095	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00011	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
165	Red_Knolls	Lower_Rocky	un	50688	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
171	Red_Knolls	Lower_Rocky	un	52972	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
235	Red_Knolls	Lower_Rocky	un	70691	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
243	Red_Knolls	Lower_Rocky	un	73800	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00581	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
291	Red_Knolls	Lower_Rocky	un	97330	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
292	Red_Knolls	Lower_Rocky	un	98126	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
300	Red_Knolls	Lower_Rocky	un	101365	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
304	Red_Knolls	Lower_Rocky	un	102187	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
316	Red_Knolls	Lower_Rocky	un	104618	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
344	Red_Knolls	Lower_Rocky	un	118359	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00429	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
359	Red_Knolls	Lower_Rocky	un	123529	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
432	Red_Knolls	Lower_Rocky	un	148579	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
434	Red_Knolls	Lower_Rocky	un	149465	0.40308	-1.00000	-1.00000	0.28728	-1.00000	-1.00000	0.29511	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
459	Red_Knolls	Lower_Rocky	un	158935	0.16737	-1.00000	-1.00000	0.03722	-1.00000	-1.00000	0.05342	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
461	Red_Knolls	Lower_Rocky	un	159596	0.14991	-1.00000	-1.00000	0.12179	-1.00000	-1.00000	0.13526	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
468	Red_Knolls	Lower_Rocky	un	161108	0.14632	-1.00000	-1.00000	0.04868	-1.00000	-1.00000	0.13180	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
477	Red_Knolls	Lower_Rocky	un	163578	0.07936	-1.00000	-1.00000	0.07812	-1.00000	-1.00000	0.11749	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
483	Red_Knolls	Lower_Rocky	un	166060	0.06024	-1.00000	-1.00000	0.00707	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
495	Red_Knolls	Lower_Rocky	un	170894	0.02760	-1.00000	-1.00000	0.00210	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
499	Red_Knolls	Lower_Rocky	un	172367	0.45057	-1.00000	-1.00000	0.27457	-1.00000	-1.00000	0.26868	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
501	Red_Knolls	Lower_Rocky	un	173167	0.13205	-1.00000	-1.00000	0.02645	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
504	Red_Knolls	Lower_Rocky	un	173967	0.41361	-1.00000	-1.00000	0.22006	-1.00000	-1.00000	0.30717	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
516	Red_Knolls	Lower_Rocky	un	178897	0.16584	-1.00000	-1.00000	0.04086	-1.00000	-1.00000	0.04132	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
