# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Mona	Mills_Valley	un	6498	0.09312	-1.00000	-1.00000	0.00925	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
41	Mona	Mills_Valley	un	8044	-0.06498	-1.00000	-1.00000	-0.05459	-1.00000	-1.00000	-0.05000	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
46	Mona	Mills_Valley	un	11248	0.06095	-1.00000	-1.00000	0.01739	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
51	Mona	Mills_Valley	un	13748	0.00444	-1.00000	-1.00000	0.00081	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
66	Mona	Mills_Valley	un	19469	0.00444	-1.00000	-1.00000	0.00081	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
75	Mona	Mills_Valley	un	21025	0.08808	-1.00000	-1.00000	0.02816	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
91	Mona	Mills_Valley	un	28739	0.02041	-1.00000	-1.00000	0.00415	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
104	Mona	Mills_Valley	un	32672	0.66316	-1.00000	-1.00000	0.68231	-1.00000	-1.00000	0.68750	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
136	Mona	Mills_Valley	un	41375	0.30602	-1.00000	-1.00000	0.21913	-1.00000	-1.00000	0.23729	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
225	Mona	Mills_Valley	un	67865	0.11927	-1.00000	-1.00000	0.04693	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
227	Mona	Mills_Valley	un	68529	-0.09747	-1.00000	-1.00000	-0.10672	-1.00000	-1.00000	-0.10030	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
251	Mona	Mills_Valley	un	80031	0.00444	-1.00000	-1.00000	0.00081	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
