# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC15,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Copilot	Big_Springs	un	1664	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00261	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
37	Copilot	Big_Springs	un	6498	-0.01798	-1.00000	-1.00000	-0.00206	-1.00000	-1.00000	-0.00230	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
41	Copilot	Big_Springs	un	8044	0.35402	-1.00000	-1.00000	0.26146	-1.00000	-1.00000	0.26146	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
43	Copilot	Big_Springs	un	9693	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
48	Copilot	Big_Springs	un	12896	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Copilot	Big_Springs	un	15343	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
58	Copilot	Big_Springs	un	16975	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
66	Copilot	Big_Springs	un	19469	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
77	Copilot	Big_Springs	un	22523	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
88	Copilot	Big_Springs	un	27181	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Copilot	Big_Springs	un	27961	0.84000	-1.00000	-1.00000	0.82206	-1.00000	-1.00000	0.82891	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
91	Copilot	Big_Springs	un	28739	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
99	Copilot	Big_Springs	un	31053	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
102	Copilot	Big_Springs	un	31823	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
104	Copilot	Big_Springs	un	32672	0.71144	-1.00000	-1.00000	0.63782	-1.00000	-1.00000	0.64526	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
122	Copilot	Big_Springs	un	37461	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00088	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
131	Copilot	Big_Springs	un	40626	0.18519	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.04260	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
136	Copilot	Big_Springs	un	41375	0.50074	-1.00000	-1.00000	0.32498	-1.00000	-1.00000	0.37209	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
154	Copilot	Big_Springs	un	46703	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.01241	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
160	Copilot	Big_Springs	un	49095	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
162	Copilot	Big_Springs	un	49842	0.32706	-1.00000	-1.00000	0.33240	-1.00000	-1.00000	0.35212	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
170	Copilot	Big_Springs	un	52187	0.74761	-1.00000	-1.00000	0.74507	-1.00000	-1.00000	0.73096	-1.00000	-1.00000	0.00105	-1.00000	-1.00000
