# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC14,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Bishop	Jail_Pond	un	1	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
16	Bishop	Jail_Pond	un	1664	0.28070	-1.00000	-1.00000	0.09850	-1.00000	-1.00000	0.18781	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
28	Bishop	Jail_Pond	un	3323	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
37	Bishop	Jail_Pond	un	6498	0.28070	-1.00000	-1.00000	0.09850	-1.00000	-1.00000	0.09330	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
41	Bishop	Jail_Pond	un	8044	-0.02813	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	0.04943	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
43	Bishop	Jail_Pond	un	9693	-0.03816	-1.00000	-1.00000	-0.00949	-1.00000	-1.00000	-0.01542	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
75	Bishop	Jail_Pond	un	21025	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
84	Bishop	Jail_Pond	un	24812	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
98	Bishop	Jail_Pond	un	30244	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00050	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
99	Bishop	Jail_Pond	un	31053	0.48000	-1.00000	-1.00000	0.32432	-1.00000	-1.00000	0.33287	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
102	Bishop	Jail_Pond	un	31823	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
115	Bishop	Jail_Pond	un	35799	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
131	Bishop	Jail_Pond	un	40626	-0.04014	-1.00000	-1.00000	-0.02049	-1.00000	-1.00000	-0.02182	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
136	Bishop	Jail_Pond	un	41375	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
153	Bishop	Jail_Pond	un	45912	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
159	Bishop	Jail_Pond	un	48273	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
165	Bishop	Jail_Pond	un	50688	0.12643	-1.00000	-1.00000	0.02178	-1.00000	-1.00000	0.05900	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
171	Bishop	Jail_Pond	un	52972	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
202	Bishop	Jail_Pond	un	61395	0.08000	-1.00000	-1.00000	0.01033	-1.00000	-1.00000	0.01033	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
203	Bishop	Jail_Pond	un	62205	-0.01397	-1.00000	-1.00000	-0.01415	-1.00000	-1.00000	0.05395	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
217	Bishop	Jail_Pond	un	65474	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.01768	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
235	Bishop	Jail_Pond	un	70691	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
243	Bishop	Jail_Pond	un	73800	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00063	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
