# Population Leland_Harris	2022_Leland_Harris_LTC1,2022_Leland_Harris_LTC10,2022_Leland_Harris_LTC11,2022_Leland_Harris_LTC12,2022_Leland_Harris_LTC13,2022_Leland_Harris_LTC14,2022_Leland_Harris_LTC15,2022_Leland_Harris_LTC2,2022_Leland_Harris_LTC3,2022_Leland_Harris_LTC4,2022_Leland_Harris_LTC5,2022_Leland_Harris_LTC6,2022_Leland_Harris_LTC7,2022_Leland_Harris_LTC8,2022_Leland_Harris_LTC9
# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC15,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Leland_Harris	Copilot	un	1664	0.60238	-1.00000	-1.00000	0.57184	-1.00000	-1.00000	0.56596	-1.00000	-1.00000	0.00090	-1.00000	-1.00000
37	Leland_Harris	Copilot	un	6498	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
41	Leland_Harris	Copilot	un	8044	0.46355	-1.00000	-1.00000	0.32435	-1.00000	-1.00000	0.32558	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
48	Leland_Harris	Copilot	un	12896	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Leland_Harris	Copilot	un	15343	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
58	Leland_Harris	Copilot	un	16975	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
63	Leland_Harris	Copilot	un	17729	0.14147	-1.00000	-1.00000	0.03071	-1.00000	-1.00000	0.02098	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
66	Leland_Harris	Copilot	un	19469	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
77	Leland_Harris	Copilot	un	22523	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
91	Leland_Harris	Copilot	un	28739	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
99	Leland_Harris	Copilot	un	31053	0.14632	-1.00000	-1.00000	0.04868	-1.00000	-1.00000	0.03613	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
102	Leland_Harris	Copilot	un	31823	0.28472	-1.00000	-1.00000	0.14552	-1.00000	-1.00000	0.19836	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
104	Leland_Harris	Copilot	un	32672	0.15228	-1.00000	-1.00000	0.15343	-1.00000	-1.00000	0.15251	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
140	Leland_Harris	Copilot	un	42160	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
160	Leland_Harris	Copilot	un	49095	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
170	Leland_Harris	Copilot	un	52187	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00261	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
173	Leland_Harris	Copilot	un	54113	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
189	Leland_Harris	Copilot	un	58210	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
203	Leland_Harris	Copilot	un	62205	0.74117	-1.00000	-1.00000	0.71102	-1.00000	-1.00000	0.73414	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
225	Leland_Harris	Copilot	un	67865	-0.04000	-1.00000	-1.00000	-0.02664	-1.00000	-1.00000	-0.00511	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
227	Leland_Harris	Copilot	un	68529	0.26765	-1.00000	-1.00000	0.09455	-1.00000	-1.00000	0.09396	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
239	Leland_Harris	Copilot	un	72275	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.00883	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
244	Leland_Harris	Copilot	un	74658	0.18876	-1.00000	-1.00000	0.11496	-1.00000	-1.00000	0.12222	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
251	Leland_Harris	Copilot	un	80031	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
264	Leland_Harris	Copilot	un	84979	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
291	Leland_Harris	Copilot	un	97330	0.24138	-1.00000	-1.00000	0.08069	-1.00000	-1.00000	0.08069	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
292	Leland_Harris	Copilot	un	98126	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
299	Leland_Harris	Copilot	un	100548	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Leland_Harris	Copilot	un	102942	0.25101	-1.00000	-1.00000	0.24580	-1.00000	-1.00000	0.25000	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
318	Leland_Harris	Copilot	un	106152	0.04923	-1.00000	-1.00000	0.01134	-1.00000	-1.00000	0.04119	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
374	Leland_Harris	Copilot	un	125198	0.35895	-1.00000	-1.00000	0.17354	-1.00000	-1.00000	0.22857	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
382	Leland_Harris	Copilot	un	127623	-0.01393	-1.00000	-1.00000	-0.01446	-1.00000	-1.00000	0.01495	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
386	Leland_Harris	Copilot	un	129185	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
394	Leland_Harris	Copilot	un	132470	0.09302	-1.00000	-1.00000	0.01497	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
406	Leland_Harris	Copilot	un	136528	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
422	Leland_Harris	Copilot	un	142889	0.32000	-1.00000	-1.00000	0.14487	-1.00000	-1.00000	0.19576	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
427	Leland_Harris	Copilot	un	146931	0.13263	-1.00000	-1.00000	0.02215	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
429	Leland_Harris	Copilot	un	147766	-0.00275	-1.00000	-1.00000	-0.00076	-1.00000	-1.00000	-0.01269	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
461	Leland_Harris	Copilot	un	159596	0.32377	-1.00000	-1.00000	0.15551	-1.00000	-1.00000	0.17666	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
468	Leland_Harris	Copilot	un	161108	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
477	Leland_Harris	Copilot	un	163578	0.53407	-1.00000	-1.00000	0.50124	-1.00000	-1.00000	0.49527	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
493	Leland_Harris	Copilot	un	170136	0.19226	-1.00000	-1.00000	0.05812	-1.00000	-1.00000	0.05924	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
495	Leland_Harris	Copilot	un	170894	0.92236	-1.00000	-1.00000	0.90952	-1.00000	-1.00000	0.90945	-1.00000	-1.00000	0.00126	-1.00000	-1.00000
499	Leland_Harris	Copilot	un	172367	0.28472	-1.00000	-1.00000	0.14552	-1.00000	-1.00000	0.18937	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
501	Leland_Harris	Copilot	un	173167	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
504	Leland_Harris	Copilot	un	173967	0.96424	-1.00000	-1.00000	0.96297	-1.00000	-1.00000	0.96315	-1.00000	-1.00000	0.00117	-1.00000	-1.00000
505	Leland_Harris	Copilot	un	174797	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
