# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Population Keg_Springs	2022_Keg_Springs_LTC1,2022_Keg_Springs_LTC2,2022_Keg_Springs_LTC3,2022_Keg_Springs_LTC4,2022_Keg_Springs_LTC5,2022_Keg_Springs_LTC6,2022_Keg_Springs_LTC7,2022_Keg_Springs_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Gandy	Keg_Springs	un	1	0.03114	-1.00000	-1.00000	0.00515	-1.00000	-1.00000	0.00063	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
16	Gandy	Keg_Springs	un	1664	0.02569	-1.00000	-1.00000	0.01013	-1.00000	-1.00000	-0.00088	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
43	Gandy	Keg_Springs	un	7304	-0.03348	-1.00000	-1.00000	-0.00682	-1.00000	-1.00000	-0.00984	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
46	Gandy	Keg_Springs	un	8859	0.03929	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
58	Gandy	Keg_Springs	un	14586	-0.03554	-1.00000	-1.00000	-0.03053	-1.00000	-1.00000	-0.04868	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
64	Gandy	Keg_Springs	un	16230	0.00693	-1.00000	-1.00000	0.00214	-1.00000	-1.00000	0.01590	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
77	Gandy	Keg_Springs	un	20134	-0.05660	-1.00000	-1.00000	-0.00868	-1.00000	-1.00000	-0.01651	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
86	Gandy	Keg_Springs	un	23185	0.03929	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
105	Gandy	Keg_Springs	un	30282	0.18392	-1.00000	-1.00000	0.14891	-1.00000	-1.00000	0.19688	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
113	Gandy	Keg_Springs	un	31773	-0.05791	-1.00000	-1.00000	-0.00935	-1.00000	-1.00000	-0.01855	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
125	Gandy	Keg_Springs	un	35036	-0.05767	-1.00000	-1.00000	-0.02115	-1.00000	-1.00000	-0.03005	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
159	Gandy	Keg_Springs	un	41299	-0.05151	-1.00000	-1.00000	-0.00790	-1.00000	-1.00000	-0.00757	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
162	Gandy	Keg_Springs	un	42868	-0.03941	-1.00000	-1.00000	-0.03652	-1.00000	-1.00000	-0.05659	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
165	Gandy	Keg_Springs	un	43714	0.09422	-1.00000	-1.00000	0.03111	-1.00000	-1.00000	0.02578	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
172	Gandy	Keg_Springs	un	45775	-0.04551	-1.00000	-1.00000	-0.04724	-1.00000	-1.00000	-0.06990	-1.00000	-1.00000	0.00092	-1.00000	-1.00000
173	Gandy	Keg_Springs	un	46431	-0.02312	-1.00000	-1.00000	-0.00744	-1.00000	-1.00000	-0.01297	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
185	Gandy	Keg_Springs	un	48045	0.16857	-1.00000	-1.00000	0.06871	-1.00000	-1.00000	0.06223	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
203	Gandy	Keg_Springs	un	52892	-0.05390	-1.00000	-1.00000	-0.04381	-1.00000	-1.00000	0.01787	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
