# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC13,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC15,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Willow_Pond	Lower_Rocky	un	1664	0.09107	-1.00000	-1.00000	0.08272	-1.00000	-1.00000	0.08834	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
28	Willow_Pond	Lower_Rocky	un	3323	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Willow_Pond	Lower_Rocky	un	12896	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
56	Willow_Pond	Lower_Rocky	un	16193	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
63	Willow_Pond	Lower_Rocky	un	17729	0.25744	-1.00000	-1.00000	0.08247	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
74	Willow_Pond	Lower_Rocky	un	20240	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00558	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
82	Willow_Pond	Lower_Rocky	un	23963	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
99	Willow_Pond	Lower_Rocky	un	31053	0.03367	-1.00000	-1.00000	0.00677	-1.00000	-1.00000	0.01695	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
102	Willow_Pond	Lower_Rocky	un	31823	0.45419	-1.00000	-1.00000	0.27868	-1.00000	-1.00000	0.27807	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
106	Willow_Pond	Lower_Rocky	un	34218	0.38686	-1.00000	-1.00000	0.23246	-1.00000	-1.00000	0.21529	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
160	Willow_Pond	Lower_Rocky	un	49095	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00027	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
162	Willow_Pond	Lower_Rocky	un	49842	0.21652	-1.00000	-1.00000	0.20680	-1.00000	-1.00000	0.18490	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
165	Willow_Pond	Lower_Rocky	un	50688	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
172	Willow_Pond	Lower_Rocky	un	53457	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
173	Willow_Pond	Lower_Rocky	un	54113	0.26087	-1.00000	-1.00000	0.09700	-1.00000	-1.00000	0.09888	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
189	Willow_Pond	Lower_Rocky	un	58210	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00050	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
192	Willow_Pond	Lower_Rocky	un	59771	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
204	Willow_Pond	Lower_Rocky	un	63086	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
233	Willow_Pond	Lower_Rocky	un	69859	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00558	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
246	Willow_Pond	Lower_Rocky	un	76140	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
251	Willow_Pond	Lower_Rocky	un	80031	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
254	Willow_Pond	Lower_Rocky	un	81663	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
273	Willow_Pond	Lower_Rocky	un	89915	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
