# Population Clear_Lake	2022_Clear_Lake_LTC1,2022_Clear_Lake_LTC10,2022_Clear_Lake_LTC11,2022_Clear_Lake_LTC12,2022_Clear_Lake_LTC13,2022_Clear_Lake_LTC14,2022_Clear_Lake_LTC15,2022_Clear_Lake_LTC2,2022_Clear_Lake_LTC3,2022_Clear_Lake_LTC4,2022_Clear_Lake_LTC5,2022_Clear_Lake_LTC6,2022_Clear_Lake_LTC7,2022_Clear_Lake_LTC8,2022_Clear_Lake_LTC9
# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC13,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC15,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Clear_Lake	Willow_Pond	un	813	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.01768	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
16	Clear_Lake	Willow_Pond	un	1664	0.02203	-1.00000	-1.00000	0.00979	-1.00000	-1.00000	-0.00189	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
28	Clear_Lake	Willow_Pond	un	3323	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Clear_Lake	Willow_Pond	un	12896	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
56	Clear_Lake	Willow_Pond	un	16193	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	0.02983	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
74	Clear_Lake	Willow_Pond	un	20240	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00488	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
82	Clear_Lake	Willow_Pond	un	23963	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
99	Clear_Lake	Willow_Pond	un	31053	-0.03704	-1.00000	-1.00000	-0.01216	-1.00000	-1.00000	-0.01790	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
105	Clear_Lake	Willow_Pond	un	33479	0.09321	-1.00000	-1.00000	0.01269	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
106	Clear_Lake	Willow_Pond	un	34218	-0.01393	-1.00000	-1.00000	-0.01446	-1.00000	-1.00000	0.05024	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
160	Clear_Lake	Willow_Pond	un	49095	-0.02184	-1.00000	-1.00000	-0.00259	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
162	Clear_Lake	Willow_Pond	un	49842	0.10235	-1.00000	-1.00000	0.10332	-1.00000	-1.00000	0.08536	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
