# Population Bishop	2022_Bishop_LTC1,2022_Bishop_LTC10,2022_Bishop_LTC11,2022_Bishop_LTC12,2022_Bishop_LTC13,2022_Bishop_LTC15,2022_Bishop_LTC2,2022_Bishop_LTC3,2022_Bishop_LTC4,2022_Bishop_LTC5,2022_Bishop_LTC6,2022_Bishop_LTC7,2022_Bishop_LTC8,2022_Bishop_LTC9
# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Bishop	Lower_Rocky	un	1664	0.04710	-1.00000	-1.00000	0.04498	-1.00000	-1.00000	0.02610	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
28	Bishop	Lower_Rocky	un	3323	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
41	Bishop	Lower_Rocky	un	8044	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.00836	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
43	Bishop	Lower_Rocky	un	9693	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
63	Bishop	Lower_Rocky	un	17729	0.24887	-1.00000	-1.00000	0.08190	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
75	Bishop	Lower_Rocky	un	21025	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
84	Bishop	Lower_Rocky	un	24812	0.04348	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	-0.00879	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
86	Bishop	Lower_Rocky	un	25574	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.00564	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
98	Bishop	Lower_Rocky	un	30244	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
99	Bishop	Lower_Rocky	un	31053	0.42367	-1.00000	-1.00000	0.29056	-1.00000	-1.00000	0.33742	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
102	Bishop	Lower_Rocky	un	31823	0.37098	-1.00000	-1.00000	0.24518	-1.00000	-1.00000	0.24518	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
130	Bishop	Lower_Rocky	un	39806	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.00564	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
131	Bishop	Lower_Rocky	un	40626	0.20000	-1.00000	-1.00000	0.05660	-1.00000	-1.00000	0.05021	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
136	Bishop	Lower_Rocky	un	41375	-0.04000	-1.00000	-1.00000	-0.00321	-1.00000	-1.00000	-0.00914	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
153	Bishop	Lower_Rocky	un	45912	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
159	Bishop	Lower_Rocky	un	48273	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
162	Bishop	Lower_Rocky	un	49842	0.00621	-1.00000	-1.00000	0.00433	-1.00000	-1.00000	-0.00714	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
165	Bishop	Lower_Rocky	un	50688	0.09920	-1.00000	-1.00000	0.01304	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
171	Bishop	Lower_Rocky	un	52972	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
202	Bishop	Lower_Rocky	un	61395	0.08696	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00533	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
235	Bishop	Lower_Rocky	un	70691	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
264	Bishop	Lower_Rocky	un	84979	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
283	Bishop	Lower_Rocky	un	93975	0.10528	-1.00000	-1.00000	0.01778	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
292	Bishop	Lower_Rocky	un	98126	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
300	Bishop	Lower_Rocky	un	101365	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
304	Bishop	Lower_Rocky	un	102187	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Bishop	Lower_Rocky	un	102942	-0.03626	-1.00000	-1.00000	-0.02598	-1.00000	-1.00000	-0.01973	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
327	Bishop	Lower_Rocky	un	109040	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
332	Bishop	Lower_Rocky	un	112065	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
413	Bishop	Lower_Rocky	un	139928	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
414	Bishop	Lower_Rocky	un	140703	-0.02408	-1.00000	-1.00000	-0.02225	-1.00000	-1.00000	-0.03132	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
422	Bishop	Lower_Rocky	un	142304	-0.04014	-1.00000	-1.00000	-0.02049	-1.00000	-1.00000	-0.02047	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
432	Bishop	Lower_Rocky	un	147994	0.04420	-1.00000	-1.00000	0.00354	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
434	Bishop	Lower_Rocky	un	148880	0.07397	-1.00000	-1.00000	0.01997	-1.00000	-1.00000	0.01355	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
459	Bishop	Lower_Rocky	un	158350	0.23578	-1.00000	-1.00000	0.06894	-1.00000	-1.00000	0.11957	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
461	Bishop	Lower_Rocky	un	159011	0.10012	-1.00000	-1.00000	0.08536	-1.00000	-1.00000	0.08784	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
468	Bishop	Lower_Rocky	un	160523	0.08287	-1.00000	-1.00000	0.02165	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
477	Bishop	Lower_Rocky	un	163860	-0.02715	-1.00000	-1.00000	-0.02822	-1.00000	-1.00000	-0.02367	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
480	Bishop	Lower_Rocky	un	165492	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
483	Bishop	Lower_Rocky	un	166342	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
495	Bishop	Lower_Rocky	un	171176	0.12000	-1.00000	-1.00000	0.02135	-1.00000	-1.00000	0.02135	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
499	Bishop	Lower_Rocky	un	172649	0.45057	-1.00000	-1.00000	0.27457	-1.00000	-1.00000	0.29478	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
501	Bishop	Lower_Rocky	un	173449	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
504	Bishop	Lower_Rocky	un	174249	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
507	Bishop	Lower_Rocky	un	176722	0.07077	-1.00000	-1.00000	0.06609	-1.00000	-1.00000	0.05776	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
510	Bishop	Lower_Rocky	un	177555	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
519	Bishop	Lower_Rocky	un	179962	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
520	Bishop	Lower_Rocky	un	180736	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
532	Bishop	Lower_Rocky	un	183262	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
537	Bishop	Lower_Rocky	un	185021	0.37746	-1.00000	-1.00000	0.23761	-1.00000	-1.00000	0.28761	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
542	Bishop	Lower_Rocky	un	188344	0.04923	-1.00000	-1.00000	0.01134	-1.00000	-1.00000	0.00488	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
554	Bishop	Lower_Rocky	un	193972	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
565	Bishop	Lower_Rocky	un	198039	0.83792	-1.00000	-1.00000	0.80529	-1.00000	-1.00000	0.80843	-1.00000	-1.00000	0.00120	-1.00000	-1.00000
574	Bishop	Lower_Rocky	un	201194	0.09321	-1.00000	-1.00000	0.01269	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
581	Bishop	Lower_Rocky	un	204237	0.00862	-1.00000	-1.00000	0.00649	-1.00000	-1.00000	0.01113	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
623	Bishop	Lower_Rocky	un	219169	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00335	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
625	Bishop	Lower_Rocky	un	219967	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
627	Bishop	Lower_Rocky	un	220840	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
635	Bishop	Lower_Rocky	un	223183	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	-0.00260	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
638	Bishop	Lower_Rocky	un	224852	0.20471	-1.00000	-1.00000	0.12113	-1.00000	-1.00000	0.11390	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
646	Bishop	Lower_Rocky	un	229232	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
653	Bishop	Lower_Rocky	un	230870	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
675	Bishop	Lower_Rocky	un	239723	0.18078	-1.00000	-1.00000	0.10590	-1.00000	-1.00000	0.09744	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
733	Bishop	Lower_Rocky	un	262196	0.28070	-1.00000	-1.00000	0.09850	-1.00000	-1.00000	0.12008	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
734	Bishop	Lower_Rocky	un	262989	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
735	Bishop	Lower_Rocky	un	263782	0.17487	-1.00000	-1.00000	0.17012	-1.00000	-1.00000	0.20375	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
745	Bishop	Lower_Rocky	un	266211	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
747	Bishop	Lower_Rocky	un	267803	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
770	Bishop	Lower_Rocky	un	275875	0.16737	-1.00000	-1.00000	0.03722	-1.00000	-1.00000	0.05342	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
777	Bishop	Lower_Rocky	un	279518	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
788	Bishop	Lower_Rocky	un	283531	0.07436	-1.00000	-1.00000	0.00994	-1.00000	-1.00000	0.00309	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
793	Bishop	Lower_Rocky	un	285973	0.71118	-1.00000	-1.00000	0.71340	-1.00000	-1.00000	0.68442	-1.00000	-1.00000	0.00101	-1.00000	-1.00000
811	Bishop	Lower_Rocky	un	292312	-0.03127	-1.00000	-1.00000	-0.02642	-1.00000	-1.00000	-0.02584	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
814	Bishop	Lower_Rocky	un	294014	0.32530	-1.00000	-1.00000	0.13366	-1.00000	-1.00000	0.18797	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
834	Bishop	Lower_Rocky	un	299496	0.27098	-1.00000	-1.00000	0.09781	-1.00000	-1.00000	0.11262	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
840	Bishop	Lower_Rocky	un	301927	0.27018	-1.00000	-1.00000	0.10984	-1.00000	-1.00000	0.08914	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
851	Bishop	Lower_Rocky	un	307961	-0.03692	-1.00000	-1.00000	-0.03834	-1.00000	-1.00000	-0.03406	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
865	Bishop	Lower_Rocky	un	310216	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
882	Bishop	Lower_Rocky	un	319156	0.19057	-1.00000	-1.00000	0.04497	-1.00000	-1.00000	0.09204	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
