# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Mona	2001_Mona_LTC1,2001_Mona_LTC10,2001_Mona_LTC11,2001_Mona_LTC12,2001_Mona_LTC13,2001_Mona_LTC14,2001_Mona_LTC15,2001_Mona_LTC2,2001_Mona_LTC3,2001_Mona_LTC5,2001_Mona_LTC6,2001_Mona_LTC7,2001_Mona_LTC8,2001_Mona_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Jail_Pond	Mona	un	1	-0.02184	-1.00000	-1.00000	-0.00259	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
37	Jail_Pond	Mona	un	6498	0.16756	-1.00000	-1.00000	0.06972	-1.00000	-1.00000	0.06180	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
261	Jail_Pond	Mona	un	84087	-0.01877	-1.00000	-1.00000	-0.00233	-1.00000	-1.00000	0.00494	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
376	Jail_Pond	Mona	un	125963	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
423	Jail_Pond	Mona	un	143759	-0.03829	-1.00000	-1.00000	-0.00613	-1.00000	-1.00000	-0.00614	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
542	Jail_Pond	Mona	un	188062	-0.04174	-1.00000	-1.00000	-0.04355	-1.00000	-1.00000	-0.04600	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
556	Jail_Pond	Mona	un	195325	-0.04068	-1.00000	-1.00000	-0.02396	-1.00000	-1.00000	-0.03186	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
586	Jail_Pond	Mona	un	206007	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
615	Jail_Pond	Mona	un	214923	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
756	Jail_Pond	Mona	un	270727	0.06841	-1.00000	-1.00000	0.05540	-1.00000	-1.00000	0.04949	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
802	Jail_Pond	Mona	un	290531	-0.03119	-1.00000	-1.00000	-0.00664	-1.00000	-1.00000	-0.00664	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
804	Jail_Pond	Mona	un	291330	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
927	Jail_Pond	Mona	un	332921	-0.04348	-1.00000	-1.00000	-0.02679	-1.00000	-1.00000	-0.02228	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
930	Jail_Pond	Mona	un	333810	-0.02782	-1.00000	-1.00000	-0.00329	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
1125	Jail_Pond	Mona	un	400713	0.01928	-1.00000	-1.00000	0.00415	-1.00000	-1.00000	0.00006	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
1216	Jail_Pond	Mona	un	434106	0.08696	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00533	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
1350	Jail_Pond	Mona	un	483741	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	0.00013	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
1409	Jail_Pond	Mona	un	505189	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
1563	Jail_Pond	Mona	un	556482	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
1567	Jail_Pond	Mona	un	558888	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	0.00027	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
1615	Jail_Pond	Mona	un	578522	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
1644	Jail_Pond	Mona	un	589497	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00037	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
1648	Jail_Pond	Mona	un	591789	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
