# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC15,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Copilot	Lower_Rocky	un	1664	0.39493	-1.00000	-1.00000	0.28312	-1.00000	-1.00000	0.26160	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
37	Copilot	Lower_Rocky	un	6498	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
41	Copilot	Lower_Rocky	un	8044	0.46355	-1.00000	-1.00000	0.32435	-1.00000	-1.00000	0.30971	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
48	Copilot	Lower_Rocky	un	12896	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Copilot	Lower_Rocky	un	15343	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
58	Copilot	Lower_Rocky	un	16975	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
63	Copilot	Lower_Rocky	un	17729	0.24000	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.06610	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
66	Copilot	Lower_Rocky	un	19469	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
77	Copilot	Lower_Rocky	un	22523	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
91	Copilot	Lower_Rocky	un	28739	0.05553	-1.00000	-1.00000	0.00674	-1.00000	-1.00000	0.00274	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
99	Copilot	Lower_Rocky	un	31053	-0.03704	-1.00000	-1.00000	-0.00275	-1.00000	-1.00000	-0.00019	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
102	Copilot	Lower_Rocky	un	31823	0.37098	-1.00000	-1.00000	0.24518	-1.00000	-1.00000	0.24518	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
104	Copilot	Lower_Rocky	un	32672	0.24058	-1.00000	-1.00000	0.24672	-1.00000	-1.00000	0.24793	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
136	Copilot	Lower_Rocky	un	41375	0.40979	-1.00000	-1.00000	0.28714	-1.00000	-1.00000	0.29710	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
160	Copilot	Lower_Rocky	un	49095	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
162	Copilot	Lower_Rocky	un	49842	-0.01535	-1.00000	-1.00000	-0.00987	-1.00000	-1.00000	-0.02490	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
170	Copilot	Lower_Rocky	un	52187	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.01241	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
173	Copilot	Lower_Rocky	un	54113	0.03555	-1.00000	-1.00000	0.00306	-1.00000	-1.00000	-0.00561	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
225	Copilot	Lower_Rocky	un	67865	-0.03591	-1.00000	-1.00000	-0.02209	-1.00000	-1.00000	-0.02366	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
227	Copilot	Lower_Rocky	un	68529	0.17828	-1.00000	-1.00000	0.07130	-1.00000	-1.00000	0.07130	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
239	Copilot	Lower_Rocky	un	72275	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
251	Copilot	Lower_Rocky	un	80031	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
291	Copilot	Lower_Rocky	un	97330	0.23364	-1.00000	-1.00000	0.08013	-1.00000	-1.00000	0.08069	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
299	Copilot	Lower_Rocky	un	100548	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Copilot	Lower_Rocky	un	102942	0.40542	-1.00000	-1.00000	0.41367	-1.00000	-1.00000	0.42295	-1.00000	-1.00000	0.00079	-1.00000	-1.00000
