# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Lower_Rocky	Rosebud_Top_P	un	1664	0.50074	-1.00000	-1.00000	0.32498	-1.00000	-1.00000	0.37209	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
42	Lower_Rocky	Rosebud_Top_P	un	8873	0.44766	-1.00000	-1.00000	0.42038	-1.00000	-1.00000	0.41380	-1.00000	-1.00000	0.00079	-1.00000	-1.00000
51	Lower_Rocky	Rosebud_Top_P	un	13748	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
63	Lower_Rocky	Rosebud_Top_P	un	17729	0.24887	-1.00000	-1.00000	0.08190	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
79	Lower_Rocky	Rosebud_Top_P	un	23289	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
91	Lower_Rocky	Rosebud_Top_P	un	28739	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00335	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
99	Lower_Rocky	Rosebud_Top_P	un	31053	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
102	Lower_Rocky	Rosebud_Top_P	un	31823	0.43428	-1.00000	-1.00000	0.27737	-1.00000	-1.00000	0.26116	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
104	Lower_Rocky	Rosebud_Top_P	un	32672	0.60664	-1.00000	-1.00000	0.54724	-1.00000	-1.00000	0.54724	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
106	Lower_Rocky	Rosebud_Top_P	un	34218	0.79325	-1.00000	-1.00000	0.77050	-1.00000	-1.00000	0.76293	-1.00000	-1.00000	0.00110	-1.00000	-1.00000
160	Lower_Rocky	Rosebud_Top_P	un	49095	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
162	Lower_Rocky	Rosebud_Top_P	un	49842	0.01440	-1.00000	-1.00000	0.01030	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
173	Lower_Rocky	Rosebud_Top_P	un	54113	0.08696	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	-0.00086	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
227	Lower_Rocky	Rosebud_Top_P	un	68529	0.41649	-1.00000	-1.00000	0.29069	-1.00000	-1.00000	0.30906	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
251	Lower_Rocky	Rosebud_Top_P	un	80031	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
288	Lower_Rocky	Rosebud_Top_P	un	95613	0.42010	-1.00000	-1.00000	0.35311	-1.00000	-1.00000	0.34543	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
291	Lower_Rocky	Rosebud_Top_P	un	97330	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
299	Lower_Rocky	Rosebud_Top_P	un	100548	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
304	Lower_Rocky	Rosebud_Top_P	un	102187	0.01656	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.03571	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
308	Lower_Rocky	Rosebud_Top_P	un	102942	0.64743	-1.00000	-1.00000	0.61701	-1.00000	-1.00000	0.61194	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
387	Lower_Rocky	Rosebud_Top_P	un	130026	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00110	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
409	Lower_Rocky	Rosebud_Top_P	un	138131	0.96000	-1.00000	-1.00000	0.96000	-1.00000	-1.00000	0.95386	-1.00000	-1.00000	0.00122	-1.00000	-1.00000
413	Lower_Rocky	Rosebud_Top_P	un	140513	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
414	Lower_Rocky	Rosebud_Top_P	un	141288	-0.03581	-1.00000	-1.00000	-0.03170	-1.00000	-1.00000	-0.02891	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
422	Lower_Rocky	Rosebud_Top_P	un	142889	0.04593	-1.00000	-1.00000	0.01548	-1.00000	-1.00000	0.01548	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
427	Lower_Rocky	Rosebud_Top_P	un	146931	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
461	Lower_Rocky	Rosebud_Top_P	un	159596	0.44444	-1.00000	-1.00000	0.27807	-1.00000	-1.00000	0.27807	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
468	Lower_Rocky	Rosebud_Top_P	un	161108	-0.01877	-1.00000	-1.00000	-0.00233	-1.00000	-1.00000	0.00494	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
477	Lower_Rocky	Rosebud_Top_P	un	163578	0.50844	-1.00000	-1.00000	0.37372	-1.00000	-1.00000	0.35967	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
480	Lower_Rocky	Rosebud_Top_P	un	165210	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
493	Lower_Rocky	Rosebud_Top_P	un	170136	0.10528	-1.00000	-1.00000	0.01778	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
499	Lower_Rocky	Rosebud_Top_P	un	172367	0.45057	-1.00000	-1.00000	0.27457	-1.00000	-1.00000	0.29478	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
501	Lower_Rocky	Rosebud_Top_P	un	173167	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
504	Lower_Rocky	Rosebud_Top_P	un	173967	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	0.00121	-1.00000	-1.00000
506	Lower_Rocky	Rosebud_Top_P	un	175612	0.41361	-1.00000	-1.00000	0.22006	-1.00000	-1.00000	0.27308	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
507	Lower_Rocky	Rosebud_Top_P	un	176440	0.71144	-1.00000	-1.00000	0.66122	-1.00000	-1.00000	0.64271	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
510	Lower_Rocky	Rosebud_Top_P	un	177273	0.79673	-1.00000	-1.00000	0.74868	-1.00000	-1.00000	0.76106	-1.00000	-1.00000	0.00104	-1.00000	-1.00000
514	Lower_Rocky	Rosebud_Top_P	un	178066	0.41005	-1.00000	-1.00000	0.29081	-1.00000	-1.00000	0.29081	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
520	Lower_Rocky	Rosebud_Top_P	un	180454	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	0.01286	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
532	Lower_Rocky	Rosebud_Top_P	un	182980	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
540	Lower_Rocky	Rosebud_Top_P	un	187232	0.04947	-1.00000	-1.00000	0.04743	-1.00000	-1.00000	0.06087	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
554	Lower_Rocky	Rosebud_Top_P	un	193690	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
562	Lower_Rocky	Rosebud_Top_P	un	196980	0.54131	-1.00000	-1.00000	0.53211	-1.00000	-1.00000	0.52867	-1.00000	-1.00000	0.00090	-1.00000	-1.00000
565	Lower_Rocky	Rosebud_Top_P	un	197757	0.83792	-1.00000	-1.00000	0.80529	-1.00000	-1.00000	0.80843	-1.00000	-1.00000	0.00120	-1.00000	-1.00000
581	Lower_Rocky	Rosebud_Top_P	un	203955	0.75228	-1.00000	-1.00000	0.71677	-1.00000	-1.00000	0.69965	-1.00000	-1.00000	0.00103	-1.00000	-1.00000
602	Lower_Rocky	Rosebud_Top_P	un	208335	0.92000	-1.00000	-1.00000	0.91694	-1.00000	-1.00000	0.91060	-1.00000	-1.00000	0.00115	-1.00000	-1.00000
615	Lower_Rocky	Rosebud_Top_P	un	214923	0.32000	-1.00000	-1.00000	0.14487	-1.00000	-1.00000	0.13813	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
616	Lower_Rocky	Rosebud_Top_P	un	215770	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	1.00000	-1.00000	-1.00000	0.00132	-1.00000	-1.00000
617	Lower_Rocky	Rosebud_Top_P	un	216529	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
622	Lower_Rocky	Rosebud_Top_P	un	218083	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
635	Lower_Rocky	Rosebud_Top_P	un	222901	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.00836	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
638	Lower_Rocky	Rosebud_Top_P	un	224570	0.87875	-1.00000	-1.00000	0.87969	-1.00000	-1.00000	0.88042	-1.00000	-1.00000	0.00119	-1.00000	-1.00000
675	Lower_Rocky	Rosebud_Top_P	un	239441	0.91304	-1.00000	-1.00000	0.90945	-1.00000	-1.00000	0.90196	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
690	Lower_Rocky	Rosebud_Top_P	un	244979	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
696	Lower_Rocky	Rosebud_Top_P	un	248312	0.16737	-1.00000	-1.00000	0.03722	-1.00000	-1.00000	0.05342	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
708	Lower_Rocky	Rosebud_Top_P	un	253833	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
724	Lower_Rocky	Rosebud_Top_P	un	258056	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00581	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
731	Lower_Rocky	Rosebud_Top_P	un	261122	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
733	Lower_Rocky	Rosebud_Top_P	un	261914	0.28070	-1.00000	-1.00000	0.09850	-1.00000	-1.00000	0.12008	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
734	Lower_Rocky	Rosebud_Top_P	un	262707	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
735	Lower_Rocky	Rosebud_Top_P	un	263500	0.66462	-1.00000	-1.00000	0.64502	-1.00000	-1.00000	0.64184	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
