# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Big_Springs	Jail_Pond	un	1	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
37	Big_Springs	Jail_Pond	un	6498	0.10920	-1.00000	-1.00000	0.04888	-1.00000	-1.00000	0.06720	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
41	Big_Springs	Jail_Pond	un	8044	-0.03279	-1.00000	-1.00000	-0.00386	-1.00000	-1.00000	-0.00364	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
42	Big_Springs	Jail_Pond	un	8873	-0.02307	-1.00000	-1.00000	-0.02292	-1.00000	-1.00000	-0.02280	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
43	Big_Springs	Jail_Pond	un	9693	-0.02220	-1.00000	-1.00000	-0.00438	-1.00000	-1.00000	0.00228	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
46	Big_Springs	Jail_Pond	un	11248	-0.03685	-1.00000	-1.00000	-0.03090	-1.00000	-1.00000	-0.02596	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
55	Big_Springs	Jail_Pond	un	14502	0.04021	-1.00000	-1.00000	0.00783	-1.00000	-1.00000	0.00756	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
66	Big_Springs	Jail_Pond	un	17846	-0.02720	-1.00000	-1.00000	-0.02044	-1.00000	-1.00000	-0.01962	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
86	Big_Springs	Jail_Pond	un	23951	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.01093	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
115	Big_Springs	Jail_Pond	un	33437	0.07870	-1.00000	-1.00000	0.03052	-1.00000	-1.00000	0.04473	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
