# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
16	Leland_Harris	Lower_Rocky	un	1721	57	0.166631243	2.33333	0.76280	7.13742	0.36798	0.04156	-1.00000	-1.00000
42	Leland_Harris	Lower_Rocky	un	8936	63	1.000000000	1.00000	0.31897	3.13506	0.00000	0.00000	-1.00000	-1.00000
63	Leland_Harris	Lower_Rocky	un	17794	65	0.520059198	1.69474	0.46252	6.20973	0.22910	0.01187	-1.00000	-1.00000
82	Leland_Harris	Lower_Rocky	un	24467	504	1.000000000	0.51852	0.04439	6.05718	0.28524	0.01752	-1.00000	-1.00000
86	Leland_Harris	Lower_Rocky	un	25792	218	1.000000000	0.92000	0.05434	15.57603	0.03621	0.00007	-1.00000	-1.00000
99	Leland_Harris	Lower_Rocky	un	31104	51	0.039607201	0.11111	0.01232	1.00223	0.95424	0.09796	-1.00000	-1.00000
102	Leland_Harris	Lower_Rocky	un	31854	31	0.581318693	1.44444	0.47550	4.38783	0.15970	0.00812	-1.00000	-1.00000
104	Leland_Harris	Lower_Rocky	un	32774	102	0.592517180	0.71053	0.24172	2.08858	0.14842	0.00667	-1.00000	-1.00000
140	Leland_Harris	Lower_Rocky	un	42200	40	0.237749546	0.24138	0.02539	2.29481	0.61730	0.05091	-1.00000	-1.00000
189	Leland_Harris	Lower_Rocky	un	58637	427	1.000000000	0.55556	0.04765	6.47777	0.25527	0.01576	-1.00000	-1.00000
225	Leland_Harris	Lower_Rocky	un	67891	26	0.761508567	0.81429	0.23137	2.86584	0.08922	0.00197	-1.00000	-1.00000
227	Leland_Harris	Lower_Rocky	un	68683	154	0.482758621	2.21429	0.19026	25.77014	0.34523	0.01880	-1.00000	-1.00000
264	Leland_Harris	Lower_Rocky	un	85173	194	0.500000000	0.48276	0.04141	5.62819	0.31627	0.01818	-1.00000	-1.00000
288	Leland_Harris	Lower_Rocky	un	95744	131	0.781251279	1.36364	0.45675	4.07120	0.13470	0.00595	-1.00000	-1.00000
292	Leland_Harris	Lower_Rocky	un	98157	31	0.112852665	0.18621	0.02042	1.69763	0.73000	0.06914	-1.00000	-1.00000
308	Leland_Harris	Lower_Rocky	un	103041	99	0.395496766	0.56938	0.18000	1.80110	0.24460	0.01717	-1.00000	-1.00000
323	Leland_Harris	Lower_Rocky	un	108265	61	0.117647059	4.50000	0.46992	43.09288	0.65321	0.06122	-1.00000	-1.00000
338	Leland_Harris	Lower_Rocky	un	115077	585	0.481481481	2.23077	0.19093	26.06312	0.34845	0.02032	-1.00000	-1.00000
363	Leland_Harris	Lower_Rocky	un	123858	44	1.000000000	0.55556	0.04765	6.47777	0.25527	0.01576	-1.00000	-1.00000
401	Leland_Harris	Lower_Rocky	un	135621	503	1.000000000	1.08000	0.06407	18.20505	0.03342	0.00005	-1.00000	-1.00000
422	Leland_Harris	Lower_Rocky	un	142324	20	0.366272764	0.51515	0.15339	1.73013	0.28807	0.02164	-1.00000	-1.00000
429	Leland_Harris	Lower_Rocky	un	147303	122	0.674869948	1.56522	0.23922	10.24137	0.19457	0.00426	-1.00000	-1.00000
434	Leland_Harris	Lower_Rocky	un	148917	37	0.352571217	0.24000	0.02500	2.30408	0.61979	0.03238	-1.00000	-1.00000
448	Leland_Harris	Lower_Rocky	un	154571	178	0.225306122	0.28395	0.02761	2.92002	0.54676	0.04514	-1.00000	-1.00000
461	Leland_Harris	Lower_Rocky	un	159023	12	0.432347911	1.56000	0.53402	4.55712	0.19312	0.01186	-1.00000	-1.00000
468	Leland_Harris	Lower_Rocky	un	160555	32	1.000000000	1.92857	0.16509	22.52900	0.28524	0.01752	-1.00000	-1.00000
473	Leland_Harris	Lower_Rocky	un	161507	187	1.000000000	0.52000	0.04432	6.10163	0.28400	0.01884	-1.00000	-1.00000
477	Leland_Harris	Lower_Rocky	un	163946	86	0.291413154	1.82963	0.61726	5.42322	0.26236	0.02139	-1.00000	-1.00000
479	Leland_Harris	Lower_Rocky	un	164812	113	0.736344960	1.31579	0.33246	5.20758	0.11919	0.00284	-1.00000	-1.00000
480	Leland_Harris	Lower_Rocky	un	165508	16	0.003937952	11.27273	1.31375	96.72617	1.05203	0.14706	-1.00000	-1.00000
499	Leland_Harris	Lower_Rocky	un	172669	20	0.578005186	1.42857	0.46136	4.42351	0.15490	0.00767	-1.00000	-1.00000
505	Leland_Harris	Lower_Rocky	un	175415	336	0.481481481	0.44828	0.03837	5.23742	0.34845	0.02032	-1.00000	-1.00000
506	Leland_Harris	Lower_Rocky	un	175912	18	0.425068861	1.60000	0.54168	4.72602	0.20412	0.01346	-1.00000	-1.00000
507	Leland_Harris	Lower_Rocky	un	176777	55	0.395920867	0.58947	0.18246	1.90443	0.22954	0.01513	-1.00000	-1.00000
514	Leland_Harris	Lower_Rocky	un	178397	49	0.426727855	1.72727	0.60509	4.93060	0.23736	0.01810	-1.00000	-1.00000
520	Leland_Harris	Lower_Rocky	un	181175	439	0.482758621	2.21429	0.19026	25.77014	0.34523	0.01880	-1.00000	-1.00000
532	Leland_Harris	Lower_Rocky	un	183292	30	0.146769406	0.25275	0.04764	1.34082	0.59731	0.04993	-1.00000	-1.00000
535	Leland_Harris	Lower_Rocky	un	184614	424	1.000000000	0.60000	0.05134	7.01221	0.22185	0.01509	-1.00000	-1.00000
537	Leland_Harris	Lower_Rocky	un	185059	38	0.482758621	2.21429	0.19026	25.77014	0.34523	0.01880	-1.00000	-1.00000
540	Leland_Harris	Lower_Rocky	un	187543	29	0.297360546	1.80000	0.61699	5.25132	0.25527	0.02083	-1.00000	-1.00000
542	Leland_Harris	Lower_Rocky	un	188362	18	0.602040816	0.44000	0.03729	5.19112	0.35655	0.00891	-1.00000	-1.00000
554	Leland_Harris	Lower_Rocky	un	194086	114	0.663337033	1.69565	0.26000	11.05848	0.22934	0.00574	-1.00000	-1.00000
562	Leland_Harris	Lower_Rocky	un	197361	99	0.297510253	0.39130	0.08941	1.71253	0.40749	0.02998	-1.00000	-1.00000
565	Leland_Harris	Lower_Rocky	un	198117	78	0.735949006	0.73333	0.18036	2.98164	0.13470	0.00363	-1.00000	-1.00000
566	Leland_Harris	Lower_Rocky	un	199260	518	1.000000000	0.51852	0.04439	6.05718	0.28524	0.01752	-1.00000	-1.00000
