# Population Clear_Lake	2022_Clear_Lake_LTC1,2022_Clear_Lake_LTC10,2022_Clear_Lake_LTC11,2022_Clear_Lake_LTC12,2022_Clear_Lake_LTC13,2022_Clear_Lake_LTC14,2022_Clear_Lake_LTC15,2022_Clear_Lake_LTC2,2022_Clear_Lake_LTC3,2022_Clear_Lake_LTC4,2022_Clear_Lake_LTC5,2022_Clear_Lake_LTC6,2022_Clear_Lake_LTC7,2022_Clear_Lake_LTC8,2022_Clear_Lake_LTC9
# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Clear_Lake	Willow_Pond	un	1664	0.00727	-1.00000	-1.00000	0.00300	-1.00000	-1.00000	0.00602	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
37	Clear_Lake	Willow_Pond	un	5711	0.02863	-1.00000	-1.00000	0.00648	-1.00000	-1.00000	0.00892	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
42	Clear_Lake	Willow_Pond	un	8086	-0.01957	-1.00000	-1.00000	-0.00265	-1.00000	-1.00000	0.00096	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
43	Clear_Lake	Willow_Pond	un	8906	-0.04000	-1.00000	-1.00000	-0.00666	-1.00000	-1.00000	-0.00356	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
48	Clear_Lake	Willow_Pond	un	12109	0.09920	-1.00000	-1.00000	0.01304	-1.00000	-1.00000	0.00770	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
58	Clear_Lake	Willow_Pond	un	15347	-0.03258	-1.00000	-1.00000	-0.01932	-1.00000	-1.00000	-0.02670	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
66	Clear_Lake	Willow_Pond	un	17841	-0.03641	-1.00000	-1.00000	-0.00561	-1.00000	-1.00000	-0.00566	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
99	Clear_Lake	Willow_Pond	un	27839	-0.03798	-1.00000	-1.00000	-0.01359	-1.00000	-1.00000	-0.02015	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
105	Clear_Lake	Willow_Pond	un	30265	0.08696	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
106	Clear_Lake	Willow_Pond	un	31004	-0.02909	-1.00000	-1.00000	-0.03039	-1.00000	-1.00000	0.03366	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
