# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Big_Springs	Mills_Valley	un	6498	0.01344	-1.00000	-1.00000	0.00136	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
41	Big_Springs	Mills_Valley	un	8044	0.24498	-1.00000	-1.00000	0.11985	-1.00000	-1.00000	0.11274	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
43	Big_Springs	Mills_Valley	un	9693	-0.00239	-1.00000	-1.00000	-0.00023	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
46	Big_Springs	Mills_Valley	un	11248	0.21222	-1.00000	-1.00000	0.03543	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
51	Big_Springs	Mills_Valley	un	13748	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
66	Big_Springs	Mills_Valley	un	19469	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
75	Big_Springs	Mills_Valley	un	21025	0.26292	-1.00000	-1.00000	0.04849	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Big_Springs	Mills_Valley	un	22523	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
88	Big_Springs	Mills_Valley	un	27181	0.02477	-1.00000	-1.00000	0.00362	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Big_Springs	Mills_Valley	un	27961	0.80696	-1.00000	-1.00000	0.82137	-1.00000	-1.00000	0.82891	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
91	Big_Springs	Mills_Valley	un	28739	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
104	Big_Springs	Mills_Valley	un	32672	0.80304	-1.00000	-1.00000	0.68981	-1.00000	-1.00000	0.68750	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
106	Big_Springs	Mills_Valley	un	34218	0.72585	-1.00000	-1.00000	0.53155	-1.00000	-1.00000	0.52555	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
115	Big_Springs	Mills_Valley	un	35799	0.16729	-1.00000	-1.00000	0.06276	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
122	Big_Springs	Mills_Valley	un	37461	-0.02011	-1.00000	-1.00000	-0.00099	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
131	Big_Springs	Mills_Valley	un	40626	0.12376	-1.00000	-1.00000	0.04065	-1.00000	-1.00000	0.02584	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
136	Big_Springs	Mills_Valley	un	41375	0.49283	-1.00000	-1.00000	0.24466	-1.00000	-1.00000	0.23729	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
144	Big_Springs	Mills_Valley	un	43730	0.07003	-1.00000	-1.00000	0.07096	-1.00000	-1.00000	0.08224	-1.00000	-1.00000	0.00094	-1.00000	-1.00000
162	Big_Springs	Mills_Valley	un	49842	0.70423	-1.00000	-1.00000	0.71480	-1.00000	-1.00000	0.71101	-1.00000	-1.00000	0.00094	-1.00000	-1.00000
173	Big_Springs	Mills_Valley	un	54113	0.40486	-1.00000	-1.00000	0.41667	-1.00000	-1.00000	0.40182	-1.00000	-1.00000	0.00085	-1.00000	-1.00000
179	Big_Springs	Mills_Valley	un	55727	0.69304	-1.00000	-1.00000	0.53027	-1.00000	-1.00000	0.51080	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
225	Big_Springs	Mills_Valley	un	67865	0.26804	-1.00000	-1.00000	0.06824	-1.00000	-1.00000	0.04758	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
227	Big_Springs	Mills_Valley	un	68529	0.00944	-1.00000	-1.00000	0.00984	-1.00000	-1.00000	-0.00036	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
239	Big_Springs	Mills_Valley	un	72275	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
244	Big_Springs	Mills_Valley	un	74658	0.04192	-1.00000	-1.00000	0.00198	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
250	Big_Springs	Mills_Valley	un	79219	0.36631	-1.00000	-1.00000	0.26105	-1.00000	-1.00000	0.26973	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
251	Big_Springs	Mills_Valley	un	80031	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
261	Big_Springs	Mills_Valley	un	84087	0.03247	-1.00000	-1.00000	0.00456	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
267	Big_Springs	Mills_Valley	un	86650	0.45857	-1.00000	-1.00000	0.37220	-1.00000	-1.00000	0.41806	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
288	Big_Springs	Mills_Valley	un	95613	0.50459	-1.00000	-1.00000	0.51678	-1.00000	-1.00000	0.53622	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
291	Big_Springs	Mills_Valley	un	97330	0.80304	-1.00000	-1.00000	0.68981	-1.00000	-1.00000	0.68750	-1.00000	-1.00000	0.00094	-1.00000	-1.00000
299	Big_Springs	Mills_Valley	un	100548	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
308	Big_Springs	Mills_Valley	un	102942	0.63399	-1.00000	-1.00000	0.63399	-1.00000	-1.00000	0.61946	-1.00000	-1.00000	0.00088	-1.00000	-1.00000
311	Big_Springs	Mills_Valley	un	103807	0.49940	-1.00000	-1.00000	0.46095	-1.00000	-1.00000	0.46789	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
332	Big_Springs	Mills_Valley	un	112065	0.64613	-1.00000	-1.00000	0.63490	-1.00000	-1.00000	0.64526	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
339	Big_Springs	Mills_Valley	un	115324	0.08987	-1.00000	-1.00000	0.02195	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
342	Big_Springs	Mills_Valley	un	116931	0.13453	-1.00000	-1.00000	0.04252	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
356	Big_Springs	Mills_Valley	un	122078	0.00444	-1.00000	-1.00000	0.00041	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
380	Big_Springs	Mills_Valley	un	126250	0.12157	-1.00000	-1.00000	0.01301	-1.00000	-1.00000	0.00281	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
382	Big_Springs	Mills_Valley	un	127038	0.22925	-1.00000	-1.00000	0.07181	-1.00000	-1.00000	0.10366	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
406	Big_Springs	Mills_Valley	un	135943	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
424	Big_Springs	Mills_Valley	un	144067	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
438	Big_Springs	Mills_Valley	un	149662	-0.05660	-1.00000	-1.00000	-0.00868	-1.00000	-1.00000	-0.01651	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
450	Big_Springs	Mills_Valley	un	155899	0.23439	-1.00000	-1.00000	0.11599	-1.00000	-1.00000	0.12308	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
461	Big_Springs	Mills_Valley	un	159011	0.08987	-1.00000	-1.00000	0.02195	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
468	Big_Springs	Mills_Valley	un	160523	0.84035	-1.00000	-1.00000	0.80127	-1.00000	-1.00000	0.80556	-1.00000	-1.00000	0.00107	-1.00000	-1.00000
477	Big_Springs	Mills_Valley	un	163860	0.90227	-1.00000	-1.00000	0.92309	-1.00000	-1.00000	0.91219	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
489	Big_Springs	Mills_Valley	un	169596	0.11927	-1.00000	-1.00000	0.03562	-1.00000	-1.00000	0.04132	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
505	Big_Springs	Mills_Valley	un	175079	0.05927	-1.00000	-1.00000	0.00299	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
507	Big_Springs	Mills_Valley	un	176722	0.19847	-1.00000	-1.00000	0.09594	-1.00000	-1.00000	0.08046	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
514	Big_Springs	Mills_Valley	un	178348	0.05332	-1.00000	-1.00000	0.00281	-1.00000	-1.00000	0.02010	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
556	Big_Springs	Mills_Valley	un	195607	0.06095	-1.00000	-1.00000	0.01166	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
572	Big_Springs	Mills_Valley	un	200405	0.43850	-1.00000	-1.00000	0.15679	-1.00000	-1.00000	0.19162	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
577	Big_Springs	Mills_Valley	un	202804	0.15578	-1.00000	-1.00000	0.01812	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
581	Big_Springs	Mills_Valley	un	204237	0.29008	-1.00000	-1.00000	0.18350	-1.00000	-1.00000	0.21372	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
586	Big_Springs	Mills_Valley	un	206289	0.43850	-1.00000	-1.00000	0.15679	-1.00000	-1.00000	0.14599	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
613	Big_Springs	Mills_Valley	un	213628	-0.02639	-1.00000	-1.00000	-0.00136	-1.00000	-1.00000	-0.01466	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
616	Big_Springs	Mills_Valley	un	216052	0.33900	-1.00000	-1.00000	0.23257	-1.00000	-1.00000	0.24037	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
628	Big_Springs	Mills_Valley	un	221627	0.57028	-1.00000	-1.00000	0.32550	-1.00000	-1.00000	0.31818	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
635	Big_Springs	Mills_Valley	un	223183	-0.05461	-1.00000	-1.00000	-0.02699	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	0.00051	-1.00000	-1.00000
637	Big_Springs	Mills_Valley	un	223999	0.04712	-1.00000	-1.00000	0.00260	-1.00000	-1.00000	-0.01579	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
656	Big_Springs	Mills_Valley	un	232528	0.09232	-1.00000	-1.00000	0.02480	-1.00000	-1.00000	0.01109	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
