# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Gandy	Cluster	un	813	0.08000	-1.00000	-1.00000	0.01033	-1.00000	-1.00000	-0.00090	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
16	Gandy	Cluster	un	1664	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
37	Gandy	Cluster	un	6498	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
41	Gandy	Cluster	un	8044	0.37098	-1.00000	-1.00000	0.24518	-1.00000	-1.00000	0.23893	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
42	Gandy	Cluster	un	8873	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00571	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
43	Gandy	Cluster	un	9693	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
46	Gandy	Cluster	un	11248	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Gandy	Cluster	un	12896	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Gandy	Cluster	un	15343	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
64	Gandy	Cluster	un	18619	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
66	Gandy	Cluster	un	19469	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
79	Gandy	Cluster	un	23289	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
86	Gandy	Cluster	un	25574	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.01039	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
99	Gandy	Cluster	un	31053	0.57725	-1.00000	-1.00000	0.46746	-1.00000	-1.00000	0.45686	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
104	Gandy	Cluster	un	32672	0.35513	-1.00000	-1.00000	0.34539	-1.00000	-1.00000	0.34389	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
125	Gandy	Cluster	un	39104	0.15194	-1.00000	-1.00000	0.02682	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
136	Gandy	Cluster	un	41375	0.69703	-1.00000	-1.00000	0.60533	-1.00000	-1.00000	0.62701	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
148	Gandy	Cluster	un	44318	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
153	Gandy	Cluster	un	45912	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
159	Gandy	Cluster	un	48273	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
160	Gandy	Cluster	un	49095	0.13263	-1.00000	-1.00000	0.02215	-1.00000	-1.00000	0.05900	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
162	Gandy	Cluster	un	49842	0.01449	-1.00000	-1.00000	0.01429	-1.00000	-1.00000	0.01877	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
165	Gandy	Cluster	un	50688	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
173	Gandy	Cluster	un	54113	-0.02504	-1.00000	-1.00000	-0.00474	-1.00000	-1.00000	0.00078	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
203	Gandy	Cluster	un	62205	0.40615	-1.00000	-1.00000	0.39244	-1.00000	-1.00000	0.37143	-1.00000	-1.00000	0.00080	-1.00000	-1.00000
205	Gandy	Cluster	un	63918	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00110	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
