# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Cluster	Mills_Valley	un	813	0.04749	-1.00000	-1.00000	0.00742	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
37	Cluster	Mills_Valley	un	6498	0.06095	-1.00000	-1.00000	0.01166	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
41	Cluster	Mills_Valley	un	8044	-0.03464	-1.00000	-1.00000	-0.03473	-1.00000	-1.00000	-0.02927	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
46	Cluster	Mills_Valley	un	11248	0.09558	-1.00000	-1.00000	0.02024	-1.00000	-1.00000	0.01554	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
48	Cluster	Mills_Valley	un	12896	-0.02315	-1.00000	-1.00000	-0.00103	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
51	Cluster	Mills_Valley	un	13748	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
55	Cluster	Mills_Valley	un	15343	-0.00239	-1.00000	-1.00000	-0.00023	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
66	Cluster	Mills_Valley	un	19469	0.01241	-1.00000	-1.00000	0.00191	-1.00000	-1.00000	-0.00070	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
75	Cluster	Mills_Valley	un	21025	0.26292	-1.00000	-1.00000	0.04849	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Cluster	Mills_Valley	un	22523	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
79	Cluster	Mills_Valley	un	23289	0.00444	-1.00000	-1.00000	0.00041	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
91	Cluster	Mills_Valley	un	28739	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
104	Cluster	Mills_Valley	un	32672	-0.03523	-1.00000	-1.00000	-0.01774	-1.00000	-1.00000	-0.02190	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
136	Cluster	Mills_Valley	un	41375	0.07966	-1.00000	-1.00000	0.07933	-1.00000	-1.00000	0.08828	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
160	Cluster	Mills_Valley	un	49095	0.08205	-1.00000	-1.00000	0.01756	-1.00000	-1.00000	0.05900	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
162	Cluster	Mills_Valley	un	49842	0.40949	-1.00000	-1.00000	0.31615	-1.00000	-1.00000	0.29677	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
173	Cluster	Mills_Valley	un	54113	-0.01868	-1.00000	-1.00000	-0.00388	-1.00000	-1.00000	0.01479	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
179	Cluster	Mills_Valley	un	55727	0.01016	-1.00000	-1.00000	0.01061	-1.00000	-1.00000	0.07659	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
225	Cluster	Mills_Valley	un	67865	0.03747	-1.00000	-1.00000	0.01420	-1.00000	-1.00000	0.00976	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
244	Cluster	Mills_Valley	un	74658	0.05117	-1.00000	-1.00000	0.02064	-1.00000	-1.00000	0.02540	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
251	Cluster	Mills_Valley	un	80031	-0.04693	-1.00000	-1.00000	-0.01146	-1.00000	-1.00000	-0.01236	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
269	Cluster	Mills_Valley	un	88133	0.00444	-1.00000	-1.00000	0.00041	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
288	Cluster	Mills_Valley	un	95613	-0.04693	-1.00000	-1.00000	-0.01146	-1.00000	-1.00000	-0.01236	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
291	Cluster	Mills_Valley	un	97330	0.53598	-1.00000	-1.00000	0.52382	-1.00000	-1.00000	0.52022	-1.00000	-1.00000	0.00088	-1.00000	-1.00000
299	Cluster	Mills_Valley	un	100548	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
308	Cluster	Mills_Valley	un	102942	-0.00239	-1.00000	-1.00000	-0.00023	-1.00000	-1.00000	0.00281	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
334	Cluster	Mills_Valley	un	112894	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
355	Cluster	Mills_Valley	un	121183	-0.02639	-1.00000	-1.00000	-0.00136	-1.00000	-1.00000	-0.01466	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
380	Cluster	Mills_Valley	un	126250	-0.03348	-1.00000	-1.00000	-0.00682	-1.00000	-1.00000	-0.00984	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
382	Cluster	Mills_Valley	un	127038	-0.05692	-1.00000	-1.00000	-0.04260	-1.00000	-1.00000	-0.06192	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
399	Cluster	Mills_Valley	un	134285	-0.02179	-1.00000	-1.00000	-0.00102	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
406	Cluster	Mills_Valley	un	135943	0.03992	-1.00000	-1.00000	0.00633	-1.00000	-1.00000	0.00176	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
424	Cluster	Mills_Valley	un	144067	-0.02798	-1.00000	-1.00000	-0.00545	-1.00000	-1.00000	-0.00737	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
427	Cluster	Mills_Valley	un	146346	0.10228	-1.00000	-1.00000	0.02641	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
438	Cluster	Mills_Valley	un	149662	0.05332	-1.00000	-1.00000	0.00281	-1.00000	-1.00000	-0.00244	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
468	Cluster	Mills_Valley	un	160523	-0.04563	-1.00000	-1.00000	-0.01181	-1.00000	-1.00000	0.00396	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
477	Cluster	Mills_Valley	un	163860	-0.02787	-1.00000	-1.00000	-0.00136	-1.00000	-1.00000	-0.01003	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
505	Cluster	Mills_Valley	un	175079	0.05332	-1.00000	-1.00000	0.00281	-1.00000	-1.00000	-0.00285	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
514	Cluster	Mills_Valley	un	178348	-0.05053	-1.00000	-1.00000	-0.00568	-1.00000	-1.00000	-0.02007	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
543	Cluster	Mills_Valley	un	189237	0.03929	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
572	Cluster	Mills_Valley	un	200405	-0.05860	-1.00000	-1.00000	-0.05042	-1.00000	-1.00000	-0.06562	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
577	Cluster	Mills_Valley	un	202804	-0.02892	-1.00000	-1.00000	-0.01392	-1.00000	-1.00000	-0.01084	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
