# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Cluster	Gandy	un	813	0.08000	-1.00000	-1.00000	0.01033	-1.00000	-1.00000	-0.00090	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
16	Cluster	Gandy	un	1664	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
37	Cluster	Gandy	un	6498	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
41	Cluster	Gandy	un	8044	0.37098	-1.00000	-1.00000	0.24518	-1.00000	-1.00000	0.23893	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
42	Cluster	Gandy	un	8873	0.06407	-1.00000	-1.00000	0.00815	-1.00000	-1.00000	0.00571	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
43	Cluster	Gandy	un	9693	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
46	Cluster	Gandy	un	11248	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Cluster	Gandy	un	12896	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Cluster	Gandy	un	15343	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
64	Cluster	Gandy	un	18619	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
66	Cluster	Gandy	un	19469	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
