# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Mona	Gandy	un	1664	-0.00756	-1.00000	-1.00000	-0.00133	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
34	Mona	Gandy	un	5711	0.14823	-1.00000	-1.00000	0.07511	-1.00000	-1.00000	0.12008	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
37	Mona	Gandy	un	6498	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
40	Mona	Gandy	un	7287	0.04910	-1.00000	-1.00000	0.01496	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Mona	Gandy	un	8044	0.19121	-1.00000	-1.00000	0.04471	-1.00000	-1.00000	0.01011	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
64	Mona	Gandy	un	18619	0.04910	-1.00000	-1.00000	0.01496	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
99	Mona	Gandy	un	31053	0.45080	-1.00000	-1.00000	0.45080	-1.00000	-1.00000	0.46789	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
104	Mona	Gandy	un	32672	0.19618	-1.00000	-1.00000	0.12071	-1.00000	-1.00000	0.19576	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
125	Mona	Gandy	un	39104	0.04000	-1.00000	-1.00000	0.01099	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
148	Mona	Gandy	un	44318	0.01297	-1.00000	-1.00000	0.00291	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
165	Mona	Gandy	un	50688	-0.03768	-1.00000	-1.00000	-0.00405	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
205	Mona	Gandy	un	63918	-0.05950	-1.00000	-1.00000	-0.00376	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
228	Mona	Gandy	un	69364	-0.02724	-1.00000	-1.00000	-0.00355	-1.00000	-1.00000	0.06452	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
235	Mona	Gandy	un	70691	0.01297	-1.00000	-1.00000	0.00291	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
261	Mona	Gandy	un	84087	0.18248	-1.00000	-1.00000	0.01296	-1.00000	-1.00000	-0.00744	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
283	Mona	Gandy	un	93975	0.07853	-1.00000	-1.00000	0.02920	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
300	Mona	Gandy	un	101365	-0.03140	-1.00000	-1.00000	-0.00382	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
304	Mona	Gandy	un	102187	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
308	Mona	Gandy	un	102942	-0.08697	-1.00000	-1.00000	-0.07766	-1.00000	-1.00000	-0.06852	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
311	Mona	Gandy	un	103807	0.93669	-1.00000	-1.00000	0.85899	-1.00000	-1.00000	0.85714	-1.00000	-1.00000	0.00108	-1.00000	-1.00000
327	Mona	Gandy	un	109040	0.09329	-1.00000	-1.00000	0.03715	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
330	Mona	Gandy	un	110437	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
332	Mona	Gandy	un	112065	0.05740	-1.00000	-1.00000	0.05013	-1.00000	-1.00000	0.05800	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
374	Mona	Gandy	un	124613	0.02041	-1.00000	-1.00000	0.00488	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
