# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Mona	Cluster	un	813	-0.00147	-1.00000	-1.00000	-0.00027	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
37	Mona	Cluster	un	6498	-0.08563	-1.00000	-1.00000	-0.02517	-1.00000	-1.00000	-0.02587	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
41	Mona	Cluster	un	8044	0.01173	-1.00000	-1.00000	0.01128	-1.00000	-1.00000	0.02791	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
46	Mona	Cluster	un	11248	-0.06211	-1.00000	-1.00000	-0.00326	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Mona	Cluster	un	12896	-0.06211	-1.00000	-1.00000	-0.00326	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Mona	Cluster	un	15343	-0.03768	-1.00000	-1.00000	-0.00405	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
66	Mona	Cluster	un	19469	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
79	Mona	Cluster	un	23289	-0.03768	-1.00000	-1.00000	-0.00405	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
86	Mona	Cluster	un	25574	-0.06058	-1.00000	-1.00000	-0.00358	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
104	Mona	Cluster	un	32672	0.73064	-1.00000	-1.00000	0.78586	-1.00000	-1.00000	0.79256	-1.00000	-1.00000	0.00103	-1.00000	-1.00000
