# Population Keg_Springs	2022_Keg_Springs_LTC1,2022_Keg_Springs_LTC2,2022_Keg_Springs_LTC3,2022_Keg_Springs_LTC4,2022_Keg_Springs_LTC5,2022_Keg_Springs_LTC6,2022_Keg_Springs_LTC7,2022_Keg_Springs_LTC8
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Keg_Springs	Tooele_Army	un	1	0.03679	-1.00000	-1.00000	0.00447	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
16	Keg_Springs	Tooele_Army	un	1664	0.22953	-1.00000	-1.00000	0.06551	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
33	Keg_Springs	Tooele_Army	un	4937	0.01857	-1.00000	-1.00000	0.00126	-1.00000	-1.00000	-0.01269	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
37	Keg_Springs	Tooele_Army	un	6498	0.16314	-1.00000	-1.00000	0.04647	-1.00000	-1.00000	0.04800	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
41	Keg_Springs	Tooele_Army	un	8044	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
42	Keg_Springs	Tooele_Army	un	8873	0.27255	-1.00000	-1.00000	0.18681	-1.00000	-1.00000	0.21904	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
43	Keg_Springs	Tooele_Army	un	9693	-0.02128	-1.00000	-1.00000	-0.00397	-1.00000	-1.00000	-0.00500	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
64	Keg_Springs	Tooele_Army	un	18619	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
84	Keg_Springs	Tooele_Army	un	24812	0.00758	-1.00000	-1.00000	0.00048	-1.00000	-1.00000	-0.00117	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
88	Keg_Springs	Tooele_Army	un	27181	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
89	Keg_Springs	Tooele_Army	un	27961	0.54930	-1.00000	-1.00000	0.46245	-1.00000	-1.00000	0.46479	-1.00000	-1.00000	0.00077	-1.00000	-1.00000
102	Keg_Springs	Tooele_Army	un	31823	-0.01165	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
125	Keg_Springs	Tooele_Army	un	39104	0.11486	-1.00000	-1.00000	0.01596	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
131	Keg_Springs	Tooele_Army	un	40626	0.46159	-1.00000	-1.00000	0.35710	-1.00000	-1.00000	0.35455	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
154	Keg_Springs	Tooele_Army	un	46703	-0.07108	-1.00000	-1.00000	-0.01021	-1.00000	-1.00000	-0.02612	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
159	Keg_Springs	Tooele_Army	un	48273	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
162	Keg_Springs	Tooele_Army	un	49842	0.13647	-1.00000	-1.00000	0.13517	-1.00000	-1.00000	0.15948	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
165	Keg_Springs	Tooele_Army	un	50688	0.22953	-1.00000	-1.00000	0.06551	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
166	Keg_Springs	Tooele_Army	un	51479	-0.06227	-1.00000	-1.00000	-0.00782	-1.00000	-1.00000	-0.00787	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
170	Keg_Springs	Tooele_Army	un	52187	0.69250	-1.00000	-1.00000	0.64662	-1.00000	-1.00000	0.65950	-1.00000	-1.00000	0.00096	-1.00000	-1.00000
173	Keg_Springs	Tooele_Army	un	54113	0.14167	-1.00000	-1.00000	0.12409	-1.00000	-1.00000	0.15146	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
189	Keg_Springs	Tooele_Army	un	58210	-0.00679	-1.00000	-1.00000	-0.00042	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00007	-1.00000	-1.00000
203	Keg_Springs	Tooele_Army	un	62205	0.21751	-1.00000	-1.00000	0.22711	-1.00000	-1.00000	0.22696	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
205	Keg_Springs	Tooele_Army	un	63918	-0.00871	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	-0.01825	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
227	Keg_Springs	Tooele_Army	un	68529	0.22712	-1.00000	-1.00000	0.22985	-1.00000	-1.00000	0.24769	-1.00000	-1.00000	0.00075	-1.00000	-1.00000
228	Keg_Springs	Tooele_Army	un	69364	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
233	Keg_Springs	Tooele_Army	un	69859	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
243	Keg_Springs	Tooele_Army	un	73800	0.03679	-1.00000	-1.00000	0.00447	-1.00000	-1.00000	0.00581	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
247	Keg_Springs	Tooele_Army	un	76988	0.10615	-1.00000	-1.00000	0.02178	-1.00000	-1.00000	0.04682	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
252	Keg_Springs	Tooele_Army	un	80848	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00049	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
257	Keg_Springs	Tooele_Army	un	82539	0.03908	-1.00000	-1.00000	0.00539	-1.00000	-1.00000	-0.01152	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
265	Keg_Springs	Tooele_Army	un	85805	-0.05802	-1.00000	-1.00000	-0.00686	-1.00000	-1.00000	-0.00704	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
267	Keg_Springs	Tooele_Army	un	86650	0.28645	-1.00000	-1.00000	0.14185	-1.00000	-1.00000	0.14533	-1.00000	-1.00000	0.00049	-1.00000	-1.00000
281	Keg_Springs	Tooele_Army	un	93215	0.10320	-1.00000	-1.00000	0.01511	-1.00000	-1.00000	0.00159	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
283	Keg_Springs	Tooele_Army	un	93975	0.14657	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
288	Keg_Springs	Tooele_Army	un	95613	-0.06288	-1.00000	-1.00000	-0.01803	-1.00000	-1.00000	-0.03411	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
290	Keg_Springs	Tooele_Army	un	96484	-0.00871	-1.00000	-1.00000	-0.00062	-1.00000	-1.00000	0.05316	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
298	Keg_Springs	Tooele_Army	un	99643	-0.02674	-1.00000	-1.00000	-0.02406	-1.00000	-1.00000	-0.00047	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
308	Keg_Springs	Tooele_Army	un	102942	0.29996	-1.00000	-1.00000	0.29311	-1.00000	-1.00000	0.31268	-1.00000	-1.00000	0.00074	-1.00000	-1.00000
316	Keg_Springs	Tooele_Army	un	104618	0.01857	-1.00000	-1.00000	0.00126	-1.00000	-1.00000	0.02010	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
327	Keg_Springs	Tooele_Army	un	109040	0.22953	-1.00000	-1.00000	0.06551	-1.00000	-1.00000	0.06250	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
330	Keg_Springs	Tooele_Army	un	110437	0.06667	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
332	Keg_Springs	Tooele_Army	un	112065	0.46016	-1.00000	-1.00000	0.45064	-1.00000	-1.00000	0.46672	-1.00000	-1.00000	0.00082	-1.00000	-1.00000
334	Keg_Springs	Tooele_Army	un	112894	0.01437	-1.00000	-1.00000	0.00086	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
337	Keg_Springs	Tooele_Army	un	114237	0.10320	-1.00000	-1.00000	0.09520	-1.00000	-1.00000	0.09743	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
339	Keg_Springs	Tooele_Army	un	115909	0.08571	-1.00000	-1.00000	0.01627	-1.00000	-1.00000	0.01824	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
