# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Mona	Big_Springs	un	6498	-0.07312	-1.00000	-1.00000	-0.01438	-1.00000	-1.00000	-0.02016	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
41	Mona	Big_Springs	un	8044	0.09135	-1.00000	-1.00000	0.02557	-1.00000	-1.00000	0.00649	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
86	Mona	Big_Springs	un	25574	-0.05950	-1.00000	-1.00000	-0.00376	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
115	Mona	Big_Springs	un	35799	0.10875	-1.00000	-1.00000	0.04784	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00038	-1.00000	-1.00000
177	Mona	Big_Springs	un	54921	0.30831	-1.00000	-1.00000	0.25055	-1.00000	-1.00000	0.32107	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
227	Mona	Big_Springs	un	68529	-0.06143	-1.00000	-1.00000	-0.06280	-1.00000	-1.00000	-0.07286	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
239	Mona	Big_Springs	un	72275	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
261	Mona	Big_Springs	un	84087	-0.08227	-1.00000	-1.00000	-0.01924	-1.00000	-1.00000	-0.02315	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
304	Mona	Big_Springs	un	102187	0.16942	-1.00000	-1.00000	0.01259	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
308	Mona	Big_Springs	un	102942	-0.06667	-1.00000	-1.00000	-0.05308	-1.00000	-1.00000	-0.06779	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
311	Mona	Big_Springs	un	103807	0.08207	-1.00000	-1.00000	0.06521	-1.00000	-1.00000	0.08253	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
330	Mona	Big_Springs	un	110437	0.16942	-1.00000	-1.00000	0.01259	-1.00000	-1.00000	-0.00779	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
332	Mona	Big_Springs	un	112065	0.02041	-1.00000	-1.00000	0.01856	-1.00000	-1.00000	-0.00141	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
376	Mona	Big_Springs	un	125378	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
409	Mona	Big_Springs	un	137546	-0.08589	-1.00000	-1.00000	-0.02678	-1.00000	-1.00000	-0.02339	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
423	Mona	Big_Springs	un	143174	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
468	Mona	Big_Springs	un	160523	-0.06211	-1.00000	-1.00000	-0.00326	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
510	Mona	Big_Springs	un	177555	0.02846	-1.00000	-1.00000	0.01745	-1.00000	-1.00000	-0.00057	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
537	Mona	Big_Springs	un	185021	0.02080	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.01833	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
542	Mona	Big_Springs	un	188344	-0.08901	-1.00000	-1.00000	-0.09510	-1.00000	-1.00000	-0.10031	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
552	Mona	Big_Springs	un	193146	-0.03483	-1.00000	-1.00000	-0.00398	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
556	Mona	Big_Springs	un	195607	0.10525	-1.00000	-1.00000	0.05571	-1.00000	-1.00000	0.03418	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
616	Mona	Big_Springs	un	216052	-0.00767	-1.00000	-1.00000	-0.00816	-1.00000	-1.00000	-0.01090	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
631	Mona	Big_Springs	un	222440	-0.03483	-1.00000	-1.00000	-0.00398	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
635	Mona	Big_Springs	un	223183	0.13724	-1.00000	-1.00000	0.10729	-1.00000	-1.00000	0.08887	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
641	Mona	Big_Springs	un	227112	-0.08517	-1.00000	-1.00000	-0.05495	-1.00000	-1.00000	-0.05699	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
654	Mona	Big_Springs	un	231707	0.11216	-1.00000	-1.00000	0.09074	-1.00000	-1.00000	0.07353	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
661	Mona	Big_Springs	un	234073	0.00295	-1.00000	-1.00000	0.00036	-1.00000	-1.00000	-0.00990	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
743	Mona	Big_Springs	un	265436	0.18248	-1.00000	-1.00000	0.01296	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
756	Mona	Big_Springs	un	271009	-0.06667	-1.00000	-1.00000	-0.05308	-1.00000	-1.00000	-0.06779	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
766	Mona	Big_Springs	un	274229	0.02041	-1.00000	-1.00000	0.00488	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
788	Mona	Big_Springs	un	283531	-0.03017	-1.00000	-1.00000	-0.02123	-1.00000	-1.00000	-0.03579	-1.00000	-1.00000	0.00052	-1.00000	-1.00000
802	Mona	Big_Springs	un	290813	0.04910	-1.00000	-1.00000	0.01496	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
824	Mona	Big_Springs	un	296427	-0.06667	-1.00000	-1.00000	-0.01238	-1.00000	-1.00000	-0.01887	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
847	Mona	Big_Springs	un	305563	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
851	Mona	Big_Springs	un	307961	-0.08663	-1.00000	-1.00000	-0.07611	-1.00000	-1.00000	-0.06525	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
925	Mona	Big_Springs	un	332427	-0.03371	-1.00000	-1.00000	-0.02951	-1.00000	-1.00000	-0.02337	-1.00000	-1.00000	0.00058	-1.00000	-1.00000
930	Mona	Big_Springs	un	334092	-0.00672	-1.00000	-1.00000	-0.00085	-1.00000	-1.00000	-0.01548	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
964	Mona	Big_Springs	un	346712	-0.07222	-1.00000	-1.00000	-0.07396	-1.00000	-1.00000	-0.07271	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
976	Mona	Big_Springs	un	350605	-0.01266	-1.00000	-1.00000	-0.00209	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
1046	Mona	Big_Springs	un	376096	-0.06143	-1.00000	-1.00000	-0.00342	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
1155	Mona	Big_Springs	un	409648	-0.06211	-1.00000	-1.00000	-0.00326	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
1160	Mona	Big_Springs	un	412010	-0.03017	-1.00000	-1.00000	-0.02123	-1.00000	-1.00000	-0.03579	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
1166	Mona	Big_Springs	un	415278	0.55963	-1.00000	-1.00000	0.17479	-1.00000	-1.00000	0.14634	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
1198	Mona	Big_Springs	un	427201	-0.07312	-1.00000	-1.00000	-0.01438	-1.00000	-1.00000	-0.02182	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
1202	Mona	Big_Springs	un	427994	-0.00756	-1.00000	-1.00000	-0.00133	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
1216	Mona	Big_Springs	un	433746	0.19502	-1.00000	-1.00000	0.01328	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
