# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC13,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC15,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Willow_Pond	Gandy	un	1664	0.03268	-1.00000	-1.00000	0.01404	-1.00000	-1.00000	0.00808	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
28	Willow_Pond	Gandy	un	3323	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
43	Willow_Pond	Gandy	un	9693	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
48	Willow_Pond	Gandy	un	12896	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
56	Willow_Pond	Gandy	un	16193	0.02912	-1.00000	-1.00000	0.00239	-1.00000	-1.00000	0.00027	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
64	Willow_Pond	Gandy	un	18619	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
82	Willow_Pond	Gandy	un	23963	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	-0.00227	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
99	Willow_Pond	Gandy	un	31053	0.34038	-1.00000	-1.00000	0.31368	-1.00000	-1.00000	0.30677	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
125	Willow_Pond	Gandy	un	39104	0.13043	-1.00000	-1.00000	0.02542	-1.00000	-1.00000	0.05670	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
148	Willow_Pond	Gandy	un	44318	0.09302	-1.00000	-1.00000	0.01497	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
159	Willow_Pond	Gandy	un	48273	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
160	Willow_Pond	Gandy	un	49095	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
162	Willow_Pond	Gandy	un	49842	0.07567	-1.00000	-1.00000	0.07748	-1.00000	-1.00000	0.05978	-1.00000	-1.00000	0.00076	-1.00000	-1.00000
165	Willow_Pond	Gandy	un	50688	-0.02245	-1.00000	-1.00000	-0.00238	-1.00000	-1.00000	-0.00238	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
172	Willow_Pond	Gandy	un	53457	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
173	Willow_Pond	Gandy	un	54113	0.06784	-1.00000	-1.00000	0.03241	-1.00000	-1.00000	0.06989	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
189	Willow_Pond	Gandy	un	58210	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.01039	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
192	Willow_Pond	Gandy	un	59771	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
204	Willow_Pond	Gandy	un	63086	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
228	Willow_Pond	Gandy	un	69364	0.05748	-1.00000	-1.00000	0.00467	-1.00000	-1.00000	0.06452	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
235	Willow_Pond	Gandy	un	70691	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
246	Willow_Pond	Gandy	un	76140	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
251	Willow_Pond	Gandy	un	80031	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
252	Willow_Pond	Gandy	un	80848	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00518	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
254	Willow_Pond	Gandy	un	81663	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
265	Willow_Pond	Gandy	un	85805	-0.00341	-1.00000	-1.00000	-0.00055	-1.00000	-1.00000	-0.00787	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
273	Willow_Pond	Gandy	un	89915	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	-0.00168	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
276	Willow_Pond	Gandy	un	91588	0.08478	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.03776	-1.00000	-1.00000	0.00046	-1.00000	-1.00000
281	Willow_Pond	Gandy	un	93215	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
