# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC13,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC15,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Willow_Pond	Rosebud_Top_P	un	1664	0.22222	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.08696	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
28	Willow_Pond	Rosebud_Top_P	un	3323	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Willow_Pond	Rosebud_Top_P	un	12896	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
51	Willow_Pond	Rosebud_Top_P	un	13748	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00009	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
56	Willow_Pond	Rosebud_Top_P	un	16193	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
79	Willow_Pond	Rosebud_Top_P	un	23289	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
82	Willow_Pond	Rosebud_Top_P	un	23963	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
91	Willow_Pond	Rosebud_Top_P	un	28739	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
99	Willow_Pond	Rosebud_Top_P	un	31053	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
106	Willow_Pond	Rosebud_Top_P	un	34218	0.23424	-1.00000	-1.00000	0.21942	-1.00000	-1.00000	0.21341	-1.00000	-1.00000	0.00077	-1.00000	-1.00000
160	Willow_Pond	Rosebud_Top_P	un	49095	-0.02184	-1.00000	-1.00000	-0.00259	-1.00000	-1.00000	-0.00272	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
162	Willow_Pond	Rosebud_Top_P	un	49842	0.05769	-1.00000	-1.00000	0.05920	-1.00000	-1.00000	0.08487	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
165	Willow_Pond	Rosebud_Top_P	un	50688	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
172	Willow_Pond	Rosebud_Top_P	un	53457	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
173	Willow_Pond	Rosebud_Top_P	un	54113	0.04084	-1.00000	-1.00000	0.02095	-1.00000	-1.00000	0.01808	-1.00000	-1.00000	0.00065	-1.00000	-1.00000
179	Willow_Pond	Rosebud_Top_P	un	55727	-0.01482	-1.00000	-1.00000	-0.01537	-1.00000	-1.00000	0.01403	-1.00000	-1.00000	0.00068	-1.00000	-1.00000
192	Willow_Pond	Rosebud_Top_P	un	59771	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
204	Willow_Pond	Rosebud_Top_P	un	63086	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
246	Willow_Pond	Rosebud_Top_P	un	76140	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
251	Willow_Pond	Rosebud_Top_P	un	80031	-0.02055	-1.00000	-1.00000	-0.00226	-1.00000	-1.00000	-0.00236	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
254	Willow_Pond	Rosebud_Top_P	un	81663	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
269	Willow_Pond	Rosebud_Top_P	un	88133	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00054	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
273	Willow_Pond	Rosebud_Top_P	un	89915	0.06920	-1.00000	-1.00000	0.00850	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
276	Willow_Pond	Rosebud_Top_P	un	91588	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.05121	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
280	Willow_Pond	Rosebud_Top_P	un	92441	0.13205	-1.00000	-1.00000	0.02645	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
299	Willow_Pond	Rosebud_Top_P	un	100548	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
304	Willow_Pond	Rosebud_Top_P	un	102187	0.09321	-1.00000	-1.00000	0.01269	-1.00000	-1.00000	0.05025	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
316	Willow_Pond	Rosebud_Top_P	un	104618	0.08538	-1.00000	-1.00000	0.01066	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
334	Willow_Pond	Rosebud_Top_P	un	112894	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
374	Willow_Pond	Rosebud_Top_P	un	125198	-0.02909	-1.00000	-1.00000	-0.03039	-1.00000	-1.00000	-0.03546	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
376	Willow_Pond	Rosebud_Top_P	un	125963	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
380	Willow_Pond	Rosebud_Top_P	un	126835	-0.02569	-1.00000	-1.00000	-0.00281	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
386	Willow_Pond	Rosebud_Top_P	un	129185	0.02382	-1.00000	-1.00000	0.00187	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
395	Willow_Pond	Rosebud_Top_P	un	133245	0.11329	-1.00000	-1.00000	0.02085	-1.00000	-1.00000	0.00604	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
409	Willow_Pond	Rosebud_Top_P	un	138131	-0.02330	-1.00000	-1.00000	-0.00301	-1.00000	-1.00000	-0.00186	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
422	Willow_Pond	Rosebud_Top_P	un	142889	-0.02407	-1.00000	-1.00000	-0.00274	-1.00000	-1.00000	-0.00273	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
440	Willow_Pond	Rosebud_Top_P	un	151116	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	0.01286	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
468	Willow_Pond	Rosebud_Top_P	un	161108	0.31161	-1.00000	-1.00000	0.24236	-1.00000	-1.00000	0.23366	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
493	Willow_Pond	Rosebud_Top_P	un	170136	0.09124	-1.00000	-1.00000	0.05893	-1.00000	-1.00000	0.05934	-1.00000	-1.00000	0.00053	-1.00000	-1.00000
501	Willow_Pond	Rosebud_Top_P	un	173167	0.01863	-1.00000	-1.00000	0.00370	-1.00000	-1.00000	0.00420	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
504	Willow_Pond	Rosebud_Top_P	un	173967	0.25057	-1.00000	-1.00000	0.09328	-1.00000	-1.00000	0.07826	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
507	Willow_Pond	Rosebud_Top_P	un	176440	0.13451	-1.00000	-1.00000	0.03014	-1.00000	-1.00000	0.01448	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
510	Willow_Pond	Rosebud_Top_P	un	177273	0.26100	-1.00000	-1.00000	0.25591	-1.00000	-1.00000	0.23300	-1.00000	-1.00000	0.00083	-1.00000	-1.00000
514	Willow_Pond	Rosebud_Top_P	un	178066	0.66220	-1.00000	-1.00000	0.62797	-1.00000	-1.00000	0.62817	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
520	Willow_Pond	Rosebud_Top_P	un	180454	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00429	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
535	Willow_Pond	Rosebud_Top_P	un	183908	0.04348	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	-0.00033	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
555	Willow_Pond	Rosebud_Top_P	un	194515	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
562	Willow_Pond	Rosebud_Top_P	un	196980	0.13885	-1.00000	-1.00000	0.13717	-1.00000	-1.00000	0.14585	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
605	Willow_Pond	Rosebud_Top_P	un	209983	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00050	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
606	Willow_Pond	Rosebud_Top_P	un	210800	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
615	Willow_Pond	Rosebud_Top_P	un	214923	-0.01574	-1.00000	-1.00000	-0.01164	-1.00000	-1.00000	-0.01869	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
616	Willow_Pond	Rosebud_Top_P	un	215770	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00022	-1.00000	-1.00000
617	Willow_Pond	Rosebud_Top_P	un	216529	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
635	Willow_Pond	Rosebud_Top_P	un	222901	0.05590	-1.00000	-1.00000	0.02250	-1.00000	-1.00000	0.02071	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
638	Willow_Pond	Rosebud_Top_P	un	224570	-0.03975	-1.00000	-1.00000	-0.00319	-1.00000	-1.00000	0.01674	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
690	Willow_Pond	Rosebud_Top_P	un	244979	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
694	Willow_Pond	Rosebud_Top_P	un	246625	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
696	Willow_Pond	Rosebud_Top_P	un	248312	0.16000	-1.00000	-1.00000	0.03670	-1.00000	-1.00000	0.01971	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
699	Willow_Pond	Rosebud_Top_P	un	250730	0.07407	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00370	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
702	Willow_Pond	Rosebud_Top_P	un	251588	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00601	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
705	Willow_Pond	Rosebud_Top_P	un	253016	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
708	Willow_Pond	Rosebud_Top_P	un	253833	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
724	Willow_Pond	Rosebud_Top_P	un	258056	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
731	Willow_Pond	Rosebud_Top_P	un	261122	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
