# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Population Rosebud_Top_P	2022_Rosebud_Top_P_LTC1,2022_Rosebud_Top_P_LTC10,2022_Rosebud_Top_P_LTC11,2022_Rosebud_Top_P_LTC12,2022_Rosebud_Top_P_LTC13,2022_Rosebud_Top_P_LTC14,2022_Rosebud_Top_P_LTC2,2022_Rosebud_Top_P_LTC3,2022_Rosebud_Top_P_LTC4,2022_Rosebud_Top_P_LTC5,2022_Rosebud_Top_P_LTC6,2022_Rosebud_Top_P_LTC7,2022_Rosebud_Top_P_LTC8,2022_Rosebud_Top_P_LTC9
# Group defaultgrp	Cluster,Copilot,Mills_Valley,Rosebud_Top_P
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
5	un	813	0.07484	-1.00000	0.00495	-1.00000	0.01639	-1.00000
37	un	4175	0.05032	-1.00000	0.00536	-1.00000	0.00576	-1.00000
41	un	4964	-0.03034	-1.00000	-0.03103	-1.00000	-nan	-1.00000
42	un	5793	-0.03816	-1.00000	-0.00949	-1.00000	0.61007	-1.00000
46	un	8168	0.11347	-1.00000	0.00962	-1.00000	0.01155	-1.00000
48	un	9816	-0.03185	-1.00000	-0.00337	-1.00000	-0.00143	-1.00000
51	un	10668	0.05200	-1.00000	0.00323	-1.00000	0.00290	-1.00000
55	un	11422	-0.02233	-1.00000	-0.00200	-1.00000	-nan	-1.00000
58	un	13054	0.06392	-1.00000	0.00421	-1.00000	0.00418	-1.00000
66	un	15548	0.01614	-1.00000	0.00137	-1.00000	0.00084	-1.00000
75	un	17104	0.21013	-1.00000	0.01386	-1.00000	0.03341	-1.00000
77	un	18602	0.06682	-1.00000	0.00445	-1.00000	0.01283	-1.00000
79	un	19368	-0.00304	-1.00000	-0.00019	-1.00000	0.00031	-1.00000
86	un	21653	0.01226	-1.00000	0.00222	-1.00000	0.52784	-1.00000
91	un	24010	0.01235	-1.00000	0.00217	-1.00000	0.00932	-1.00000
104	un	27943	0.04871	-1.00000	0.02071	-1.00000	0.01791	-1.00000
106	un	29489	0.01597	-1.00000	0.01043	-1.00000	0.63566	-1.00000
122	un	32732	-0.03852	-1.00000	-0.04006	-1.00000	0.59702	-1.00000
136	un	36646	0.02666	-1.00000	0.02657	-1.00000	0.56944	-1.00000
140	un	37431	0.03881	-1.00000	0.00633	-1.00000	0.56383	-1.00000
144	un	39001	-0.05660	-1.00000	-0.04036	-1.00000	0.66172	-1.00000
160	un	43580	0.03529	-1.00000	0.00465	-1.00000	0.02085	-1.00000
162	un	44327	0.10588	-1.00000	0.08038	-1.00000	0.09581	-1.00000
