# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
4	Clear_Lake	Jail_Pond	un	108	107	0.482758621	2.21429	0.19026	25.77014	0.34523	0.01880	-1.00000	-1.00000
5	Clear_Lake	Jail_Pond	un	1023	210	0.480000000	0.44444	0.03787	5.21605	0.35218	0.02211	-1.00000	-1.00000
16	Clear_Lake	Jail_Pond	un	1721	57	0.104821803	0.20690	0.02165	1.97698	0.68425	0.06335	-1.00000	-1.00000
37	Clear_Lake	Jail_Pond	un	6631	133	0.001954280	13.77778	1.59130	119.29056	1.13918	0.18617	-1.00000	-1.00000
41	Clear_Lake	Jail_Pond	un	8101	57	0.000004746	43.44444	5.01506	376.35068	1.63793	0.40599	-1.00000	-1.00000
43	Clear_Lake	Jail_Pond	un	9701	8	0.104821803	4.83333	0.50582	46.18450	0.68425	0.06335	-1.00000	-1.00000
99	Clear_Lake	Jail_Pond	un	31104	51	0.112015456	0.18519	0.02022	1.69642	0.73239	0.07429	-1.00000	-1.00000
106	Clear_Lake	Jail_Pond	un	34240	22	0.000003931	33.83333	3.99090	286.82590	1.52934	0.38889	-1.00000	-1.00000
113	Clear_Lake	Jail_Pond	un	35118	148	0.500000000	0.48000	0.04081	5.64636	0.31876	0.02128	-1.00000	-1.00000
115	Clear_Lake	Jail_Pond	un	35910	111	0.245454545	3.22222	0.31567	32.89072	0.50816	0.03704	-1.00000	-1.00000
153	Clear_Lake	Jail_Pond	un	45973	61	0.500000000	0.48000	0.04081	5.64636	0.31876	0.02128	-1.00000	-1.00000
160	Clear_Lake	Jail_Pond	un	49159	64	0.500000000	0.48276	0.04141	5.62819	0.31627	0.01818	-1.00000	-1.00000
165	Clear_Lake	Jail_Pond	un	50702	14	0.237749546	0.24138	0.02539	2.29481	0.61730	0.05091	-1.00000	-1.00000
172	Clear_Lake	Jail_Pond	un	53514	57	0.491833031	0.33333	0.03272	3.39531	0.47712	0.03333	-1.00000	-1.00000
173	Clear_Lake	Jail_Pond	un	54225	112	0.000226744	11.25000	2.89115	43.77582	1.05115	0.27989	-1.00000	-1.00000
192	Clear_Lake	Jail_Pond	un	59838	67	0.491833031	0.33333	0.03272	3.39531	0.47712	0.03333	-1.00000	-1.00000
240	Clear_Lake	Jail_Pond	un	73069	32	0.020799934	7.90909	0.88661	70.55416	0.89813	0.10989	-1.00000	-1.00000
243	Clear_Lake	Jail_Pond	un	74263	463	0.500000000	0.48000	0.04081	5.64636	0.31876	0.02128	-1.00000	-1.00000
246	Clear_Lake	Jail_Pond	un	76156	16	1.000000000	0.51724	0.04445	6.01898	0.28631	0.01637	-1.00000	-1.00000
254	Clear_Lake	Jail_Pond	un	81799	136	0.491833031	0.33333	0.03272	3.39531	0.47712	0.03333	-1.00000	-1.00000
261	Clear_Lake	Jail_Pond	un	84121	34	0.482758621	2.21429	0.19026	25.77014	0.34523	0.01880	-1.00000	-1.00000
267	Clear_Lake	Jail_Pond	un	86713	63	0.010968168	9.21053	1.04264	81.36432	0.96428	0.14286	-1.00000	-1.00000
273	Clear_Lake	Jail_Pond	un	90069	154	1.000000000	0.60000	0.05134	7.01221	0.22185	0.01509	-1.00000	-1.00000
280	Clear_Lake	Jail_Pond	un	92462	21	0.493506494	0.35802	0.03507	3.65452	0.44609	0.03210	-1.00000	-1.00000
283	Clear_Lake	Jail_Pond	un	94055	80	0.245454545	0.31034	0.03040	3.16783	0.50816	0.03704	-1.00000	-1.00000
286	Clear_Lake	Jail_Pond	un	94930	105	0.000000004	67.66666	7.95342	575.69940	1.83037	0.55556	-1.00000	-1.00000
291	Clear_Lake	Jail_Pond	un	97374	44	0.006611286	0.09360	0.01065	0.82280	1.02874	0.15217	-1.00000	-1.00000
300	Clear_Lake	Jail_Pond	un	101561	196	0.244680851	0.30667	0.02975	3.16133	0.51333	0.04348	-1.00000	-1.00000
308	Clear_Lake	Jail_Pond	un	103041	99	0.000025391	15.33333	4.05716	57.94969	1.18564	0.35032	-1.00000	-1.00000
316	Clear_Lake	Jail_Pond	un	104829	211	0.461538462	0.41379	0.03533	4.84665	0.38322	0.02288	-1.00000	-1.00000
322	Clear_Lake	Jail_Pond	un	107467	88	0.237749546	0.24138	0.02539	2.29481	0.61730	0.05091	-1.00000	-1.00000
332	Clear_Lake	Jail_Pond	un	112079	14	0.000000152	46.63636	5.54421	392.29208	1.66872	0.46429	-1.00000	-1.00000
339	Clear_Lake	Jail_Pond	un	115463	139	0.003714274	11.60000	1.34375	100.13750	1.06446	0.16039	-1.00000	-1.00000
342	Clear_Lake	Jail_Pond	un	117040	109	0.013439958	9.30000	1.04041	83.13105	0.96848	0.12755	-1.00000	-1.00000
355	Clear_Lake	Jail_Pond	un	121645	462	0.461538462	0.41379	0.03533	4.84665	0.38322	0.02288	-1.00000	-1.00000
356	Clear_Lake	Jail_Pond	un	122270	192	0.481481481	2.23077	0.19093	26.06312	0.34845	0.02032	-1.00000	-1.00000
380	Clear_Lake	Jail_Pond	un	126351	101	0.225306122	0.28395	0.02761	2.92002	0.54676	0.04514	-1.00000	-1.00000
399	Clear_Lake	Jail_Pond	un	134732	447	0.480000000	0.44444	0.03787	5.21605	0.35218	0.02211	-1.00000	-1.00000
406	Clear_Lake	Jail_Pond	un	135995	52	0.500000000	0.48148	0.04113	5.63661	0.31742	0.01961	-1.00000	-1.00000
423	Clear_Lake	Jail_Pond	un	143301	127	0.228675136	3.44444	0.33807	35.09441	0.53712	0.03827	-1.00000	-1.00000
427	Clear_Lake	Jail_Pond	un	146424	78	0.000521867	0.05926	0.00693	0.50704	1.22724	0.23780	-1.00000	-1.00000
429	Clear_Lake	Jail_Pond	un	147303	122	0.361183661	0.53571	0.14857	1.93165	0.27107	0.01775	-1.00000	-1.00000
450	Clear_Lake	Jail_Pond	un	155966	67	0.000028156	25.13333	2.99466	210.93718	1.40025	0.30769	-1.00000	-1.00000
461	Clear_Lake	Jail_Pond	un	159023	12	0.050446502	8.47368	0.95629	75.08492	0.92807	0.09617	-1.00000	-1.00000
477	Clear_Lake	Jail_Pond	un	163946	86	0.000118451	11.40000	3.09229	42.02706	1.05690	0.29167	-1.00000	-1.00000
487	Clear_Lake	Jail_Pond	un	167981	13	0.081599742	5.63636	0.58908	53.92945	0.75100	0.07353	-1.00000	-1.00000
489	Clear_Lake	Jail_Pond	un	169622	26	1.000000000	1.16000	0.06894	19.51963	0.06446	0.00019	-1.00000	-1.00000
493	Clear_Lake	Jail_Pond	un	170517	99	0.001369902	0.06996	0.00812	0.60257	1.15516	0.20635	-1.00000	-1.00000
501	Clear_Lake	Jail_Pond	un	173560	111	0.500000000	0.48276	0.04141	5.62819	0.31627	0.01818	-1.00000	-1.00000
504	Clear_Lake	Jail_Pond	un	174383	134	0.000911685	0.06897	0.00817	0.58216	1.16137	0.19149	-1.00000	-1.00000
510	Clear_Lake	Jail_Pond	un	177655	100	0.552511044	0.66667	0.19979	2.22451	0.17609	0.00841	-1.00000	-1.00000
520	Clear_Lake	Jail_Pond	un	181175	439	0.500000000	0.48000	0.04081	5.64636	0.31876	0.02128	-1.00000	-1.00000
525	Clear_Lake	Jail_Pond	un	181652	52	0.117647059	0.22222	0.02321	2.12804	0.65321	0.06122	-1.00000	-1.00000
539	Clear_Lake	Jail_Pond	un	187050	338	0.500000000	0.48276	0.04141	5.62819	0.31627	0.01818	-1.00000	-1.00000
542	Clear_Lake	Jail_Pond	un	188362	18	0.407428738	1.66667	0.53909	5.15273	0.22185	0.01583	-1.00000	-1.00000
552	Clear_Lake	Jail_Pond	un	193478	332	0.500000000	2.07692	0.17741	24.31412	0.31742	0.01961	-1.00000	-1.00000
555	Clear_Lake	Jail_Pond	un	194901	104	1.000000000	0.55556	0.04765	6.47777	0.25527	0.01576	-1.00000	-1.00000
556	Clear_Lake	Jail_Pond	un	195687	80	0.007090887	10.33333	1.18301	90.25963	1.01424	0.13846	-1.00000	-1.00000
581	Clear_Lake	Jail_Pond	un	204260	23	0.000340453	13.84615	2.73332	70.14046	1.14133	0.24362	-1.00000	-1.00000
596	Clear_Lake	Jail_Pond	un	207146	83	0.022958460	0.12000	0.01364	1.05538	0.92082	0.12587	-1.00000	-1.00000
606	Clear_Lake	Jail_Pond	un	211218	136	0.500000000	0.48276	0.04141	5.62819	0.31627	0.01818	-1.00000	-1.00000
615	Clear_Lake	Jail_Pond	un	215338	133	0.000000004	67.66666	7.95342	575.69940	1.83037	0.55556	-1.00000	-1.00000
