# Population Mills_Valley	2022_Mills_Valley_LTC1,2022_Mills_Valley_LTC2,2022_Mills_Valley_LTC3,2022_Mills_Valley_LTC4,2022_Mills_Valley_LTC5,2022_Mills_Valley_LTC6,2022_Mills_Valley_LTC7,2022_Mills_Valley_LTC8
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
37	Mills_Valley	Big_Springs	un	6498	0.01344	-1.00000	-1.00000	0.00136	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
41	Mills_Valley	Big_Springs	un	8044	0.24498	-1.00000	-1.00000	0.11985	-1.00000	-1.00000	0.11274	-1.00000	-1.00000	0.00047	-1.00000	-1.00000
43	Mills_Valley	Big_Springs	un	9693	-0.00239	-1.00000	-1.00000	-0.00023	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
46	Mills_Valley	Big_Springs	un	11248	0.21222	-1.00000	-1.00000	0.03543	-1.00000	-1.00000	0.02985	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
51	Mills_Valley	Big_Springs	un	13748	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
66	Mills_Valley	Big_Springs	un	19469	0.12931	-1.00000	-1.00000	0.01332	-1.00000	-1.00000	0.00943	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
75	Mills_Valley	Big_Springs	un	21025	0.26292	-1.00000	-1.00000	0.04849	-1.00000	-1.00000	0.07821	-1.00000	-1.00000	0.00041	-1.00000	-1.00000
77	Mills_Valley	Big_Springs	un	22523	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.01266	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
88	Mills_Valley	Big_Springs	un	27181	0.02477	-1.00000	-1.00000	0.00362	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Mills_Valley	Big_Springs	un	27961	0.80696	-1.00000	-1.00000	0.82137	-1.00000	-1.00000	0.82891	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
91	Mills_Valley	Big_Springs	un	28739	0.16501	-1.00000	-1.00000	0.01847	-1.00000	-1.00000	0.04255	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
104	Mills_Valley	Big_Springs	un	32672	0.80304	-1.00000	-1.00000	0.68981	-1.00000	-1.00000	0.68750	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
106	Mills_Valley	Big_Springs	un	34218	0.72585	-1.00000	-1.00000	0.53155	-1.00000	-1.00000	0.52555	-1.00000	-1.00000	0.00086	-1.00000	-1.00000
