# Population Gandy	2022_Gandy_LTC1,2022_Gandy_LTC10,2022_Gandy_LTC11,2022_Gandy_LTC12,2022_Gandy_LTC13,2022_Gandy_LTC14,2022_Gandy_LTC15,2022_Gandy_LTC2,2022_Gandy_LTC3,2022_Gandy_LTC4,2022_Gandy_LTC5,2022_Gandy_LTC6,2022_Gandy_LTC7,2022_Gandy_LTC8,2022_Gandy_LTC9
# Population Leland_Harris	2022_Leland_Harris_LTC1,2022_Leland_Harris_LTC10,2022_Leland_Harris_LTC11,2022_Leland_Harris_LTC12,2022_Leland_Harris_LTC13,2022_Leland_Harris_LTC14,2022_Leland_Harris_LTC15,2022_Leland_Harris_LTC2,2022_Leland_Harris_LTC3,2022_Leland_Harris_LTC4,2022_Leland_Harris_LTC5,2022_Leland_Harris_LTC6,2022_Leland_Harris_LTC7,2022_Leland_Harris_LTC8,2022_Leland_Harris_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Gandy	Leland_Harris	un	1664	0.51493	-1.00000	-1.00000	0.49821	-1.00000	-1.00000	0.49382	-1.00000	-1.00000	0.00084	-1.00000	-1.00000
41	Gandy	Leland_Harris	un	8044	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00508	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
42	Gandy	Leland_Harris	un	8873	0.63011	-1.00000	-1.00000	0.54683	-1.00000	-1.00000	0.51816	-1.00000	-1.00000	0.00089	-1.00000	-1.00000
43	Gandy	Leland_Harris	un	9693	0.03704	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.01050	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
63	Gandy	Leland_Harris	un	17729	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.03120	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
64	Gandy	Leland_Harris	un	18619	0.15460	-1.00000	-1.00000	0.03162	-1.00000	-1.00000	0.04578	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
86	Gandy	Leland_Harris	un	25574	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.01682	-1.00000	-1.00000	0.00043	-1.00000	-1.00000
99	Gandy	Leland_Harris	un	31053	0.19010	-1.00000	-1.00000	0.19010	-1.00000	-1.00000	0.19075	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
102	Gandy	Leland_Harris	un	31823	0.36961	-1.00000	-1.00000	0.17428	-1.00000	-1.00000	0.22857	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
104	Gandy	Leland_Harris	un	32672	-0.03084	-1.00000	-1.00000	-0.02808	-1.00000	-1.00000	-0.00806	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
125	Gandy	Leland_Harris	un	39104	0.15194	-1.00000	-1.00000	0.02682	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
140	Gandy	Leland_Harris	un	42160	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
148	Gandy	Leland_Harris	un	44318	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
159	Gandy	Leland_Harris	un	48273	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
165	Gandy	Leland_Harris	un	50688	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
173	Gandy	Leland_Harris	un	54113	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.01894	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
185	Gandy	Leland_Harris	un	56573	0.03114	-1.00000	-1.00000	0.00229	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
187	Gandy	Leland_Harris	un	57395	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.01515	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
189	Gandy	Leland_Harris	un	58210	-0.00767	-1.00000	-1.00000	-0.00029	-1.00000	-1.00000	0.03472	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
203	Gandy	Leland_Harris	un	62205	0.23835	-1.00000	-1.00000	0.10746	-1.00000	-1.00000	0.19617	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
205	Gandy	Leland_Harris	un	63918	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00261	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
228	Gandy	Leland_Harris	un	69364	0.05748	-1.00000	-1.00000	0.00467	-1.00000	-1.00000	0.06452	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
235	Gandy	Leland_Harris	un	70691	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
252	Gandy	Leland_Harris	un	80848	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
264	Gandy	Leland_Harris	un	84979	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
281	Gandy	Leland_Harris	un	93215	-0.03032	-1.00000	-1.00000	-0.00389	-1.00000	-1.00000	-0.00377	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
283	Gandy	Leland_Harris	un	93975	0.18519	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.04808	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
288	Gandy	Leland_Harris	un	95613	-0.03493	-1.00000	-1.00000	-0.03618	-1.00000	-1.00000	-0.03621	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
291	Gandy	Leland_Harris	un	97330	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
292	Gandy	Leland_Harris	un	98126	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
300	Gandy	Leland_Harris	un	101365	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
308	Gandy	Leland_Harris	un	102942	-0.03367	-1.00000	-1.00000	-0.03043	-1.00000	-1.00000	-0.01019	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
327	Gandy	Leland_Harris	un	109040	0.21608	-1.00000	-1.00000	0.05772	-1.00000	-1.00000	0.10217	-1.00000	-1.00000	0.00040	-1.00000	-1.00000
330	Gandy	Leland_Harris	un	110437	0.04067	-1.00000	-1.00000	0.00302	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
332	Gandy	Leland_Harris	un	112065	0.24449	-1.00000	-1.00000	0.06949	-1.00000	-1.00000	0.15534	-1.00000	-1.00000	0.00048	-1.00000	-1.00000
344	Gandy	Leland_Harris	un	118359	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	-0.00378	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
374	Gandy	Leland_Harris	un	125198	0.10528	-1.00000	-1.00000	0.01778	-1.00000	-1.00000	0.03064	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
376	Gandy	Leland_Harris	un	125963	-0.00315	-1.00000	-1.00000	-0.00013	-1.00000	-1.00000	-0.00207	-1.00000	-1.00000	0.00025	-1.00000	-1.00000
401	Gandy	Leland_Harris	un	135703	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	0.00778	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
409	Gandy	Leland_Harris	un	138131	0.13793	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.02685	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
422	Gandy	Leland_Harris	un	142889	0.08915	-1.00000	-1.00000	0.05338	-1.00000	-1.00000	0.09676	-1.00000	-1.00000	0.00054	-1.00000	-1.00000
423	Gandy	Leland_Harris	un	143759	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00009	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
429	Gandy	Leland_Harris	un	147766	0.12421	-1.00000	-1.00000	0.05946	-1.00000	-1.00000	0.04567	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
432	Gandy	Leland_Harris	un	148579	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.02159	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
434	Gandy	Leland_Harris	un	149465	-0.03536	-1.00000	-1.00000	-0.01116	-1.00000	-1.00000	-0.00760	-1.00000	-1.00000	0.00037	-1.00000	-1.00000
442	Gandy	Leland_Harris	un	151972	0.10345	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
457	Gandy	Leland_Harris	un	158057	0.10495	-1.00000	-1.00000	0.01335	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
