# Population Copilot	2022_Copilot_LTC1,2022_Copilot_LTC10,2022_Copilot_LTC11,2022_Copilot_LTC12,2022_Copilot_LTC13,2022_Copilot_LTC14,2022_Copilot_LTC2,2022_Copilot_LTC3,2022_Copilot_LTC4,2022_Copilot_LTC5,2022_Copilot_LTC6,2022_Copilot_LTC7,2022_Copilot_LTC8,2022_Copilot_LTC9
# Population Leland_Harris	2022_Leland_Harris_LTC1,2022_Leland_Harris_LTC10,2022_Leland_Harris_LTC11,2022_Leland_Harris_LTC12,2022_Leland_Harris_LTC13,2022_Leland_Harris_LTC14,2022_Leland_Harris_LTC15,2022_Leland_Harris_LTC2,2022_Leland_Harris_LTC3,2022_Leland_Harris_LTC4,2022_Leland_Harris_LTC5,2022_Leland_Harris_LTC6,2022_Leland_Harris_LTC7,2022_Leland_Harris_LTC8,2022_Leland_Harris_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Copilot	Leland_Harris	un	1664	0.60238	-1.00000	-1.00000	0.57184	-1.00000	-1.00000	0.56596	-1.00000	-1.00000	0.00090	-1.00000	-1.00000
37	Copilot	Leland_Harris	un	6498	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
41	Copilot	Leland_Harris	un	8044	0.47131	-1.00000	-1.00000	0.32434	-1.00000	-1.00000	0.32500	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
48	Copilot	Leland_Harris	un	12896	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Copilot	Leland_Harris	un	15343	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	0.00589	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
58	Copilot	Leland_Harris	un	16975	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
63	Copilot	Leland_Harris	un	17729	0.13451	-1.00000	-1.00000	0.03014	-1.00000	-1.00000	0.02041	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
66	Copilot	Leland_Harris	un	19469	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
77	Copilot	Leland_Harris	un	22523	0.00951	-1.00000	-1.00000	0.00037	-1.00000	-1.00000	0.02512	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
82	Copilot	Leland_Harris	un	23963	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00619	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
91	Copilot	Leland_Harris	un	28739	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
99	Copilot	Leland_Harris	un	31053	0.14632	-1.00000	-1.00000	0.04868	-1.00000	-1.00000	0.04747	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
102	Copilot	Leland_Harris	un	31823	0.28472	-1.00000	-1.00000	0.14552	-1.00000	-1.00000	0.19836	-1.00000	-1.00000	0.00056	-1.00000	-1.00000
104	Copilot	Leland_Harris	un	32672	0.15228	-1.00000	-1.00000	0.15343	-1.00000	-1.00000	0.15357	-1.00000	-1.00000	0.00067	-1.00000	-1.00000
140	Copilot	Leland_Harris	un	42160	0.06470	-1.00000	-1.00000	0.00736	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00012	-1.00000	-1.00000
160	Copilot	Leland_Harris	un	49095	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
170	Copilot	Leland_Harris	un	52187	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00261	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
173	Copilot	Leland_Harris	un	54113	0.04820	-1.00000	-1.00000	0.00374	-1.00000	-1.00000	0.01220	-1.00000	-1.00000	0.00018	-1.00000	-1.00000
189	Copilot	Leland_Harris	un	58210	-0.00235	-1.00000	-1.00000	-0.00008	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
203	Copilot	Leland_Harris	un	62205	0.74117	-1.00000	-1.00000	0.71102	-1.00000	-1.00000	0.72398	-1.00000	-1.00000	0.00091	-1.00000	-1.00000
225	Copilot	Leland_Harris	un	67865	-0.04000	-1.00000	-1.00000	-0.02664	-1.00000	-1.00000	-0.02272	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
227	Copilot	Leland_Harris	un	68529	0.26765	-1.00000	-1.00000	0.09455	-1.00000	-1.00000	0.09396	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
239	Copilot	Leland_Harris	un	72275	0.11111	-1.00000	-1.00000	0.01818	-1.00000	-1.00000	0.01069	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
244	Copilot	Leland_Harris	un	74658	0.18876	-1.00000	-1.00000	0.11496	-1.00000	-1.00000	0.12222	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
251	Copilot	Leland_Harris	un	80031	0.07875	-1.00000	-1.00000	0.00908	-1.00000	-1.00000	0.00881	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
291	Copilot	Leland_Harris	un	97330	0.23006	-1.00000	-1.00000	0.06951	-1.00000	-1.00000	0.06897	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
292	Copilot	Leland_Harris	un	98126	0.09834	-1.00000	-1.00000	0.01534	-1.00000	-1.00000	0.01567	-1.00000	-1.00000	0.00017	-1.00000	-1.00000
299	Copilot	Leland_Harris	un	100548	0.00561	-1.00000	-1.00000	0.00021	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Copilot	Leland_Harris	un	102942	0.25101	-1.00000	-1.00000	0.24580	-1.00000	-1.00000	0.24181	-1.00000	-1.00000	0.00069	-1.00000	-1.00000
318	Copilot	Leland_Harris	un	106152	0.04923	-1.00000	-1.00000	0.01134	-1.00000	-1.00000	0.04119	-1.00000	-1.00000	0.00064	-1.00000	-1.00000
363	Copilot	Leland_Harris	un	123814	-0.00489	-1.00000	-1.00000	-0.00018	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
