# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Willow_Pond	2022_Willow_Pond_LTC1,2022_Willow_Pond_LTC10,2022_Willow_Pond_LTC11,2022_Willow_Pond_LTC12,2022_Willow_Pond_LTC14,2022_Willow_Pond_LTC2,2022_Willow_Pond_LTC3,2022_Willow_Pond_LTC4,2022_Willow_Pond_LTC5,2022_Willow_Pond_LTC6,2022_Willow_Pond_LTC7,2022_Willow_Pond_LTC8,2022_Willow_Pond_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
4	Jail_Pond	Willow_Pond	un	1	-0.00270	-1.00000	-1.00000	-0.00010	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
16	Jail_Pond	Willow_Pond	un	1664	0.20818	-1.00000	-1.00000	0.05720	-1.00000	-1.00000	0.05660	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
28	Jail_Pond	Willow_Pond	un	3323	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
37	Jail_Pond	Willow_Pond	un	6498	0.27098	-1.00000	-1.00000	0.09781	-1.00000	-1.00000	0.12008	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
43	Jail_Pond	Willow_Pond	un	9693	0.08000	-1.00000	-1.00000	0.01033	-1.00000	-1.00000	0.02205	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
48	Jail_Pond	Willow_Pond	un	12896	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
74	Jail_Pond	Willow_Pond	un	20240	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	-0.00713	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
99	Jail_Pond	Willow_Pond	un	31053	0.13788	-1.00000	-1.00000	0.02596	-1.00000	-1.00000	0.01977	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
106	Jail_Pond	Willow_Pond	un	34218	0.45732	-1.00000	-1.00000	0.27050	-1.00000	-1.00000	0.26895	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
115	Jail_Pond	Willow_Pond	un	35799	0.03320	-1.00000	-1.00000	0.00263	-1.00000	-1.00000	0.00284	-1.00000	-1.00000	0.00009	-1.00000	-1.00000
160	Jail_Pond	Willow_Pond	un	49095	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
165	Jail_Pond	Willow_Pond	un	50688	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
172	Jail_Pond	Willow_Pond	un	53457	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
173	Jail_Pond	Willow_Pond	un	54113	0.21276	-1.00000	-1.00000	0.21980	-1.00000	-1.00000	0.21386	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
189	Jail_Pond	Willow_Pond	un	58210	0.00340	-1.00000	-1.00000	0.00014	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
192	Jail_Pond	Willow_Pond	un	59771	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
204	Jail_Pond	Willow_Pond	un	63086	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
227	Jail_Pond	Willow_Pond	un	68529	0.06635	-1.00000	-1.00000	0.06836	-1.00000	-1.00000	0.10172	-1.00000	-1.00000	0.00072	-1.00000	-1.00000
233	Jail_Pond	Willow_Pond	un	69859	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	0.00691	-1.00000	-1.00000	0.00014	-1.00000	-1.00000
240	Jail_Pond	Willow_Pond	un	73037	0.15234	-1.00000	-1.00000	0.03609	-1.00000	-1.00000	0.05342	-1.00000	-1.00000	0.00033	-1.00000	-1.00000
246	Jail_Pond	Willow_Pond	un	76140	0.05304	-1.00000	-1.00000	0.00446	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
251	Jail_Pond	Willow_Pond	un	80031	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00011	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
254	Jail_Pond	Willow_Pond	un	81663	0.00290	-1.00000	-1.00000	0.00011	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
261	Jail_Pond	Willow_Pond	un	84087	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
267	Jail_Pond	Willow_Pond	un	86650	0.21739	-1.00000	-1.00000	0.06757	-1.00000	-1.00000	0.07910	-1.00000	-1.00000	0.00055	-1.00000	-1.00000
273	Jail_Pond	Willow_Pond	un	89915	0.04348	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.01434	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
280	Jail_Pond	Willow_Pond	un	92441	0.12000	-1.00000	-1.00000	0.02135	-1.00000	-1.00000	0.02135	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
286	Jail_Pond	Willow_Pond	un	94825	0.72805	-1.00000	-1.00000	0.66175	-1.00000	-1.00000	0.66151	-1.00000	-1.00000	0.00093	-1.00000	-1.00000
316	Jail_Pond	Willow_Pond	un	104618	0.11635	-1.00000	-1.00000	0.01619	-1.00000	-1.00000	0.05941	-1.00000	-1.00000	0.00036	-1.00000	-1.00000
317	Jail_Pond	Willow_Pond	un	105373	0.13788	-1.00000	-1.00000	0.02596	-1.00000	-1.00000	0.02542	-1.00000	-1.00000	0.00021	-1.00000	-1.00000
318	Jail_Pond	Willow_Pond	un	106152	0.04000	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00332	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
332	Jail_Pond	Willow_Pond	un	112065	0.62040	-1.00000	-1.00000	0.53084	-1.00000	-1.00000	0.53125	-1.00000	-1.00000	0.00078	-1.00000	-1.00000
334	Jail_Pond	Willow_Pond	un	112894	0.00776	-1.00000	-1.00000	0.00034	-1.00000	-1.00000	-0.00068	-1.00000	-1.00000	0.00015	-1.00000	-1.00000
