# Population Cluster	2022_Cluster_LTC_1,2022_Cluster_LTC_10,2022_Cluster_LTC_11,2022_Cluster_LTC_12,2022_Cluster_LTC_13,2022_Cluster_LTC_14,2022_Cluster_LTC_15,2022_Cluster_LTC_2,2022_Cluster_LTC_3,2022_Cluster_LTC_4,2022_Cluster_LTC_5,2022_Cluster_LTC_6,2022_Cluster_LTC_7,2022_Cluster_LTC_8,2022_Cluster_LTC_9
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
5	Cluster	Big_Springs	un	813	0.09054	-1.00000	-1.00000	0.01094	-1.00000	-1.00000	0.04304	-1.00000	-1.00000	0.00027	-1.00000	-1.00000
37	Cluster	Big_Springs	un	6498	-0.02012	-1.00000	-1.00000	-0.00481	-1.00000	-1.00000	-0.00452	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Cluster	Big_Springs	un	8044	0.31823	-1.00000	-1.00000	0.21707	-1.00000	-1.00000	0.23422	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
42	Cluster	Big_Springs	un	8873	0.24369	-1.00000	-1.00000	0.18159	-1.00000	-1.00000	0.17036	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
43	Cluster	Big_Springs	un	9693	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
44	Cluster	Big_Springs	un	10478	0.17391	-1.00000	-1.00000	0.04376	-1.00000	-1.00000	0.02341	-1.00000	-1.00000	0.00059	-1.00000	-1.00000
46	Cluster	Big_Springs	un	11248	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
48	Cluster	Big_Springs	un	12896	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00004	-1.00000	-1.00000
55	Cluster	Big_Springs	un	15343	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00008	-1.00000	-1.00000
66	Cluster	Big_Springs	un	19469	0.00251	-1.00000	-1.00000	0.00009	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
79	Cluster	Big_Springs	un	23289	0.03448	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00246	-1.00000	-1.00000	0.00010	-1.00000	-1.00000
86	Cluster	Big_Springs	un	25574	-0.04160	-1.00000	-1.00000	-0.00347	-1.00000	-1.00000	-0.01045	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
88	Cluster	Big_Springs	un	27181	0.06897	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00760	-1.00000	-1.00000	0.00013	-1.00000	-1.00000
89	Cluster	Big_Springs	un	27961	0.85020	-1.00000	-1.00000	0.82221	-1.00000	-1.00000	0.82891	-1.00000	-1.00000	0.00111	-1.00000	-1.00000
104	Cluster	Big_Springs	un	32672	0.82032	-1.00000	-1.00000	0.78948	-1.00000	-1.00000	0.79256	-1.00000	-1.00000	0.00103	-1.00000	-1.00000
