# Population Lower_Rocky	2022_Lower_Rocky_LTC1,2022_Lower_Rocky_LTC2,2022_Lower_Rocky_LTC3,2022_Lower_Rocky_LTC4,2022_Lower_Rocky_LTC_10,2022_Lower_Rocky_LTC_11,2022_Lower_Rocky_LTC_12,2022_Lower_Rocky_LTC_13,2022_Lower_Rocky_LTC_14,2022_Lower_Rocky_LTC_5,2022_Lower_Rocky_LTC_6,2022_Lower_Rocky_LTC_7,2022_Lower_Rocky_LTC_8,2022_Lower_Rocky_LTC_9
# Population Red_Knolls	2022_Red_Knolls_LTC1,2022_Red_Knolls_LTC10,2022_Red_Knolls_LTC12,2022_Red_Knolls_LTC15,2022_Red_Knolls_LTC2,2022_Red_Knolls_LTC3,2022_Red_Knolls_LTC4,2022_Red_Knolls_LTC5,2022_Red_Knolls_LTC6,2022_Red_Knolls_LTC7,2022_Red_Knolls_LTC8,2022_Red_Knolls_LTC9
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value	Dxy	Smoothed Dxy	Smoothed Dxy P-value
16	Lower_Rocky	Red_Knolls	un	1664	0.25000	-1.00000	-1.00000	0.20000	-1.00000	-1.00000	0.24602	-1.00000	-1.00000	0.00070	-1.00000	-1.00000
28	Lower_Rocky	Red_Knolls	un	3323	0.01736	-1.00000	-1.00000	0.00077	-1.00000	-1.00000	0.03532	-1.00000	-1.00000	0.00024	-1.00000	-1.00000
41	Lower_Rocky	Red_Knolls	un	8044	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	0.00644	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
63	Lower_Rocky	Red_Knolls	un	17729	0.23078	-1.00000	-1.00000	0.08046	-1.00000	-1.00000	0.08124	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
82	Lower_Rocky	Red_Knolls	un	23963	0.10962	-1.00000	-1.00000	0.01580	-1.00000	-1.00000	0.00959	-1.00000	-1.00000	0.00031	-1.00000	-1.00000
99	Lower_Rocky	Red_Knolls	un	31053	0.49640	-1.00000	-1.00000	0.35849	-1.00000	-1.00000	0.40942	-1.00000	-1.00000	0.00081	-1.00000	-1.00000
102	Lower_Rocky	Red_Knolls	un	31823	0.41255	-1.00000	-1.00000	0.27557	-1.00000	-1.00000	0.25860	-1.00000	-1.00000	0.00060	-1.00000	-1.00000
104	Lower_Rocky	Red_Knolls	un	32672	-0.03194	-1.00000	-1.00000	-0.02303	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
106	Lower_Rocky	Red_Knolls	un	34218	0.10260	-1.00000	-1.00000	0.01535	-1.00000	-1.00000	0.00808	-1.00000	-1.00000	0.00035	-1.00000	-1.00000
125	Lower_Rocky	Red_Knolls	un	39104	0.00656	-1.00000	-1.00000	0.00026	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
130	Lower_Rocky	Red_Knolls	un	39806	0.00934	-1.00000	-1.00000	0.00045	-1.00000	-1.00000	-0.01065	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
131	Lower_Rocky	Red_Knolls	un	40626	0.40271	-1.00000	-1.00000	0.21931	-1.00000	-1.00000	0.20060	-1.00000	-1.00000	0.00061	-1.00000	-1.00000
136	Lower_Rocky	Red_Knolls	un	41375	0.11345	-1.00000	-1.00000	0.03448	-1.00000	-1.00000	0.02802	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
162	Lower_Rocky	Red_Knolls	un	49842	-0.04287	-1.00000	-1.00000	-0.02392	-1.00000	-1.00000	-0.03571	-1.00000	-1.00000	0.00057	-1.00000	-1.00000
165	Lower_Rocky	Red_Knolls	un	50688	0.26928	-1.00000	-1.00000	0.08436	-1.00000	-1.00000	0.10680	-1.00000	-1.00000	0.00042	-1.00000	-1.00000
171	Lower_Rocky	Red_Knolls	un	52972	0.06411	-1.00000	-1.00000	0.00568	-1.00000	-1.00000	0.00474	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
225	Lower_Rocky	Red_Knolls	un	67865	0.01421	-1.00000	-1.00000	0.00584	-1.00000	-1.00000	-0.00557	-1.00000	-1.00000	0.00066	-1.00000	-1.00000
235	Lower_Rocky	Red_Knolls	un	70691	0.01124	-1.00000	-1.00000	0.00047	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.00006	-1.00000	-1.00000
268	Lower_Rocky	Red_Knolls	un	87371	0.00934	-1.00000	-1.00000	0.00045	-1.00000	-1.00000	-0.01256	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
292	Lower_Rocky	Red_Knolls	un	98126	0.09920	-1.00000	-1.00000	0.01304	-1.00000	-1.00000	0.01227	-1.00000	-1.00000	0.00016	-1.00000	-1.00000
300	Lower_Rocky	Red_Knolls	un	101365	0.06411	-1.00000	-1.00000	0.00568	-1.00000	-1.00000	0.01709	-1.00000	-1.00000	0.00020	-1.00000	-1.00000
304	Lower_Rocky	Red_Knolls	un	102187	-0.00565	-1.00000	-1.00000	-0.00022	-1.00000	-1.00000	-0.00000	-1.00000	-1.00000	0.00005	-1.00000	-1.00000
308	Lower_Rocky	Red_Knolls	un	102942	-0.00633	-1.00000	-1.00000	-0.00522	-1.00000	-1.00000	0.04494	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
316	Lower_Rocky	Red_Knolls	un	104618	0.01348	-1.00000	-1.00000	0.00062	-1.00000	-1.00000	0.03532	-1.00000	-1.00000	0.00028	-1.00000	-1.00000
317	Lower_Rocky	Red_Knolls	un	105373	0.09879	-1.00000	-1.00000	0.01954	-1.00000	-1.00000	0.01132	-1.00000	-1.00000	0.00030	-1.00000	-1.00000
344	Lower_Rocky	Red_Knolls	un	117774	0.00000	-1.00000	-1.00000	0.00000	-1.00000	-1.00000	0.01193	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
359	Lower_Rocky	Red_Knolls	un	122944	0.16794	-1.00000	-1.00000	0.03255	-1.00000	-1.00000	0.05046	-1.00000	-1.00000	0.00029	-1.00000	-1.00000
363	Lower_Rocky	Red_Knolls	un	123814	0.15992	-1.00000	-1.00000	0.03205	-1.00000	-1.00000	0.03077	-1.00000	-1.00000	0.00023	-1.00000	-1.00000
395	Lower_Rocky	Red_Knolls	un	132660	0.18750	-1.00000	-1.00000	0.04027	-1.00000	-1.00000	0.05877	-1.00000	-1.00000	0.00045	-1.00000	-1.00000
401	Lower_Rocky	Red_Knolls	un	135118	-0.04460	-1.00000	-1.00000	-0.00407	-1.00000	-1.00000	-0.00200	-1.00000	-1.00000	0.00034	-1.00000	-1.00000
429	Lower_Rocky	Red_Knolls	un	147181	0.16308	-1.00000	-1.00000	0.10268	-1.00000	-1.00000	0.09544	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
432	Lower_Rocky	Red_Knolls	un	147994	0.06411	-1.00000	-1.00000	0.00568	-1.00000	-1.00000	0.01709	-1.00000	-1.00000	0.00019	-1.00000	-1.00000
434	Lower_Rocky	Red_Knolls	un	148880	0.41735	-1.00000	-1.00000	0.28697	-1.00000	-1.00000	0.27984	-1.00000	-1.00000	0.00073	-1.00000	-1.00000
459	Lower_Rocky	Red_Knolls	un	158350	0.21892	-1.00000	-1.00000	0.05517	-1.00000	-1.00000	0.07565	-1.00000	-1.00000	0.00044	-1.00000	-1.00000
461	Lower_Rocky	Red_Knolls	un	159011	0.12776	-1.00000	-1.00000	0.10676	-1.00000	-1.00000	0.09917	-1.00000	-1.00000	0.00062	-1.00000	-1.00000
468	Lower_Rocky	Red_Knolls	un	160523	0.12421	-1.00000	-1.00000	0.03649	-1.00000	-1.00000	0.05491	-1.00000	-1.00000	0.00039	-1.00000	-1.00000
477	Lower_Rocky	Red_Knolls	un	163860	0.11690	-1.00000	-1.00000	0.11340	-1.00000	-1.00000	0.12895	-1.00000	-1.00000	0.00071	-1.00000	-1.00000
483	Lower_Rocky	Red_Knolls	un	166342	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
495	Lower_Rocky	Red_Knolls	un	171176	0.04838	-1.00000	-1.00000	0.00422	-1.00000	-1.00000	0.00394	-1.00000	-1.00000	0.00011	-1.00000	-1.00000
499	Lower_Rocky	Red_Knolls	un	172649	0.42894	-1.00000	-1.00000	0.27303	-1.00000	-1.00000	0.29478	-1.00000	-1.00000	0.00063	-1.00000	-1.00000
501	Lower_Rocky	Red_Knolls	un	173449	0.19057	-1.00000	-1.00000	0.04497	-1.00000	-1.00000	0.04376	-1.00000	-1.00000	0.00026	-1.00000	-1.00000
504	Lower_Rocky	Red_Knolls	un	174249	0.36821	-1.00000	-1.00000	0.16266	-1.00000	-1.00000	0.18687	-1.00000	-1.00000	0.00050	-1.00000	-1.00000
516	Lower_Rocky	Red_Knolls	un	179179	0.23578	-1.00000	-1.00000	0.06894	-1.00000	-1.00000	0.06757	-1.00000	-1.00000	0.00032	-1.00000	-1.00000
